,Unnamed: 0,from,to,count
0,0,0,1,1
1,1,0,2,1
2,2,1,2,1
3,3,3,4,1
4,4,3,5,1
5,5,3,6,1
6,6,4,5,1
7,7,4,6,1
8,8,5,6,2
9,9,7,8,1
10,10,7,9,1
11,11,7,10,1
12,12,8,9,1
13,13,8,10,1
14,14,9,10,1
15,15,11,12,1
16,16,11,13,1
17,17,11,14,1
18,18,11,15,1
19,19,12,13,1
20,20,12,14,1
21,21,12,15,1
22,22,13,14,1
23,23,13,15,1
24,24,14,15,2
25,25,16,17,1
26,26,18,19,1
27,27,20,21,1
28,28,22,23,1
29,29,22,24,1
30,30,22,25,1
31,31,23,24,1
32,32,23,25,1
33,33,24,25,1
34,34,26,27,1
35,35,28,29,1
36,36,28,30,1
37,37,28,31,1
38,38,28,32,1
39,39,29,30,1
40,40,29,31,1
41,41,29,32,1
42,42,30,31,1
43,43,30,32,1
44,44,31,32,1
45,45,33,34,1
46,46,33,35,1
47,47,34,35,1
48,48,36,37,1
49,49,36,38,1
50,50,36,39,1
51,51,36,40,1
52,52,37,38,1
53,53,37,39,1
54,54,37,40,1
55,55,38,39,1
56,56,38,40,1
57,57,39,40,1
58,58,41,42,1
59,59,41,43,1
60,60,41,44,1
61,61,41,45,1
62,62,41,46,1
63,63,41,47,1
64,64,41,48,1
65,65,41,49,1
66,66,41,50,1
67,67,41,51,1
68,68,41,52,1
69,69,41,53,1
70,70,42,43,1
71,71,42,44,1
72,72,42,45,1
73,73,42,46,1
74,74,42,47,1
75,75,42,48,1
76,76,42,49,1
77,77,42,50,1
78,78,42,51,1
79,79,42,52,1
80,80,42,53,1
81,81,43,44,2
82,82,43,45,1
83,83,43,46,1
84,84,43,47,1
85,85,43,48,1
86,86,43,49,1
87,87,43,50,1
88,88,43,51,1
89,89,43,52,1
90,90,43,53,1
91,91,44,45,1
92,92,44,46,1
93,93,44,47,1
94,94,44,48,1
95,95,44,49,1
96,96,44,50,1
97,97,44,51,1
98,98,44,52,1
99,99,44,53,1
100,100,45,46,1
101,101,45,47,1
102,102,45,48,1
103,103,45,49,1
104,104,45,50,1
105,105,45,51,1
106,106,45,52,1
107,107,45,53,1
108,108,46,47,1
109,109,46,48,1
110,110,46,49,1
111,111,46,50,1
112,112,46,51,1
113,113,46,52,1
114,114,46,53,1
115,115,47,48,1
116,116,47,49,1
117,117,47,50,1
118,118,47,51,1
119,119,47,52,1
120,120,47,53,1
121,121,48,49,1
122,122,48,50,1
123,123,48,51,1
124,124,48,52,1
125,125,48,53,1
126,126,49,50,1
127,127,49,51,1
128,128,49,52,1
129,129,49,53,1
130,130,50,51,1
131,131,50,52,1
132,132,50,53,1
133,133,51,52,1
134,134,51,53,1
135,135,52,53,1
136,136,54,55,1
137,137,54,56,1
138,138,55,56,1
139,139,57,58,1
140,140,57,59,1
141,141,57,60,1
142,142,58,59,1
143,143,58,60,1
144,144,59,60,1
145,145,61,62,1
146,146,61,63,1
147,147,61,64,1
148,148,62,63,1
149,149,62,64,1
150,150,63,64,1
151,151,65,66,1
152,152,67,68,1
153,153,67,69,1
154,154,67,70,1
155,155,67,71,1
156,156,68,69,1
157,157,68,70,1
158,158,68,71,1
159,159,69,70,2
160,160,69,71,1
161,161,70,71,2
162,162,72,73,1
163,163,72,74,1
164,164,72,75,1
165,165,72,76,1
166,166,73,74,1
167,167,73,75,1
168,168,73,76,1
169,169,74,75,1
170,170,74,76,1
171,171,75,76,1
172,172,77,78,1
173,173,79,80,1
174,174,79,81,1
175,175,79,82,1
176,176,80,81,1
177,177,80,82,1
178,178,81,82,1
179,179,83,84,1
180,180,83,85,1
181,181,83,86,1
182,182,83,87,1
183,183,84,85,1
184,184,84,86,1
