,Unnamed: 0,from,to,count
0,0.0,0,1,1
1,1.0,0,2,1
2,2.0,1,2,3
3,3.0,3,4,1
4,4.0,3,5,1
5,5.0,3,6,1
6,6.0,4,5,8
7,7.0,4,6,8
8,8.0,5,6,21
9,9.0,7,8,1
10,10.0,7,9,1
11,11.0,7,10,1
12,12.0,8,9,1
13,13.0,8,10,1
14,14.0,9,10,4
15,15.0,11,12,1
16,16.0,11,13,1
17,17.0,11,14,1
18,18.0,11,15,1
19,19.0,12,13,9
20,20.0,12,14,9
21,21.0,12,15,9
22,22.0,13,14,9
23,23.0,13,15,9
24,24.0,14,15,18
25,25.0,16,17,1
26,26.0,18,19,1
27,27.0,20,21,1
28,28.0,22,23,1
29,29.0,22,24,1
30,30.0,22,25,1
31,31.0,23,24,4
32,32.0,23,25,4
33,33.0,24,25,4
34,34.0,26,27,1
35,35.0,28,29,1
36,36.0,28,30,1
37,37.0,28,31,1
38,38.0,28,32,1
39,39.0,29,30,5
40,40.0,29,31,5
41,41.0,29,32,5
42,42.0,30,31,5
43,43.0,30,32,5
44,44.0,31,32,5
45,45.0,33,34,1
46,46.0,33,35,1
47,47.0,34,35,3
48,48.0,36,37,1
49,49.0,36,38,1
50,50.0,36,39,1
51,51.0,36,40,1
52,52.0,37,38,5
53,53.0,37,39,5
54,54.0,37,40,5
55,55.0,38,39,5
56,56.0,38,40,5
57,57.0,39,40,5
58,58.0,41,42,1
59,59.0,41,43,1
60,60.0,41,44,1
61,61.0,41,45,1
62,62.0,41,46,1
63,63.0,41,47,1
64,64.0,41,48,1
65,65.0,41,49,1
66,66.0,41,50,1
67,67.0,41,51,1
68,68.0,41,52,1
69,69.0,41,53,1
70,70.0,42,43,5
71,71.0,42,44,5
72,72.0,42,45,5
73,73.0,42,46,5
74,74.0,42,47,5
75,75.0,42,48,5
76,76.0,42,49,5
77,77.0,42,50,5
78,78.0,42,51,5
79,79.0,42,52,5
80,80.0,42,53,5
81,81.0,43,44,7
82,82.0,43,45,5
83,83.0,43,46,5
84,84.0,43,47,5
85,85.0,43,48,5
86,86.0,43,49,5
87,87.0,43,50,5
88,88.0,43,51,5
89,89.0,43,52,5
90,90.0,43,53,5
91,91.0,44,45,5
92,92.0,44,46,5
93,93.0,44,47,5
94,94.0,44,48,5
95,95.0,44,49,5
96,96.0,44,50,5
97,97.0,44,51,5
98,98.0,44,52,5
99,99.0,44,53,5
100,100.0,45,46,5
101,101.0,45,47,5
102,102.0,45,48,5
103,103.0,45,49,5
104,104.0,45,50,5
105,105.0,45,51,5
106,106.0,45,52,5
107,107.0,45,53,5
108,108.0,46,47,5
109,109.0,46,48,5
110,110.0,46,49,5
111,111.0,46,50,5
112,112.0,46,51,5
113,113.0,46,52,5
114,114.0,46,53,5
115,115.0,47,48,5
116,116.0,47,49,5
117,117.0,47,50,5
118,118.0,47,51,5
119,119.0,47,52,5
120,120.0,47,53,5
121,121.0,48,49,5
122,122.0,48,50,5
123,123.0,48,51,5
124,124.0,48,52,5
125,125.0,48,53,5
126,126.0,49,50,5
127,127.0,49,51,5
128,128.0,49,52,5
129,129.0,49,53,5
130,130.0,50,51,5
131,131.0,50,52,5
132,132.0,50,53,5
133,133.0,51,52,5
134,134.0,51,53,5
135,135.0,52,53,5
136,136.0,54,55,1
137,137.0,54,56,1
138,138.0,55,56,1
139,139.0,57,58,1
140,140.0,57,59,1
141,141.0,58,59,5
142,142.0,60,61,1
143,143.0,62,63,1
144,144.0,62,64,1
145,145.0,63,64,4
146,146.0,65,66,1
147,147.0,65,67,1
148,148.0,65,68,1
149,149.0,66,67,3
150,150.0,66,68,3
151,151.0,67,68,16
152,152.0,69,70,1
153,153.0,71,72,1
154,154.0,71,73,1
155,155.0,71,74,1
156,156.0,72,73,4
157,157.0,72,74,4
158,158.0,73,74,9
159,159.0,75,76,1
160,160.0,75,77,1
161,161.0,75,78,1
162,162.0,76,77,5
163,163.0,76,78,5
164,164.0,77,78,5
165,165.0,79,80,1
166,166.0,79,81,1
167,167.0,79,82,1
168,168.0,80,81,1
169,169.0,80,82,1
170,170.0,81,82,1
171,171.0,83,84,1
172,172.0,83,85,1
173,173.0,83,86,1
174,174.0,84,85,1
175,175.0,84,86,1
176,176.0,85,86,1
177,177.0,87,88,1
178,178.0,87,89,1
179,179.0,87,90,1
180,180.0,88,89,1
181,181.0,88,90,1
182,182.0,89,90,1
183,183.0,91,82,1
184,184.0,91,92,1
185,185.0,91,93,1
186,186.0,82,92,1
187,187.0,82,93,1
188,188.0,92,93,1
189,189.0,94,95,1
190,190.0,94,96,1
191,191.0,94,97,1
192,192.0,95,96,1
193,193.0,95,97,1
194,194.0,96,97,1
195,195.0,98,99,1
196,196.0,98,100,1
197,197.0,99,100,1
198,198.0,101,9,1
199,199.0,101,102,1
200,200.0,9,102,1
201,201.0,103,104,1
202,202.0,105,36,1
203,203.0,105,106,1
204,204.0,36,106,1
205,205.0,107,108,1
206,206.0,107,109,1
207,207.0,108,109,1
208,208.0,110,111,1
209,209.0,110,112,1
210,210.0,110,113,1
211,211.0,111,112,2
212,212.0,111,113,2
213,213.0,112,113,2
214,214.0,114,5,1
215,215.0,114,115,1
216,216.0,5,115,1
217,217.0,116,117,1
218,218.0,116,118,1
219,219.0,116,119,1
220,220.0,117,118,1
221,221.0,117,119,1
222,222.0,118,119,1
223,223.0,120,105,1
224,224.0,120,121,1
225,225.0,120,122,1
226,226.0,105,121,1
227,227.0,105,122,1
228,228.0,121,122,1
229,229.0,123,124,1
230,230.0,123,125,1
231,231.0,124,125,1
232,232.0,126,127,1
233,233.0,126,128,1
234,234.0,126,129,1
235,235.0,127,128,1
236,236.0,127,129,1
237,237.0,128,129,1
238,238.0,130,5,1
239,239.0,130,6,1
240,240.0,130,131,1
241,241.0,5,131,1
242,242.0,6,131,1
243,243.0,132,133,1
244,244.0,134,135,1
245,245.0,134,14,1
246,246.0,135,14,6
247,247.0,136,137,1
248,248.0,136,138,1
249,249.0,137,138,1
250,250.0,139,140,1
251,251.0,141,142,1
252,252.0,141,143,1
253,253.0,142,143,1
254,254.0,144,145,1
255,255.0,144,146,1
256,256.0,145,146,2
257,257.0,147,148,1
258,258.0,149,150,1
259,259.0,149,151,1
260,260.0,150,151,1
261,261.0,152,153,1
262,262.0,152,154,1
263,263.0,152,155,1
264,264.0,152,156,1
265,265.0,153,154,1
266,266.0,153,155,1
267,267.0,153,156,1
268,268.0,154,155,1
269,269.0,154,156,1
270,270.0,155,156,1
271,271.0,157,158,1
272,272.0,145,147,1
273,273.0,146,147,1
274,274.0,159,160,1
275,275.0,161,162,1
