,Unnamed: 0,id,type,name,link,count
0,0.0,1,1,Defining Big Data,/doi/10.1145/3010089.3010090,3
1,1.0,2,2,Isitor Emmanuel,/profile/99659131541,3
2,2.0,3,2,Clare Stanier,/profile/99659058127,9
3,3.0,4,1,Big Data with Ten Big Characteristics,/doi/10.1145/3291801.3291822,8
4,4.0,5,2,Zhaohao Sun,/profile/99659060865,43
5,5.0,6,2,Kenneth Strang,/profile/81500642456,51
6,6.0,7,2,Rongping Li,/profile/99659342747,8
7,7.0,8,1,Big data: a research agenda,/doi/10.1145/2513591.2527071,1
8,8.0,9,2,Alfredo Cuzzocrea,/profile/81100432224,25
9,9.0,10,2,Domenico Saccà,/profile/81100111213,37
10,10.0,11,2,Jeffrey D. Ullman,/profile/81100314798,7
11,11.0,12,1,Big data: big data or big brother? that is the question now.,/doi/10.1145/3158352,9
12,12.0,13,2,Jeffrey Johnson,/profile/81100452038,14
13,13.0,14,2,Peter Denning,/profile/81100412818,30
14,14.0,15,2,Kemal A. Delic,/profile/81100607924,55
15,15.0,16,2,David Sousa-Rodrigues,/profile/99659039589,15
16,16.0,17,1,Big Data: from Hype to Reality?,/doi/10.1145/2611040.2611042,4
17,17.0,18,2,V. Richard Benjamins,/profile/81100458283,10
18,18.0,19,1,Healthcare Big Data: Challenges and Opportunities,/doi/10.1145/3010089.3010143,2
19,19.0,20,2,M-Tahar Kechadi,/profile/81458645145,32
20,20.0,21,1,Big Data and Smart Grid,/doi/10.1145/2640087.2644175,2
21,21.0,22,2,Xin Miao,/profile/99659838442,2
22,22.0,23,1,From Data to Big Data: Moroccan Public Sector,/doi/10.1145/3090354.3090401,4
23,23.0,24,2,R. Khtira,/profile/99659192088,4
24,24.0,25,2,B. Elasri,/profile/99659190930,4
25,25.0,26,2,M. Rhanoui,/profile/99659190672,6
26,26.0,27,1,Big Data 4.0 = Meta4 (Big Data) = The Era of Big Intelligence,/doi/10.1145/3647722.3647725,2
