,Unnamed: 0,ner_id,link,title,doi
0,0,1,/doi/10.1145/3010089.3010090,Defining Big Data,https://doi.org/10.1145/3010089.3010090
1,1,4,/doi/10.1145/3291801.3291822,Big Data with Ten Big Characteristics,https://doi.org/10.1145/3291801.3291822
2,2,8,/doi/10.1145/2513591.2527071,Big data,https://doi.org/10.1145/2513591.2527071
3,3,12,/doi/10.1145/3158352,Big data,https://doi.org/10.1145/3158352
4,4,17,/doi/10.1145/2611040.2611042,Big Data,https://doi.org/10.1145/2611040.2611042
5,5,19,/doi/10.1145/3010089.3010143,Healthcare Big Data,https://doi.org/10.1145/3010089.3010143
6,6,21,/doi/10.1145/2640087.2644175,Big Data and Smart Grid,https://doi.org/10.1145/2640087.2644175
7,7,23,/doi/10.1145/3090354.3090401,From Data to Big Data,https://doi.org/10.1145/3090354.3090401
8,8,27,/doi/10.1145/3647722.3647725,Big Data 4.0 = Meta4 (Big Data) = The Era of Big Intelligence,https://doi.org/10.1145/3647722.3647725
9,9,29,/doi/10.1145/2351316.2351318,"Big data, big business",https://doi.org/10.1145/2351316.2351318
10,10,34,/doi/10.1145/3361758.3361768,"Big Data Infrastructure, Data Visualisation and Challenges",https://doi.org/10.1145/3361758.3361768
11,11,37,/doi/10.1145/2837060.2837068,Clarifying Big Data,https://doi.org/10.1145/2837060.2837068
12,12,42,/doi/10.1145/2658840.2658845,Taming Big Data,https://doi.org/10.1145/2658840.2658845
13,13,55,/doi/10.1145/3141128.3141139,Big Data and New Data Warehousing Approaches,https://doi.org/10.1145/3141128.3141139
14,14,58,/doi/10.1145/3195528.3195533,Big data,https://doi.org/10.1145/3195528.3195533
15,15,62,/doi/10.1145/3010089.3017606,Integrating Big data paradigm in WSNs,https://doi.org/10.1145/3010089.3017606
16,16,66,/doi/10.1145/2524248.2524253,"Big data, big questions",https://doi.org/10.1145/2524248.2524253
17,17,68,/doi/10.1145/3216122.3216154,Efficient Big Data Clustering,https://doi.org/10.1145/3216122.3216154
18,18,73,/doi/10.1145/3090354.3090376,Big Data Technologies to Improve Medical Data Warehousing,https://doi.org/10.1145/3090354.3090376
19,19,78,/doi/10.1145/3210284.3214344,Mosaics in Big Data,https://doi.org/10.1145/3210284.3214344
20,20,80,/doi/10.1145/3010089.3010127,Big Data Clustering using Data Streams Approach,https://doi.org/10.1145/3010089.3010127
21,21,84,/doi/10.1145/2609876.2609890,Modeling in Big Data Environments,https://doi.org/10.1145/2609876.2609890
22,22,89,/doi/10.1145/2609876.2609889,Sensemaking in Big Data Environments,https://doi.org/10.1145/2609876.2609889
23,23,96,/doi/10.1145/3011286.3011307,Environmental Big Data,https://doi.org/10.1145/3011286.3011307
24,24,100,/doi/10.1145/2656346.2656358,Big data architecture evolution,https://doi.org/10.1145/2656346.2656358
25,25,104,/doi/10.1145/3172871.3172886,State-of-the-art Big Data Security Taxonomies,https://doi.org/10.1145/3172871.3172886
26,26,107,/doi/10.1145/2609876.2609887,Support for Big Data's Limiting Resource,https://doi.org/10.1145/2609876.2609887
27,27,110,/doi/10.1109/CCGRID.2018.00100,Pedigree-ing your big data,https://doi.org/10.1109/CCGRID.2018.00100
28,28,112,/doi/10.1145/3378904.3378907,Security Challenges for Big Data and IoT,https://doi.org/10.1145/3378904.3378907
29,29,117,/doi/10.1145/3018896.3025151,Where big data meets 5G?,https://doi.org/10.1145/3018896.3025151
30,30,120,/doi/10.1145/2837060.2837076,Big Data Mining Applications and Services,https://doi.org/10.1145/2837060.2837076
31,31,122,/doi/10.1145/3505745.3505750,Responsible Big Data Analytics for E-Business Services,https://doi.org/10.1145/3505745.3505750
32,32,124,/doi/10.1145/3603706,BIGQA: Declarative Big Data Quality Assessment,https://doi.org/10.1145/3603706
33,33,132,/doi/10.1145/3289100.3289108,Towards Efficient Big Data,https://doi.org/10.1145/3289100.3289108
34,34,137,/doi/10.1145/3158335,"Big Data, Digitization, and Social Change",https://doi.org/10.1145/3158335
35,35,139,/doi/10.1145/3341620.3341629,Big Data Quality Metrics for Sentiment Analysis Approaches,https://doi.org/10.1145/3341620.3341629
36,36,143,/doi/10.1145/3564665.3564673,Driving Digital Services with Big Data Analytics,https://doi.org/10.1145/3564665.3564673
37,37,145,/doi/10.1145/3341161.3343512,Flexible compression of big data,https://doi.org/10.1145/3341161.3343512
38,38,148,/doi/10.1145/2659651.2659655,Big Data Information Security Maintenance,https://doi.org/10.1145/2659651.2659655
39,39,153,/doi/10.1145/2614512.2629588,Big data,https://doi.org/10.1145/2614512.2629588
40,40,155,/doi/10.1145/3331651.3331659,Co-Designing Learning Materials to Empower Laypersons to Better Understand Big Data and Big Data Methods,https://doi.org/10.1145/3331651.3331659
41,41,162,/doi/10.1145/3158339,Big Data for Social Science Research,https://doi.org/10.1145/3158339
42,42,164,/doi/10.1145/3502300.3502312,US Army Big Data Military Applications and Reflections,https://doi.org/10.1145/3502300.3502312
43,43,167,/doi/10.1145/3447879.3447883,Approximate computation for big data analytics,https://doi.org/10.1145/3447879.3447883
44,44,170,/doi/10.1145/3158337,Big Data and the Attention Economy,https://doi.org/10.1145/3158337
45,45,172,/doi/10.1145/2928294.2928297,Semantic big data for tax assessment,https://doi.org/10.1145/2928294.2928297
46,46,177,/doi/10.1145/3436286.3436291,Hot Topics of Big Data Research in China,https://doi.org/10.1145/3436286.3436291
47,47,179,/doi/10.1145/3366650.3366667,Online Updating Algorithms of Statistical Methods for Big Data,https://doi.org/10.1145/3366650.3366667
48,48,182,/doi/10.1145/2837060.2837116,Big Data Processing Flow,https://doi.org/10.1145/2837060.2837116
49,49,184,/doi/10.1145/2905055.2905215,A Major Threat to Big Data,https://doi.org/10.1145/2905055.2905215
50,50,187,/doi/10.1145/2837060.2837067,Big Data and Internet of Things,https://doi.org/10.1145/2837060.2837067
51,51,191,/doi/10.1145/3335484.3335534,Green Optical Networking for Big Data Transfer,https://doi.org/10.1145/3335484.3335534
52,52,193,/doi/10.1145/3368691.3368741,Big data analytics tools and applications,https://doi.org/10.1145/3368691.3368741
53,53,198,/doi/10.1145/3404687.3404694,A Comprehensive Overview of BIG DATA Technologies,https://doi.org/10.1145/3404687.3404694
54,54,201,/doi/10.1145/3372938.3372939,On the Intersection of Big Data and Privacy,https://doi.org/10.1145/3372938.3372939
55,55,204,/doi/10.1145/2905055.2905099,Big data and ICT applications,https://doi.org/10.1145/2905055.2905099
56,56,208,/doi/10.1145/2896825.2896837,Toward big data value engineering for innovation,https://doi.org/10.1145/2896825.2896837
57,57,213,/doi/10.1145/3373419.3373425,Design Big Data Analysis System - Bigdeepexaminator,https://doi.org/10.1145/3373419.3373425
58,58,216,/doi/10.1145/3158348,Corporate Security is a Big Data Problem,https://doi.org/10.1145/3158348
59,59,218,/doi/10.1145/3524383.3533249,Accurately Identify Poor Students under Big Data,https://doi.org/10.1145/3524383.3533249
60,60,222,/doi/10.1145/3102254.3102271,Big-data-driven innovation for enterprises,https://doi.org/10.1145/3102254.3102271
