,Unnamed: 0,id,type,link
0,0,1,1,/doi/10.1145/3010089.3010090
1,1,2,2,/profile/99659131541
2,2,3,2,/profile/99659058127
3,3,4,1,/doi/10.1145/3291801.3291822
4,4,5,2,/profile/99659060865
5,5,6,2,/profile/81500642456
6,6,7,2,/profile/99659342747
7,7,8,1,/doi/10.1145/2513591.2527071
8,8,9,2,/profile/81100432224
9,9,10,2,/profile/81100111213
10,10,11,2,/profile/81100314798
11,11,12,1,/doi/10.1145/3158352
12,12,13,2,/profile/81100452038
13,13,14,2,/profile/81100412818
14,14,15,2,/profile/81100607924
15,15,16,2,/profile/99659039589
16,16,17,1,/doi/10.1145/2611040.2611042
17,17,18,2,/profile/81100458283
18,18,19,1,/doi/10.1145/3010089.3010143
19,19,20,2,/profile/81458645145
20,20,21,1,/doi/10.1145/2640087.2644175
21,21,22,2,/profile/99659838442
22,22,23,1,/doi/10.1145/3090354.3090401
23,23,24,2,/profile/99659192088
24,24,25,2,/profile/99659190930
25,25,26,2,/profile/99659190672
26,26,27,1,/doi/10.1145/3647722.3647725
27,27,28,2,/profile/99661194829
28,28,29,1,/doi/10.1145/2351316.2351318
29,29,30,2,/profile/81319492485
30,30,31,2,/profile/81508702912
31,31,32,2,/profile/81508693709
32,32,33,2,/profile/81508705533
33,33,34,1,/doi/10.1145/3361758.3361768
34,34,35,2,/profile/99659483587
35,35,36,2,/profile/81351605289
36,36,37,1,/doi/10.1145/2837060.2837068
37,37,38,2,/profile/99659083765
38,38,39,2,/profile/99659084832
39,39,40,2,/profile/81477643309
40,40,41,2,/profile/99659084050
41,41,42,1,/doi/10.1145/2658840.2658845
42,42,43,2,/profile/99658632000
43,43,44,2,/profile/99658631194
44,44,45,2,/profile/99658632825
45,45,46,2,/profile/99658634063
46,46,47,2,/profile/99658632465
47,47,48,2,/profile/99658633056
48,48,49,2,/profile/99658631027
49,49,50,2,/profile/99658632574
50,50,51,2,/profile/81467663961
51,51,52,2,/profile/99658632107
52,52,53,2,/profile/99658632139
53,53,54,2,/profile/81408601880
54,54,55,1,/doi/10.1145/3141128.3141139
55,55,56,2,/profile/99659119945
56,56,57,2,/profile/81100612679
57,57,58,1,/doi/10.1145/3195528.3195533
58,58,59,2,/profile/81392618108
59,59,60,2,/profile/99659286657
60,60,61,2,/profile/81464670510
61,61,62,1,/doi/10.1145/3010089.3017606
62,62,63,2,/profile/99658754451
63,63,64,2,/profile/81486654522
64,64,65,2,/profile/99659131550
65,65,66,1,/doi/10.1145/2524248.2524253
66,66,67,2,/profile/83458821657
67,67,68,1,/doi/10.1145/3216122.3216154
68,68,69,2,/profile/99658739863
69,69,70,2,/profile/81100152856
70,70,71,2,/profile/81100081423
71,71,72,2,/profile/99659655058
72,72,73,1,/doi/10.1145/3090354.3090376
73,73,74,2,/profile/99659192204
74,74,75,2,/profile/99659190438
75,75,76,2,/profile/99659190485
76,76,77,2,/profile/81421597330
77,77,78,1,/doi/10.1145/3210284.3214344
78,78,79,2,/profile/99659490377
79,79,80,1,/doi/10.1145/3010089.3010127
80,80,81,2,/profile/99659130440
81,81,82,2,/profile/81496688334
82,82,83,2,/profile/81464650364
83,83,84,1,/doi/10.1145/2609876.2609890
84,84,85,2,/profile/81460654929
85,85,86,2,/profile/99658632246
86,86,87,2,/profile/99658630542
87,87,88,2,/profile/81311483602
88,88,89,1,/doi/10.1145/2609876.2609889
89,89,90,2,/profile/99658633834
90,90,91,2,/profile/99658631847
91,91,92,2,/profile/81100632322
92,92,93,2,/profile/99658632076
93,93,94,2,/profile/81330496783
94,94,95,2,/profile/81333491829
95,95,96,1,/doi/10.1145/3011286.3011307
96,96,97,2,/profile/81312483649
97,97,98,2,/profile/99658713414
98,98,99,2,/profile/81100223013
99,99,100,1,/doi/10.1145/2656346.2656358
100,100,101,2,/profile/81440610963
101,101,102,2,/profile/81100327758
102,102,103,2,/profile/81339502165
103,103,104,1,/doi/10.1145/3172871.3172886
104,104,105,2,/profile/81508686293
105,105,106,2,/profile/81508685031
106,106,107,1,/doi/10.1145/2609876.2609887
107,107,108,2,/profile/99658631746
108,108,109,2,/profile/81100016251
109,109,110,1,/doi/10.1109/CCGRID.2018.00100
110,110,111,2,/profile/81100103470
111,111,112,1,/doi/10.1145/3378904.3378907
112,112,113,2,/profile/99659515495
113,113,114,2,/profile/99659515601
114,114,115,2,/profile/81361606190
115,115,116,2,/profile/99659515506
116,116,117,1,/doi/10.1145/3018896.3025151
117,117,118,2,/profile/99659245698
118,118,119,2,/profile/99659245939
119,119,120,1,/doi/10.1145/2837060.2837076
120,120,121,2,/profile/81339512271
121,121,122,1,/doi/10.1145/3505745.3505750
122,122,123,2,/profile/81461657509
123,123,124,1,/doi/10.1145/3603706
124,124,125,2,/profile/99660981542
125,125,126,2,/profile/99660977441
126,126,127,2,/profile/99660983316
127,127,128,2,/profile/81474689062
128,128,129,2,/profile/81490659563
129,129,130,2,/profile/81490673311
130,130,131,2,/profile/99659030574
131,131,132,1,/doi/10.1145/3289100.3289108
132,132,133,2,/profile/99659322306
133,133,134,2,/profile/81392617735
134,134,135,2,/profile/81100420622
135,135,136,2,/profile/81100487142
136,136,137,1,/doi/10.1145/3158335
137,137,138,2,/profile/99659303788
138,138,139,1,/doi/10.1145/3341620.3341629
139,139,140,2,/profile/99659458372
140,140,141,2,/profile/99658671183
141,141,142,2,/profile/99659202520
142,142,143,1,/doi/10.1145/3564665.3564673
143,143,144,2,/profile/81314492879
144,144,145,1,/doi/10.1145/3341161.3343512
145,145,146,2,/profile/81485649610
146,146,147,2,/profile/99659497194
147,147,148,1,/doi/10.1145/2659651.2659655
148,148,149,2,/profile/81443596573
149,149,150,2,/profile/99658660020
150,150,151,2,/profile/81443592554
151,151,152,2,/profile/99658661382
152,152,153,1,/doi/10.1145/2614512.2629588
153,153,154,2,/profile/60000000331
154,154,155,1,/doi/10.1145/3331651.3331659
155,155,156,2,/profile/81100595264
156,156,157,2,/profile/99659370837
157,157,158,2,/profile/99659370663
158,158,159,2,/profile/99659369811
159,159,160,2,/profile/99659368821
160,160,161,2,/profile/99659369574
161,161,162,1,/doi/10.1145/3158339
162,162,163,2,/profile/81444605683
163,163,164,1,/doi/10.1145/3502300.3502312
164,164,165,2,/profile/99659998823
165,165,166,2,/profile/99659993867
166,166,167,1,/doi/10.1145/3447879.3447883
167,167,168,2,/profile/81430639096
168,168,169,2,/profile/99660832137
169,169,170,1,/doi/10.1145/3158337
170,170,171,2,/profile/81100561780
171,171,172,1,/doi/10.1145/2928294.2928297
172,172,173,2,/profile/81487654270
173,173,174,2,/profile/81100485733
174,174,175,2,/profile/99659033346
175,175,176,2,/profile/81100628594
176,176,177,1,/doi/10.1145/3436286.3436291
177,177,178,2,/profile/99659669470
178,178,179,1,/doi/10.1145/3366650.3366667
179,179,180,2,/profile/99659489435
180,180,181,2,/profile/99659274539
181,181,182,1,/doi/10.1145/2837060.2837116
182,182,183,2,/profile/81452614666
183,183,184,1,/doi/10.1145/2905055.2905215
184,184,185,2,/profile/99659067718
185,185,186,2,/profile/99659068185
186,186,187,1,/doi/10.1145/2837060.2837067
187,187,188,2,/profile/99658756514
188,188,189,2,/profile/84459472557
189,189,190,2,/profile/81548005561
190,190,191,1,/doi/10.1145/3335484.3335534
191,191,192,2,/profile/99658626500
192,192,193,1,/doi/10.1145/3368691.3368741
193,193,194,2,/profile/81438598185
194,194,195,2,/profile/81452617186
195,195,196,2,/profile/81486656468
196,196,197,2,/profile/99659485559
197,197,198,1,/doi/10.1145/3404687.3404694
198,198,199,2,/profile/99659564375
199,199,200,2,/profile/99659564705
200,200,201,1,/doi/10.1145/3372938.3372939
201,201,202,2,/profile/99659490212
202,202,203,2,/profile/81100619933
203,203,204,1,/doi/10.1145/2905055.2905099
204,204,205,2,/profile/99659068765
205,205,206,2,/profile/99659067845
206,206,207,2,/profile/99658996347
207,207,208,1,/doi/10.1145/2896825.2896837
208,208,209,2,/profile/81407593816
209,209,210,2,/profile/81100391310
210,210,211,2,/profile/81100570389
211,211,212,2,/profile/82258618957
212,212,213,1,/doi/10.1145/3373419.3373425
213,213,214,2,/profile/81100427129
214,214,215,2,/profile/81314489922
215,215,216,1,/doi/10.1145/3158348
216,216,217,2,/profile/99659287087
217,217,218,1,/doi/10.1145/3524383.3533249
218,218,219,2,/profile/99660533115
219,219,220,2,/profile/99660532615
220,220,221,2,/profile/99660533597
221,221,222,1,/doi/10.1145/3102254.3102271
222,222,223,2,/profile/81100415437
223,223,224,2,/profile/99659162314
224,224,225,1,/doi/10.1145/3505745.3505751
225,225,226,1,/doi/10.1145/2905055.2905194
226,226,227,2,/profile/81456635859
227,227,228,1,/doi/10.1145/3363459.3363533
228,228,229,2,/profile/99659484111
229,229,230,2,/profile/81100125296
230,230,231,1,/doi/10.1145/3474944.3474950
231,231,232,2,/profile/99659311881
232,232,233,2,/profile/99659310215
233,233,234,2,/profile/99659311009
234,234,235,2,/profile/99659899488
235,235,236,2,/profile/81442613728
236,236,237,1,/doi/10.1145/3627915.3629592
237,237,238,2,/profile/99661080237
238,238,239,2,/profile/99661080703
239,239,240,2,/profile/99661076947
240,240,241,2,/profile/99661081639
241,241,242,1,/doi/10.1145/3328833.3328841
242,242,243,2,/profile/99659435329
243,243,244,2,/profile/99659435128
244,244,245,2,/profile/99659435050
245,245,246,2,/profile/99659435162
246,246,247,2,/profile/99659434988
247,247,248,1,/doi/10.1145/2534921.2534924
248,248,249,2,/profile/99659370348
249,249,250,2,/profile/81350589214
250,250,251,2,/profile/81100485218
251,251,252,2,/profile/87258811457
252,252,253,2,/profile/87259093757
253,253,254,2,/profile/81339541064
254,254,255,1,/doi/10.1145/3626252.3630888
255,255,256,2,/profile/99658746327
256,256,257,1,/doi/10.1145/3158350
257,257,258,2,/profile/81100548962
258,258,259,2,/profile/99659038002
259,259,260,2,/profile/81100129938
260,260,261,2,/profile/99659290940
261,261,262,2,/profile/81339530715
262,262,263,2,/profile/81100451710
263,263,264,2,/profile/81314480801
264,264,265,2,/profile/99659290532
265,265,266,1,/doi/10.1145/2874239.2874256
266,266,267,2,/profile/81319492977
267,267,268,2,/profile/81100644887
268,268,269,1,/doi/10.1145/3409801
269,269,270,2,/profile/99658732459
270,270,271,2,/profile/99659888923
271,271,272,2,/profile/99658657186
272,272,273,1,/doi/10.1145/3150919.3150923
273,273,274,2,/profile/99659235943
274,274,275,2,/profile/99659235467
275,275,276,2,/profile/99659235959
276,276,277,2,/profile/99659235785
277,277,278,2,/profile/99659235933
278,278,279,2,/profile/99659235853
279,279,280,1,/doi/10.1145/2948992.2949024
280,280,281,2,/profile/81388597384
281,281,282,2,/profile/99659055124
282,282,283,1,/doi/10.1145/2640087.2644153
283,283,284,2,/profile/81451596653
284,284,285,1,/doi/10.1145/2781562.2781574
285,285,286,2,/profile/81481640588
286,286,287,1,/doi/10.1145/3410352.3410785
287,287,288,2,/profile/99659574354
288,288,289,2,/profile/99659574898
289,289,290,2,/profile/99659845171
290,290,291,1,/doi/10.1145/3386723.3387841
291,291,292,2,/profile/99659333168
292,292,293,2,/profile/81375603757
293,293,294,2,/profile/81100351082
294,294,295,1,/doi/10.1145/3209281.3209372
295,295,296,2,/profile/81321490062
296,296,297,2,/profile/81100612830
297,297,298,2,/profile/81496645426
