,from,to,count
0,0,1,1
1,0,2,1
2,0,3,1
3,0,4,1
4,1,2,1
5,1,3,1
6,1,4,1
7,2,3,1
8,2,4,1
9,3,4,1
10,5,6,1
11,7,8,1
12,7,9,1
13,8,9,1
14,10,7,1
15,11,7,1
16,11,12,1
17,7,12,1
18,13,14,1
19,13,15,1
20,14,15,1
21,16,17,1
22,16,18,1
23,16,19,1
24,16,20,1
25,16,21,1
26,17,18,1
27,17,19,1
28,17,20,1
29,17,21,1
30,18,19,1
31,18,20,1
32,18,21,1
33,19,20,1
34,19,21,1
35,20,21,1
36,22,23,1
37,22,24,1
38,22,25,1
39,22,26,1
40,22,27,1
41,22,28,1
42,22,29,1
43,22,30,1
44,22,31,1
45,22,32,1
46,22,33,1
47,22,34,1
48,23,24,1
49,23,25,1
50,23,26,1
51,23,27,1
52,23,28,1
53,23,29,1
54,23,30,1
55,23,31,1
56,23,32,1
57,23,33,1
58,23,34,1
59,24,25,2
60,24,26,1
61,24,27,2
62,24,28,2
63,24,29,2
64,24,30,1
65,24,31,2
66,24,32,2
67,24,33,1
68,24,34,2
69,25,26,1
70,25,27,2
71,25,28,2
72,25,29,2
73,25,30,1
74,25,31,2
75,25,32,2
76,25,33,1
77,25,34,2
78,26,27,1
79,26,28,1
80,26,29,1
81,26,30,1
82,26,31,1
83,26,32,1
84,26,33,1
85,26,34,1
86,27,28,2
87,27,29,2
88,27,30,1
89,27,31,2
90,27,32,2
91,27,33,1
92,27,34,2
93,28,29,2
94,28,30,1
95,28,31,2
96,28,32,2
97,28,33,1
98,28,34,2
99,29,30,1
100,29,31,2
101,29,32,2
102,29,33,1
103,29,34,2
104,30,31,1
105,30,32,1
106,30,33,1
107,30,34,1
108,31,32,2
109,31,33,1
110,31,34,2
111,32,33,1
112,32,34,2
113,33,34,1
114,35,36,1
115,35,37,1
116,35,38,1
117,35,39,1
118,35,40,1
119,35,41,1
120,36,37,1
121,36,38,1
122,36,39,1
123,36,40,1
124,36,41,1
125,37,38,1
126,37,39,1
127,37,40,2
128,37,41,1
129,38,39,3
130,38,40,3
131,38,41,2
132,39,40,4
133,39,41,2
134,40,41,2
135,42,43,1
136,42,44,1
137,42,45,1
138,42,46,1
139,42,47,1
140,43,44,1
141,43,45,1
142,43,46,1
143,43,47,1
144,44,45,2
145,44,46,2
146,44,47,1
147,45,46,2
148,45,47,1
149,46,47,1
150,48,49,1
151,48,50,1
152,48,51,1
153,48,52,1
154,49,50,1
155,49,51,1
156,49,52,1
157,50,51,1
158,50,52,1
159,51,52,1
160,53,54,1
161,55,7,1
162,55,56,1
163,55,57,1
164,7,56,1
165,7,57,1
166,56,57,1
167,58,59,1
168,58,60,1
169,59,60,1
170,61,62,1
171,63,64,1
172,63,65,1
173,63,66,1
174,64,65,1
175,64,66,1
176,65,66,1
177,67,68,1
178,67,69,1
179,67,70,1
180,68,69,1
181,68,70,1
182,69,70,1
183,71,72,1
184,71,73,1
185,72,73,1
186,74,75,1
187,74,76,1
188,74,77,1
189,75,76,1
190,75,77,1
191,76,77,1
192,78,79,1
193,78,80,1
194,78,81,1
195,78,82,1
196,78,83,1
197,78,84,1
198,79,80,1
199,79,81,1
200,79,82,1
201,79,83,1
202,79,84,1
203,80,81,1
204,80,82,1
205,80,83,1
206,80,84,1
207,81,82,1
208,81,83,1
209,81,84,1
210,82,83,1
211,82,84,1
212,83,84,1
213,85,40,1
214,85,41,1
215,85,38,1
216,85,39,1
217,85,86,1
218,85,87,1
219,85,88,1
220,85,89,1
221,85,90,1
222,40,38,1
223,40,39,1
224,40,86,1
225,40,87,1
226,40,88,1
227,40,89,1
228,40,90,1
229,41,38,1
230,41,39,1
231,41,86,1
232,41,87,1
233,41,88,1
234,41,89,1
235,41,90,1
236,38,86,1
237,38,87,1
238,38,88,1
239,38,89,1
240,38,90,1
241,39,86,1
242,39,87,1
243,39,88,1
244,39,89,1
245,39,90,1
246,86,87,1
247,86,88,1
248,86,89,1
249,86,90,1
250,87,88,1
251,87,89,1
252,87,90,1
253,88,89,1
254,88,90,1
255,89,90,1
256,91,92,1
257,91,93,1
258,91,94,1
259,92,93,1
260,92,94,1
261,93,94,1
262,95,96,1
263,97,98,1
264,99,100,1
265,99,101,1
266,99,102,1
267,99,103,1
268,100,101,1
269,100,102,1
270,100,103,1
271,101,102,1
272,101,103,1
273,102,103,1
274,104,105,1
275,106,107,1
276,108,109,1
277,108,110,1
278,108,111,1
279,108,112,1
280,109,110,1
281,109,111,1
282,109,112,1
283,110,111,1
284,110,112,1
285,111,112,1
286,113,114,1
287,115,7,1
288,115,58,1
289,115,116,1
290,115,117,1
291,7,58,2
292,7,116,1
