na,Unnamed: 0,ner_id,link,name,orcid,email,affiliation
0,0.0,2,/author/37282811300,Alfredo Cuzzocrea,https://orcid.org/0000-0002-7104-6415,," University of Calabria  Rende, Italy"
1,1.0,3,/author/37271667500,Ernesto Damiani,https://orcid.org/0000-0002-9557-6496,," Khalifa University  Abu Dhabi, UAE;  Khalifa University  Abu Dhabi, UAE"
2,2.0,5,/author/37085469341,Nancy W. Grady,,," McLean  VA, USA"
3,3.0,6,/author/37085470952,Mark Underwood,,," CSIRO Oceans and Atmosphere Hobart  Tasmania, Australia"
4,4.0,7,/author/37085473697,Arnab Roy,,," Inc.  Sunnyvale, CA, USA"
5,5.0,8,/author/37436705400,Wo Chang,,,National Institute of Standards and Technology
6,6.0,12,/author/37086265597,He Liu,,," Global Energy Interconnection Research Institute co. Ltd  Beijing, China"
7,7.0,13,/author/37086267235,Fupeng Huang,,," Global Energy Interconnection Research Institute  Beijing, China"
8,8.0,14,/author/37086265744,Han Li,,," North China University of Technology  Beijing, China"
9,9.0,15,/author/37086363632,Weiwei Liu,,," Global Energy Interconnection Research Institute co.Ltd  Beijing, China"
10,10.0,16,/author/37086364487,Tongxun Wang,,," (State Grid Smart Grid Research Institute Co.  Ltd), Beijing, China"
11,11.0,18,/author/37085360697,Ardi Imawan,,," Pusan National University  Busan, South Korea"
12,12.0,19,/author/37085358545,Joonho Kwon,https://orcid.org/0000-0002-8207-9415,," Convergence Engineering  Pusan National University, Republic of Korea"
13,13.0,21,/author/37086109687,Darlan Arruda,,," University of Western Ontario  London, Canada"
14,14.0,22,/author/37314335900,Nazim H. Madhavji,,," Western University  London, ON, Canada"
15,15.0,24,/author/37089934415,Abderraouf Hafsaoui,,," University of Calabria  Rende, Italy"
16,16.0,25,/author/37279073000,Carson K. Leung,https://orcid.org/0000-0002-7541-9127,," University of Manitoba  Winnipeg, MB, Canada"
17,17.0,27,/author/37085816201,Anjum Zameer Bhat,,,"Department of Computing, Middle East College, Oman"
18,18.0,28,/author/37085822109,Imran Ahmed,,," Middle East College  Muscat, Oman"
19,19.0,30,/author/37088848013,Fang Peng,,,"Big Data Center of State Grid Corporation of China, Beijing, China"
20,20.0,31,/author/37088846974,Honggang Wang,,,"State Grid Co., Ltd. big data Center"
21,21.0,32,/author/37088848106,Li Zhuang,,," Ltd.  Fujian, China"
22,22.0,33,/author/37088847756,Minnan Wang,,,"State Grid Co., Ltd. big data Center"
23,23.0,34,/author/37088847158,Chengyue Yang,,,"State Grid Co., Ltd. big data Center"
24,24.0,36,/author/37088200254,Jayesh Patel,,," Carlsbad  CA, USA"
25,25.0,38,/author/37088823366,Tao Chen,,," No.5 Brigade of Postgraduate  Dalian, China"
26,26.0,39,/author/37088823677,Shiiun Rao,,," Dalian Naval Academy  Dalian, China"
27,27.0,40,/author/37088823564,Jun Hong,,," Dalian Navy Academy  Dalian, China"
28,28.0,42,/author/37089364845,Zhanchi Dong,,," Melbourne University  Melbourne, Australia"
29,29.0,44,/author/37085413409,Justin McHugh,,," GE Global Research  Niskayuna, NY, USA"
30,30.0,45,/author/37268657200,Paul Cuddihy,,,GE Research
31,31.0,46,/author/37085407642,Jenny Weisenberg Williams,,," AI Knowledge & Big Data  Niskayuna, NY, USA"
32,32.0,47,/author/37297235500,Kareem Aggour,,," Niskayuna  NY, USA"
33,33.0,48,/author/37086278989,Vijay S. Kumar,,," Niskayuna  NY, USA"
34,34.0,49,/author/37888624800,Varish Mulwad,,," Niskayuna  NY, USA"
35,35.0,51,/author/37086874865,Jaspreet Singh,https://orcid.org/0000-0002-9018-1233,," Chandigarh University  Gharuan, Punjab, India"
36,36.0,52,/author/37089613709,Gurpreet Singh,,," Chandigarh University  Mohali, India"
37,37.0,53,/author/37089021480,Amit Verma,,," Chandigarh University  Mohali, India"
38,38.0,55,/author/37088863387,Penglin Gao,,," Northwest Minzu University  Lanzhou, China"
39,39.0,56,/author/37088859756,Zhaoming Han,,," Northwest Minzu University  Lanzhou, China"
40,40.0,57,/author/37086934381,Fucheng Wan,,," Northwest Minzu University  Lanzhou, Gansu, China"
41,41.0,59,/author/37086962583,Kamlesh Kumar Pandey,,,"Department of Computer Science & Applications Sagar,India"
42,42.0,60,/author/37086960815,Diwakar Shukla,,,"Department of Computer Science and Applications Sagar,MP,India"
43,43.0,62,/author/37086215123,Liu Qing,,," Design & Research Institute CO. LTD  Beijing, China"
44,44.0,63,/author/37086224703,Zhu Boyu,,," Information Center of CAAC  Beijing, China"
45,45.0,64,/author/37078516200,Li Qinqian,,," Design & Research Institute CO. LTD  Beijing, China"
46,46.0,66,/author/37088891282,Liu Hongqiu,,," Zaozhuang University  Zaozhuang, China"
47,47.0,68,/author/37889636800,Huang Xiaoyan,,," Ltd  Tianjin, China"
48,48.0,69,/author/37088504594,Jiang Rong,,,"Data Center State Grid Chongqing Electric Power Company Information Communication Branch, Chongqing, China"
49,49.0,70,/author/37530119600,Hu Xiaoming,,," Guilin University of Electronic Technology  Guilin, China"
50,50.0,71,/author/37088504525,Wang Luxiao,,,"Big Data Application Room Ecological Environment Big Data Application Center, Chongqing, China"
51,51.0,73,/author/37088482372,Huili Zhang,,," Shandong Management University  Jinan, China"
52,52.0,75,/author/37089240616,Osvaldo Gogliano Sobrinho,https://orcid.org/0000-0002-6381-3450,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
53,53.0,76,/author/37089237901,Liedi Ledi Mariani Bernucci,https://orcid.org/0000-0002-4768-0993,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
54,54.0,77,/author/37087743771,Pedro Luiz Pizzigatti Corrêa,,," University of São Paulo  São Paulo, Brazil"
55,55.0,78,/author/37089241156,Rosângela Dos Santos Motta,https://orcid.org/0000-0002-6005-8285,," Polytechnic School  University of Sao Paulo, Sao Paulo, Brazil"
