,Unnamed: 0,from,to,count
0,0.0,0,1,1
1,1.0,0,2,1
2,2.0,1,2,3
3,3.0,3,4,1
4,4.0,3,5,1
5,5.0,3,6,1
6,6.0,3,7,1
7,7.0,4,5,1
8,8.0,4,6,1
9,9.0,4,7,1
10,10.0,5,6,1
11,11.0,5,7,1
12,12.0,6,7,1
13,13.0,8,2,1
14,14.0,9,2,2
15,15.0,10,11,1
16,16.0,10,12,1
17,17.0,10,13,1
18,18.0,10,14,1
19,19.0,10,15,1
20,20.0,11,12,1
21,21.0,11,13,1
22,22.0,11,14,1
23,23.0,11,15,1
24,24.0,12,13,1
25,25.0,12,14,1
26,26.0,12,15,1
27,27.0,13,14,1
28,28.0,13,15,1
29,29.0,14,15,1
30,30.0,16,17,1
31,31.0,16,18,1
32,32.0,17,18,1
33,33.0,19,20,1
34,34.0,19,21,1
35,35.0,20,21,1
36,36.0,22,2,1
37,37.0,22,23,1
38,38.0,22,24,1
39,39.0,2,23,1
40,40.0,2,24,3
41,41.0,23,24,2
42,42.0,25,26,1
43,43.0,25,27,1
44,44.0,26,27,1
45,45.0,28,29,1
46,46.0,28,30,1
47,47.0,28,31,1
48,48.0,28,32,1
49,49.0,28,33,1
50,50.0,29,30,1
51,51.0,29,31,1
52,52.0,29,32,1
53,53.0,29,33,1
54,54.0,30,31,1
55,55.0,30,32,1
56,56.0,30,33,1
57,57.0,31,32,1
58,58.0,31,33,1
59,59.0,32,33,1
60,60.0,34,35,1
61,61.0,36,37,1
62,62.0,36,38,1
63,63.0,36,39,1
64,64.0,37,38,1
65,65.0,37,39,1
66,66.0,38,39,1
67,67.0,40,41,1
68,68.0,42,43,1
69,69.0,42,44,1
70,70.0,42,45,1
71,71.0,42,46,1
72,72.0,42,47,1
73,73.0,42,48,1
74,74.0,43,44,1
75,75.0,43,45,1
76,76.0,43,46,1
77,77.0,43,47,1
78,78.0,43,48,1
79,79.0,44,45,1
80,80.0,44,46,1
81,81.0,44,47,2
82,82.0,44,48,1
83,83.0,45,46,3
84,84.0,45,47,3
85,85.0,45,48,2
86,86.0,46,47,3
87,87.0,46,48,2
88,88.0,47,48,2
89,89.0,49,50,1
90,90.0,49,51,1
91,91.0,49,52,1
92,92.0,50,51,1
93,93.0,50,52,1
94,94.0,51,52,1
95,95.0,53,54,1
96,96.0,53,55,1
97,97.0,53,56,1
98,98.0,54,55,1
99,99.0,54,56,1
100,100.0,55,56,1
101,101.0,57,58,1
102,102.0,57,59,1
103,103.0,58,59,1
104,104.0,60,61,1
105,105.0,60,62,1
106,106.0,60,63,1
107,107.0,61,62,1
108,108.0,61,63,1
109,109.0,62,63,1
110,110.0,64,65,1
111,111.0,66,67,1
112,112.0,66,68,1
113,113.0,66,69,1
114,114.0,66,70,1
115,115.0,67,68,1
116,116.0,67,69,1
117,117.0,67,70,1
118,118.0,68,69,1
119,119.0,68,70,1
120,120.0,69,70,1
121,121.0,71,72,1
122,122.0,73,74,1
123,123.0,73,75,1
124,124.0,73,76,1
125,125.0,73,77,1
126,126.0,73,78,1
127,127.0,73,79,1
128,128.0,73,80,1
129,129.0,73,81,1
130,130.0,73,82,1
131,131.0,73,83,1
132,132.0,73,84,1
133,133.0,73,85,1
134,134.0,74,75,1
135,135.0,74,76,1
136,136.0,74,77,1
137,137.0,74,78,1
138,138.0,74,79,1
139,139.0,74,80,1
140,140.0,74,81,1
141,141.0,74,82,1
142,142.0,74,83,1
143,143.0,74,84,1
144,144.0,74,85,1
145,145.0,75,76,2
146,146.0,75,77,1
147,147.0,75,78,2
148,148.0,75,79,2
149,149.0,75,80,2
150,150.0,75,81,1
151,151.0,75,82,2
152,152.0,75,83,2
153,153.0,75,84,1
154,154.0,75,85,2
155,155.0,76,77,1
156,156.0,76,78,2
157,157.0,76,79,2
158,158.0,76,80,2
159,159.0,76,81,1
160,160.0,76,82,2
161,161.0,76,83,2
162,162.0,76,84,1
163,163.0,76,85,2
164,164.0,77,78,1
165,165.0,77,79,1
166,166.0,77,80,1
167,167.0,77,81,1
168,168.0,77,82,1
169,169.0,77,83,1
170,170.0,77,84,1
171,171.0,77,85,1
172,172.0,78,79,2
173,173.0,78,80,2
174,174.0,78,81,1
175,175.0,78,82,2
176,176.0,78,83,2
177,177.0,78,84,1
178,178.0,78,85,2
179,179.0,79,80,2
180,180.0,79,81,1
181,181.0,79,82,2
182,182.0,79,83,2
183,183.0,79,84,1
184,184.0,79,85,2
185,185.0,80,81,1
186,186.0,80,82,2
187,187.0,80,83,2
188,188.0,80,84,1
189,189.0,80,85,2
190,190.0,81,82,1
191,191.0,81,83,1
192,192.0,81,84,1
193,193.0,81,85,1
194,194.0,82,83,2
195,195.0,82,84,1
196,196.0,82,85,2
197,197.0,83,84,1
198,198.0,83,85,2
199,199.0,84,85,1
200,200.0,86,87,1
201,201.0,86,88,1
202,202.0,86,89,1
203,203.0,86,90,1
204,204.0,87,88,1
205,205.0,87,89,1
206,206.0,87,90,1
207,207.0,88,89,1
208,208.0,88,90,2
209,209.0,89,90,1
210,210.0,91,92,1
211,211.0,93,94,1
212,212.0,93,95,1
213,213.0,93,96,1
214,214.0,94,95,1
215,215.0,94,96,1
216,216.0,95,96,1
217,217.0,97,2,1
218,218.0,97,3,1
219,219.0,2,3,8
220,220.0,98,99,1
221,221.0,100,101,1
222,222.0,102,2,1
223,223.0,102,25,1
224,224.0,102,103,1
225,225.0,102,104,1
226,226.0,2,25,12
227,227.0,2,103,1
228,228.0,2,104,4
229,229.0,25,103,1
230,230.0,25,104,2
231,231.0,103,104,2
232,232.0,105,106,1
233,233.0,105,107,1
234,234.0,106,107,1
235,235.0,108,109,1
236,236.0,108,110,1
237,237.0,108,111,1
238,238.0,109,110,1
239,239.0,109,111,1
240,240.0,110,111,1
241,241.0,112,113,1
242,242.0,112,114,1
243,243.0,112,115,1
244,244.0,112,116,1
245,245.0,113,114,1
246,246.0,113,115,1
247,247.0,113,116,1
248,248.0,114,115,1
249,249.0,114,116,1
250,250.0,115,116,1
251,251.0,117,118,1
252,252.0,117,119,1
253,253.0,118,119,1
254,254.0,120,121,1
255,255.0,120,122,1
256,256.0,120,123,1
257,257.0,120,124,1
258,258.0,121,122,1
259,259.0,121,123,1
260,260.0,121,124,1
261,261.0,122,123,1
262,262.0,122,124,1
263,263.0,123,124,1
264,264.0,125,126,1
265,265.0,125,127,1
266,266.0,126,127,1
267,267.0,128,129,1
268,268.0,128,130,1
269,269.0,128,131,1
270,270.0,129,130,1
271,271.0,129,131,1
272,272.0,130,131,1
273,273.0,132,133,1
274,274.0,132,134,1
275,275.0,132,135,1
