,from,to,count
0,1,2,2
1,1,3,2
2,2,3,6
3,4,5,1
4,4,6,1
5,4,7,1
6,4,8,1
7,5,6,1
8,5,7,1
9,5,8,1
10,6,7,1
11,6,8,1
12,7,8,1
13,9,2,2
14,10,2,2
15,11,12,1
16,11,13,1
17,12,13,3
18,14,15,1
19,14,16,1
20,15,16,4
21,17,18,1
22,17,19,1
23,17,20,1
24,17,21,1
25,17,22,1
26,18,19,2
27,18,20,2
28,18,21,1
29,18,22,1
30,19,20,2
31,19,21,1
32,19,22,1
33,20,21,1
34,20,22,1
35,21,22,1
36,23,2,2
37,23,24,2
38,23,25,2
39,2,24,3
40,2,25,14
41,24,25,2
42,26,27,1
43,26,28,1
44,26,29,1
45,26,30,1
46,26,31,1
47,27,28,1
48,27,29,1
49,27,30,1
50,27,31,1
51,28,29,1
52,28,30,1
53,28,31,1
54,29,30,1
55,29,31,1
56,30,31,1
57,32,33,1
58,32,34,1
59,33,34,2
60,35,36,1
61,37,38,1
62,37,39,1
63,37,40,1
64,38,39,1
65,38,40,1
66,39,40,1
67,41,42,1
68,41,43,1
69,41,44,1
70,41,45,1
71,41,46,1
72,41,47,1
73,42,43,1
74,42,44,1
75,42,45,2
76,42,46,1
77,42,47,1
78,43,44,3
79,43,45,3
80,43,46,2
81,43,47,1
82,44,45,4
83,44,46,2
84,44,47,1
85,45,46,2
86,45,47,1
87,46,47,1
88,48,49,1
89,50,51,1
90,50,52,1
91,50,53,1
92,51,52,1
93,51,53,1
94,52,53,1
95,54,55,1
96,54,56,1
97,54,57,1
98,54,58,1
99,54,59,1
100,54,60,1
101,54,61,1
102,54,62,1
103,54,63,1
104,54,64,1
105,54,65,1
106,54,66,1
107,55,56,2
108,55,57,1
109,55,58,2
110,55,59,2
111,55,60,2
112,55,61,1
113,55,62,2
114,55,63,2
115,55,64,1
116,55,65,2
117,55,66,2
118,56,57,1
119,56,58,2
120,56,59,2
121,56,60,2
122,56,61,1
123,56,62,2
124,56,63,2
125,56,64,1
126,56,65,2
127,56,66,2
128,57,58,1
129,57,59,1
130,57,60,1
131,57,61,1
132,57,62,1
133,57,63,1
134,57,64,1
135,57,65,1
136,57,66,1
137,58,59,2
138,58,60,2
139,58,61,1
140,58,62,2
141,58,63,2
142,58,64,1
143,58,65,2
144,58,66,2
145,59,60,2
146,59,61,1
147,59,62,2
148,59,63,2
149,59,64,1
150,59,65,2
151,59,66,2
152,60,61,1
153,60,62,2
154,60,63,2
155,60,64,1
156,60,65,2
157,60,66,2
158,61,62,1
159,61,63,1
160,61,64,1
161,61,65,1
162,61,66,1
163,62,63,2
164,62,64,1
165,62,65,2
166,62,66,2
167,63,64,1
168,63,65,2
169,63,66,2
170,64,65,1
171,64,66,1
172,65,66,2
173,67,68,1
174,67,69,1
175,67,70,1
176,67,71,1
177,68,69,1
178,68,70,1
179,68,71,1
180,69,70,1
181,69,71,1
182,70,71,1
183,72,73,1
184,72,74,1
185,72,75,1
186,73,74,1
187,73,75,1
188,74,75,1
189,76,77,1
190,76,78,1
191,77,78,2
192,79,80,1
193,79,81,1
194,79,82,1
195,80,81,1
196,80,82,1
197,81,82,1
198,83,84,1
199,85,86,1
200,87,88,1
201,87,89,1
202,87,90,1
203,88,89,1
204,88,90,1
205,89,90,4
206,91,92,1
207,93,94,1
208,93,95,1
209,93,96,1
210,93,97,1
211,94,95,1
212,94,96,2
213,94,97,1
214,95,96,1
215,95,97,1
216,96,97,1
217,98,99,1
218,100,2,2
219,100,3,2
220,101,102,1
221,103,104,1
222,103,105,1
223,104,105,1
224,106,2,2
225,106,25,2
226,106,107,2
227,106,108,2
228,2,107,5
229,2,108,2
230,25,107,2
231,25,108,2
232,107,108,2
233,109,110,1
234,109,111,1
235,109,112,1
236,110,111,1
237,110,112,1
238,111,112,1
239,113,114,1
240,113,115,1
241,113,116,1
242,113,117,1
243,114,115,1
244,114,116,1
245,114,117,1
246,115,116,1
247,115,117,1
248,116,117,1
249,118,119,1
250,118,120,1
251,118,121,1
