,id,type,name,link,count
0,1,1,"Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions",/document/9671686/,1
1,2,2,Alfredo Cuzzocrea,/author/37282811300,30
2,3,2,Ernesto Damiani,/author/37271667500,11
3,4,1,"Big Data: Challenges, practices and technologies: NIST Big Data Public Working Group workshop at IEEE Big Data 2014",/document/7004470/,1
4,5,2,Nancy W. Grady,/author/37085469341,4
5,6,2,Mark Underwood,/author/37085470952,1
6,7,2,Arnab Roy,/author/37085473697,1
7,8,2,Wo L. Chang,/author/37436705400,1
8,9,1,"Big Data Lakes: Models, Frameworks, and Techniques",/document/9373107/,1
9,10,1,Big OLAP Data Cube Compression Algorithms in Column-Oriented Cloud/Edge Data Infrastructures,/document/10411769/,1
10,11,1,A timeline visualization system for road traffic big data,/document/7364125/,1
11,12,2,Ardi Imawan,/author/37085360697,3
12,13,2,Joonho Kwon,/author/37085358545,4
13,14,1,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,/document/8258521/,1
14,15,2,Darlan Arruda,/author/37086109687,5
15,16,2,Nazim H. Madhavji,/author/37314335900,5
16,17,1,A Big Data Framework for Electric Power Data Quality Assessment,/document/8332632/,1
17,18,2,He Liu,/author/37086265597,2
18,19,2,Fupeng Huang,/author/37086267235,2
19,20,2,Han Li,/author/37086265744,2
20,21,2,Weiwei Liu,/author/37086363632,1
21,22,2,Tongxun Wang,/author/37086364487,1
22,23,1,Machine-Learning-Based Multidimensional Big Data Analytics over Clouds via Multi-Columnar Big OLAP Data Cube Compression,/document/10386560/,1
23,24,2,Abderraouf Hafsaoui,/author/37089934415,1
24,25,2,Carson K. Leung,/author/37279073000,49
25,26,1,Methods of enterprise electronic file content information mining under big data environment,/document/9403767/,1
26,27,2,Fang Peng,/author/37088848013,1
27,28,2,Honggang Wang,/author/37088846974,1
28,29,2,Li Zhuang,/author/37088848106,2
29,30,2,Minnan Wang,/author/37088847756,1
30,31,2,Chengyue Yang,/author/37088847158,1
31,32,1,"Big data for institutional planning, decision support and academic excellence",/document/7460353/,1
32,33,2,Anjum Zameer Bhat,/author/37085816201,2
33,34,2,Imran Ahmed,/author/37085822109,3
34,35,1,An Effective and Scalable Data Modeling for Enterprise Big Data Platform,/document/9005614/,1
35,36,2,Jayesh Patel,/author/37088200254,1
36,37,1,Research on the Development of Maritime and Air Intelligence Big Data,/document/9384569/,1
37,38,2,Tao Chen,/author/37088823366,1
38,39,2,Shiiun Rao,/author/37088823677,1
39,40,2,Jun Hong,/author/37088823564,1
40,41,1,Integrated access to big data polystores through a knowledge-driven framework,/document/8258083/,1
41,42,2,Justin McHugh,/author/37085413409,3
42,43,2,Paul E. Cuddihy,/author/37268657200,4
43,44,2,Jenny Weisenberg Williams,/author/37085407642,5
44,45,2,Kareem S. Aggour,/author/37297235500,5
45,46,2,Vijay S. Kumar,/author/37086278989,3
46,47,2,Varish Mulwad,/author/37888624800,1
47,48,1,Research of Big Data Information Mining and Analysis : Technology Based on Hadoop Technology,/document/9758457/,1
48,49,2,Zhanchi Dong,/author/37089364845,1
49,50,1,"The Anatomy of Big Data: Concepts, Principles and Challenges",/document/9785082/,1
50,51,2,Jaspreet Singh,/author/37086874865,1
51,52,2,Gurpreet Singh,/author/37089613709,1
52,53,2,Amit Verma,/author/37089021480,1
53,54,1,Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,/document/9671739/,1
54,55,2,Osvaldo Gogliano Sobrinho,/author/37089240616,2
55,56,2,Liedi Ledi Mariani Bernucci,/author/37089237901,2
56,57,2,Pedro Luiz Pizzigatti Corrêa,/author/37087743771,1
57,58,2,Rosângela dos Santos Motta,/author/37089241156,2
58,59,2,Jeaneth Machicao,/author/37089240766,2
59,60,2,Angelo Samuel Junqueira,/author/37089238190,2
60,61,2,Robson Correia da Costa,/author/37089238707,1
61,62,2,Wellingthon Dias de Queiroz,/author/37089237859,2
62,63,2,Thales Cesar Giriboni de Mello e Silva,/author/37089240207,2
63,64,2,Pedro Lopes Ferraz,/author/37089237739,1
64,65,2,Luciano Cassaro,/author/37089239584,2
65,66,2,Luciano Oliveira,/author/37089240484,2
66,67,1,Thoughts On The Ecological Environment Management Innovation Driven By Big Data,/document/9196489/,1
67,68,2,Huang Xiaoyan,/author/37889636800,1
68,69,2,Jiang Rong,/author/37088504594,1
69,70,2,Hu Xiaoming,/author/37530119600,1
70,71,2,Wang Luxiao,/author/37088504525,1
71,72,1,Big Data Processing and Application Research,/document/9425958/,1
72,73,2,Penglin Gao,/author/37088863387,1
73,74,2,Zhaoming Han,/author/37088859756,1
74,75,2,Fucheng Wan,/author/37086934381,1
75,76,1,Challenges of Big Data to Big Data Mining with their Processing Framework,/document/8820282/,1
76,77,2,Kamlesh Kumar Pandey,/author/37086962583,2
77,78,2,Diwakar shukla,/author/37086960815,2
78,79,1,Impact of big data on Electric-power industry,/document/8078863/,1
79,80,2,Liu Qing,/author/37086215123,1
80,81,2,Zhu Boyu,/author/37086224703,1
81,82,2,Li Qinqian,/author/37078516200,1
82,83,1,Research on Library Personalized Service Mode Based on Big Data Application,/document/9457403/,1
83,84,2,Liu Hongqiu,/author/37088891282,1
84,85,1,Research on the Application of Big Data in Industrial Structure Adjustment and Economic Indexes,/document/9110106/,1
85,86,2,Huili Zhang,/author/37088482372,1
86,87,1,Web-based collaborative big data analytics on big data as a service platform,/document/7224859/,1
87,88,2,Kyounghyun Park,/author/38240869800,1
88,89,2,Minh Chau Nguyen,/author/37085623412,5
89,90,2,Heesun Won,/author/37284843900,6
90,91,1,Research on Innovation of Automobile Marketing Mode Based on Big Data Marketing,/document/9434443/,1
91,92,2,Kai Xiong,/author/37088436182,1
92,93,1,"Data quality in big data processing: Issues, solutions and open problems",/document/8397554/,1
93,94,2,Pengcheng Zhang,/author/37071893400,2
94,95,2,Fang Xiong,/author/37086405223,1
95,96,2,Jerry Gao,/author/37279696100,5
96,97,2,Jimin Wang,/author/37089394463,1
97,98,1,Research on Data Quality Improvement Program Based on Big Data Application,/document/10165495/,1
98,99,2,Xuerong Zuo,/author/37089901228,1
99,100,1,Pedigree-ing Your Big Data: Data-Driven Big Data Privacy in Distributed Environments,/document/8411087/,1
100,101,1,Design and application of real estate market monitoring platform based on spatio-temporal big data,/document/9727001/,1
101,102,2,YinXue Huang,/author/37089326159,1
102,103,1,Big Data Analytics Framework for Digital Government,/document/9245461/,1
103,104,2,Papoj Thamjaroenporn,/author/37088548868,1
104,105,2,Tiranee Achalakul,/author/37297117200,1
105,106,1,Effectively and Efficiently Supporting Predictive Big Data Analytics over Open Big Data in the Transportation Sector: A Bayesian Network Framework,/document/9927788/,1
106,107,2,Mojtaba Hajian,/author/37089778531,2
107,108,2,Marshall D. Jackson,/author/37088961840,1
108,109,1,Operation Framework of the Command Information System Based on Big Data Analysis,/document/9095568/,1
109,110,2,Liya Jin,/author/37087748569,1
110,111,2,Meng Xing,/author/37088405704,1
111,112,2,Ronghui Wang,/author/37088405907,1
112,113,1,Linked Open Data mining for democratization of big data,/document/7004479/,1
113,114,2,Roberto Espinosa,/author/37085399272,1
114,115,2,Larisa Garriga,/author/37085383771,1
115,116,2,Jose Jacobo Zubcoff,/author/38111299700,1
116,117,2,Jose-Norberto Mazón,/author/37316559900,1
117,118,1,Research on Big Data Security and Privacy Risk Governance,/document/9727068/,1
118,119,2,XinRui Wang,/author/37089327118,1
119,120,2,Wei Luo,/author/37089323274,1
120,121,2,XiaoLi Bai,/author/37089323025,1
121,122,2,Yi Wang,/author/37089325221,1
122,123,1,Application of Statistical Sampling Survey in the Context of Big Data Era : ——Based on China’s 1% population sample survey in 2015,/document/9516494/,1
123,124,2,Xin Jian,/author/37088946269,1
124,125,2,WeiZhang Lai,/author/37088947251,1
125,126,1,The Framework of Extracting Unstructured Usage for Big Data Platform,/document/9552131/,1
126,127,2,Tung-lersloy Chasupa,/author/37088985493,1
127,128,2,Worapat Paireekreng,/author/37395572800,1
128,129,1,"An iterative methodology for big data management, analysis and visualization",/document/7363798/,1
129,130,2,Roberto Tardío,/author/37085718618,2
130,131,2,Alejandro Mate,/author/38029718400,2
131,132,2,Juan Trujillo,/author/37296870300,2
132,133,1,Random Sample Partition-Based Clustering Ensemble Algorithm for Big Data,/document/9671297/,1
133,134,2,Xueqin Du,/author/37089240834,1
134,135,2,Yulin He,/author/37690088100,3
135,136,2,Joshua Zhexue Huang,/author/37081979900,7
136,137,1,Research on the Risk and Supervision Method of Big Data Application in Financial Field,/document/9110076/,1
137,138,2,Ruobing Yang,/author/37088484811,1
138,139,1,An Open Sharing Pattern Design of Massive Power Big Data,/document/8725750/,1
139,140,2,Sen Pan,/author/37086811414,1
140,141,2,Lipeng Zhu,/author/37089342361,2
141,142,2,Junfeng Qiao,/author/37087322190,2
142,143,1,The value of data mining for surveillance video in big data era,/document/8078808/,1
143,144,2,Honghua Xu,/author/37596367500,1
144,145,2,Ming Fang,/author/38244364500,1
145,146,2,Li Li,/author/37089055807,1
146,147,2,Ye Tian,/author/37086216100,1
147,148,2,Yanfeng Li,/author/37086219548,1
148,149,1,Analysis on the Influence and Countermeasures of Big Data in Military Logistics Support,/document/9110003/,1
149,150,2,Ying Zeng,/author/37088489619,1
150,151,1,"Multidimensional Big Data Analytics over Big Web Knowledge Bases: Models, Issues, Research Trends, and a Reference Architecture",/document/9999124/,1
151,152,1,Privacy Preserving Big Data Publishing,/document/8625358/,1
152,153,2,Yavuz Canbay,/author/37085646992,3
153,154,2,Yilmaz Vural,/author/37086053256,1
154,155,2,Seref Sagiroglu,/author/37371686200,5
155,156,1,Federated Multimodal Big Data Storage & Analytics Platform for Additive Manufacturing,/document/9006495/,1
156,157,2,Vipul Gupta,/author/37088198573,1
157,158,2,Laura Dial,/author/37088198088,1
158,159,2,Tim Hanlon,/author/37087277617,1
159,160,2,Justin Gambone,/author/37088200209,1
160,161,2,Joseph Vinciquerra,/author/37088198348,1
161,162,1,Full Consideration of Big Data Characteristics in Sentiment Analysis Context,/document/8725728/,1
162,163,2,Imane El Alaoui,/author/37086846214,1
163,164,2,Youssef Gahi,/author/38274833800,3
164,165,2,Rochdi Messoussi,/author/37085451260,1
165,166,1,Big Data Application Technology Framework for Land Use Monitoring,/document/9760334/,1
166,167,2,Fanjun Meng,/author/37089367326,2
167,168,2,Xuchun Liu,/author/37089367143,1
168,169,2,Fanrong Meng,/author/37089367325,2
169,170,2,Shaoguang Li,/author/37089368049,1
170,171,1,The big data analysis and mining of people's livelihood appeal based on time series modeling and algorithm,/document/9130588/,1
171,172,2,Liang Lixin,/author/38252269500,1
172,173,2,Lin Lin,/author/37088431336,1
173,174,1,Research and application on occupational hazards regulation big data,/document/8367675/,1
174,175,2,Yan Chen,/author/37085769315,2
175,176,2,Xin Li,/author/37085774859,2
176,177,1,Hp-Apriori: Horizontal parallel-apriori algorithm for frequent itemset mining from big data,/document/8078825/,1
177,178,2,Mohammad-Hossein Nadimi-Shahraki,/author/37079204800,1
178,179,2,Mehdi Mansouri,/author/37086229230,1
179,180,1,Research on Medical Service System Based on Big Data Technology,/document/8669529/,1
180,181,2,Guijuan Song,/author/37087681574,1
181,182,2,Yandong Wen,/author/37089402723,1
182,183,2,Yue Jia,/author/37087681162,1
183,184,2,Hongbo Liu,/author/37087683101,1
184,185,1,The Challenges of Big Data Governance in Healthcare,/document/8456108/,1
185,186,2,Daniel Tse,/author/37085461106,1
186,187,2,Chung-kin Chow,/author/37087399106,1
187,188,2,Ting-pong Ly,/author/37086461864,1
188,189,2,Chung-yan Tong,/author/37087399317,1
189,190,2,Kwok-wah Tam,/author/37087399303,1
190,191,1,A robust model for big healthcare data analytics,/document/7508117/,1
191,192,2,Ritu Chauhan,/author/37085577929,2
192,193,2,Rajesh Jangade,/author/37085807184,1
193,194,1,Research on the Core Technology of Education Big Data Based on Data Mining,/document/9403166/,1
194,195,2,Chun-li Wang,/author/37088597273,2
195,196,1,Synthetic Aperture Radar for SDGs in Big Data Era,/document/9574431/,1
196,197,2,Chao Wang,/author/37280017400,1
197,198,2,Yixian Tang,/author/37403087700,1
198,199,2,Hong Zhang,/author/37280789800,1
199,200,2,Bo Zhang,/author/37405133200,1
200,201,2,Fan Wu,/author/37398797400,1
201,202,2,Lu Xu,/author/37086230116,2
202,203,1,Random Sample Partition: A Distributed Data Model for Big Data Analysis,/document/8706990/,1
203,204,2,Salman Salloum,/author/38096745800,3
204,205,1,Data quality assessment for on-line monitoring and measuring system of power quality based on big data and data provenance theory,/document/8386521/,1
205,206,2,Tian Hongxun,/author/37086397288,1
206,207,2,Wang Honggang,/author/37589953200,2
207,208,2,Zhou Kun,/author/37089444437,1
208,209,2,Shi Mingtai,/author/37086395526,2
209,210,2,Li Haosong,/author/37086157544,2
210,211,2,Xu Zhongping,/author/37086395295,2
211,212,2,Kang Taifeng,/author/37393435200,1
212,213,2,Li Jin,/author/37086150394,2
213,214,2,Cai Yaqi,/author/37086397617,1
214,215,1,Multi-Dimensional Visualization Analysis of China's Big Data Research from 2012 to 2019,/document/8945787/,1
215,216,2,Wei Zhang,/author/37087225986,1
216,217,2,Liling Li,/author/37087225514,1
217,218,1,Research on architecture of education big data analysis system,/document/8078706/,1
218,219,2,Jinhua Chen,/author/37085805351,2
219,220,2,Jing Tang,/author/37085805103,2
220,221,2,Qin Jiang,/author/37085809612,2
221,222,2,Yuxin Wang,/author/37085806032,2
222,223,2,Chunmei Tao,/author/37086244329,1
223,224,2,Xu Zhang,/author/37087464680,1
224,225,2,Jingya Liao,/author/37087463635,1
225,226,1,Platforms for big data analytics: Trend towards hybrid era,/document/8390056/,1
226,227,2,Alka Londhe,/author/37086326469,1
227,228,2,Pvrd Prasada Rao,/author/37087785614,1
228,229,1,Data Storage Adapter in Big Data Platform,/document/7433708/,1
229,230,1,Research Status and Future Expectation of Agricultural Big Data Technology,/document/9201706/,1
230,231,2,Li-Ping Yang,/author/37085643034,1
231,232,2,Fang Zheng,/author/37086563400,1
232,233,2,Li Qin,/author/37087010582,1
233,234,1,Some key problems of data management in army data engineering based on big data,/document/8078796/,1
234,235,2,Xiao HongJu,/author/37086256958,1
235,236,2,Wang Fei,/author/37086258373,1
236,237,2,Wang FenMei,/author/37086255687,1
237,238,2,Wang XiuZhen,/author/37885792400,1
238,239,1,Analysis of the Security Strategy of Computer Network Data under the Background of Big Data,/document/9459026/,1
239,240,2,Xiaolan Yu,/author/37088901961,1
240,241,1,QualiBD: A Tool for Modelling Quality Requirements for Big Data Applications,/document/9006294/,1
241,242,1,Big data application in job trend analysis,/document/7841089/,1
242,243,2,Priyanka Kale,/author/37086121840,1
243,244,2,Shilpa Balan,/author/37086121409,2
244,245,1,A Novel Rigorous Measurement Model for Big Data Quality Characteristics,/document/10020564/,1
245,246,2,Haochen Zou,/author/37089701091,1
246,247,2,Kun Xiang,/author/37089416552,1
247,248,1,Research on Big Data Analysis Data Acquisition and Data Analysis,/document/9545987/,1
248,249,2,Hong Li,/author/37088976904,1
249,250,1,Research progress on network public opinion based on rough sets from the big data perspective,/document/8785871/,1
250,251,2,Jianguo Tang,/author/38194824900,2
251,252,2,Jianghua Wang,/author/37086931428,2
252,253,2,Chunlin Wu,/author/37086931292,1
253,254,1,Research on Gridding Management of Intelligent Society Based on Big Data,/document/9457419/,1
254,255,2,Hang Gao,/author/37088492716,2
255,256,1,Distributed Data Strategies to Support Large-Scale Data Analysis Across Geo-Distributed Data Centers,/document/9208652/,1
256,257,2,Tamer Z. Emara,/author/37086835304,1
257,258,1,Big data cleaning model of smart grid based on Tensor Tucker decomposition,/document/9403806/,1
258,259,2,Jun Yin,/author/37088846624,1
259,260,2,Jianye Zhang,/author/37088846584,1
260,261,2,Degao Li,/author/37088846138,1
261,262,2,Tianjun Wang,/author/37089937661,1
262,263,2,Kang Jing,/author/37668929900,1
263,264,1,Experimental teaching design and practice on big data course,/document/8085555/,1
264,265,2,Xiaotao Huang,/author/37086230081,2
265,266,2,Niannian Qin,/author/37086251368,1
266,267,2,Xiaofang Zhang,/author/37405047200,2
267,268,2,Fen Wang,/author/37086224982,2
268,269,1,Big Data Quality Framework: Pre-Processing Data in Weather Monitoring Application,/document/8862267/,1
269,270,2,Ashish Juneja,/author/37087042832,1
270,271,2,Nripendra Narayan Das,/author/37087039396,1
271,272,1,Data Factory: An Efficient Data Analysis Solution in the Era of Big Data,/document/9101284/,1
272,273,2,Yaojun Wang,/author/37086226495,1
273,274,2,Yangyang Li,/author/37088410782,1
274,275,2,Jingyan Sui,/author/37088411347,1
275,276,2,Yang Gao,/author/37089921057,1
276,277,1,Using Big Data Analytics to Create a Predictive Model for Joint Strike Fighter,/document/8622388/,1
277,278,2,Ryan Norman,/author/37086603588,1
278,279,2,Jason Bolin,/author/37086602271,1
279,280,2,Edward T. Powell,/author/37086604138,1
280,281,2,Sanket Amin,/author/37086600752,1
281,282,2,John Nacker,/author/37086599380,1
282,283,1,Research on big data application in intelligent safety supervision,/document/8078866/,1
283,284,1,"The need for new processes, methodologies and tools to support big data teams and improve big data project effectiveness",/document/7363988/,1
284,285,2,Jeffrey S. Saltz,/author/37085646887,4
285,286,1,Big Federal Data Centers Implementing FAIR Data Principles: ARM Data Center Example,/document/9006051/,1
286,287,2,Ranjeet Devarakonda,/author/37706458000,3
287,288,2,Giri Prakash,/author/37086029540,3
288,289,2,Kavya Guntupally,/author/37086603456,1
289,290,2,Jitendra Kumar,/author/37605956600,2
290,291,1,Antecedents of big data quality: An empirical examination in financial service organizations,/document/7840595/,1
291,292,2,Adiska Fardani Haryadi,/author/37086108490,1
292,293,2,Joris Hulstijn,/author/37284842900,1
293,294,2,Agung Wahyudi,/author/37086107712,1
294,295,2,Haiko van der Voort,/author/37948597100,1
295,296,2,Marijn Janssen,/author/37391201200,1
296,297,1,Research on the Biological Basis of Treating Different Diseases with Same Method Based on Big Data Mining and Complex Network,/document/8552321/,1
297,298,2,Xing Zhai,/author/37085999978,1
298,299,2,Junnan Liu,/author/37086548515,1
299,300,2,Aiqing Han,/author/37086548611,1
300,301,2,Shuang Ding,/author/37085762298,1
301,302,2,Youliang Huang,/author/37086001781,1
302,303,2,Peng Yin,/author/37086548643,1
303,304,2,Min Wang,/author/37086548895,1
304,305,1,Research on data cleaning in big data environment,/document/10053155/,1
305,306,2,Fengwei Zou,/author/37089743911,1
306,307,1,Research on the intelligent application scenarios of big data technology in customs declaration and clearance,/document/10053346/,1
307,308,2,Xiaoying Chen,/author/37089643052,2
308,309,1,Research on the Application of Big Data in Academic Libraries,/document/8332783/,1
309,310,2,Yueyun Liu,/author/37086365392,1
310,311,1,A Study on the Impact of Big Data Complexity Technostress on Data Management Capabilities,/document/10206411/,1
311,312,2,Mianzhen Pan,/author/37085883519,1
312,313,2,Haili Yan,/author/37089936304,1
313,314,2,Zetong Zhang,/author/37089936490,1
314,315,2,Kexin Chen,/author/37089935890,1
315,316,1,Challenges of Software Testing for Astronomical Big Data,/document/8029373/,1
316,317,2,Lixiao Zhou,/author/37086026776,1
317,318,2,Maohai Huang,/author/37085586292,1
318,319,1,Using Big Data for Profiling Heavy Users in Top Video Apps,/document/7207247/,1
319,320,2,Chieh-Hsin Liao,/author/37085414187,1
320,321,2,Yu-Heng Lei,/author/37085407527,1
321,322,2,Kai-Yu Liou,/author/37085420563,1
322,323,2,Jian-Shing Lin,/author/37085415308,1
323,324,2,Hsiao-Feng Yeh,/author/37085409371,1
324,325,1,"Making the Pedigree to Your Big Data Repository: Innovative Methods, Solutions, and Algorithms for Supporting Big Data Privacy in Distributed Settings via Data-Driven Paradigms",/document/8754035/,1
325,326,1,Research on Feasibility Path of Technology Supervision and Technology Protection in Big Data Environment,/document/8669607/,1
326,327,2,Hongling Liu,/author/37086947257,2
327,328,1,Opportunities and Challenges of Macroeconomic Analysis in Big Data Era,/document/9442518/,1
328,329,2,Chengzhao Zhang,/author/37086293202,1
329,330,2,Heping Pan,/author/37086286736,1
330,331,1,Research on Financial Information Model Construction under the Background of Big Data,/document/9442572/,1
331,332,2,Xiaoqi Cong,/author/37088877551,2
332,333,1,Intelligent Procuratorate Depends on Big Data Investigation Technology,/document/8725723/,1
333,334,2,Yong Hu,/author/37086849856,1
334,335,1,Research on Innovation of Enterprise Business Model Based on Big Data Analysis,/document/9434477/,1
335,336,2,Changning Liu,/author/37088873838,1
336,337,2,Kecen Liu,/author/37088871478,1
337,338,2,Jiayi Ma,/author/37088874822,1
338,339,1,Big Data Technology Boosts Research on the Modernization of Vocational Education Management in Shandong Province,/document/9457414/,1
339,340,2,Ying Zheng,/author/37088895607,1
340,341,1,Corddl: An Efficient and Extensible Connector between Relational Databases and Data Lakes,/document/10481929/,1
341,342,2,Tao Zhang,/author/750475692634571,1
342,343,2,Hao Liu,/author/889773535263213,1
343,344,2,Chenxi Yu,/author/37090087541,1
344,345,2,Peng Wang,/author/37089474398,1
345,346,1,Hadoop as Big Data Operating System -- The Emerging Approach for Managing Challenges of Enterprise Big Data Platform,/document/7184922/,1
346,347,2,Sourav Mazumdar,/author/37085379007,2
347,348,2,Subhankar Dhar,/author/37841878100,2
348,349,1,Data confidentiality challenges in big data applications,/document/7364111/,1
349,350,2,Jian Yin,/author/37853397900,1
350,351,2,Dongfang Zhao,/author/37072460200,1
351,352,1,Data science vs big data @ UTM big data centre,/document/7407766/,1
352,353,2,Siti Mariyam Shamsuddin,/author/37272446700,1
353,354,2,Shafaatunnur Hasan,/author/37977301200,1
354,355,1,Requirements Engineering Practices and Challenges in the Context of Big Data Software Development Projects: Early Insights from a Case Study,/document/9377734/,1
355,356,2,Rodrigo Laigner,/author/37087141428,1
356,357,1,Application of big data acquisition and analysis technology in social risk management,/document/9726996/,1
357,358,2,TaoLin Zhou,/author/37089325729,1
358,359,1,The Opportunity and Path of School Physical Education Reform in the Era of Big Data,/document/9457465/,1
359,360,2,Jianxun SHAO,/author/37088896395,1
360,361,2,Wenhao Liu,/author/37088892877,1
361,362,1,Research on the value and application of power big data in external value-added services,/document/10092639/,1
362,363,2,ZhengXiong Mao,/author/37089787889,4
363,364,2,Hui Li,/author/37089853528,1
364,365,2,ZuYuan Huang,/author/37089782983,2
