,id,type,name,link,count
0,1,1,"Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions",/document/9671686/,2
1,2,2,Alfredo Cuzzocrea,/author/37282811300,219
2,3,2,Ernesto Damiani,/author/37271667500,14
3,4,1,"Big Data: Challenges, practices and technologies: NIST Big Data Public Working Group workshop at IEEE Big Data 2014",/document/7004470/,1
4,5,2,Nancy W. Grady,/author/37085469341,4
5,6,2,Mark Underwood,/author/37085470952,1
6,7,2,Arnab Roy,/author/37085473697,1
7,8,2,Wo L. Chang,/author/37436705400,1
8,9,1,"Big Data Lakes: Models, Frameworks, and Techniques",/document/9373107/,2
9,10,1,Big OLAP Data Cube Compression Algorithms in Column-Oriented Cloud/Edge Data Infrastructures,/document/10411769/,2
10,11,1,A timeline visualization system for road traffic big data,/document/7364125/,1
11,12,2,Ardi Imawan,/author/37085360697,3
12,13,2,Joonho Kwon,/author/37085358545,4
13,14,1,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,/document/8258521/,1
14,15,2,Darlan Arruda,/author/37086109687,5
15,16,2,Nazim H. Madhavji,/author/37314335900,5
16,17,1,A Big Data Framework for Electric Power Data Quality Assessment,/document/8332632/,1
17,18,2,He Liu,/author/37086265597,2
18,19,2,Fupeng Huang,/author/37086267235,2
19,20,2,Han Li,/author/37086265744,2
20,21,2,Weiwei Liu,/author/37086363632,1
21,22,2,Tongxun Wang,/author/37086364487,1
22,23,1,Machine-Learning-Based Multidimensional Big Data Analytics over Clouds via Multi-Columnar Big OLAP Data Cube Compression,/document/10386560/,2
23,24,2,Abderraouf Hafsaoui,/author/37089934415,3
24,25,2,Carson K. Leung,/author/37279073000,56
25,26,1,Methods of enterprise electronic file content information mining under big data environment,/document/9403767/,1
26,27,2,Fang Peng,/author/37088848013,1
27,28,2,Honggang Wang,/author/37088846974,1
28,29,2,Li Zhuang,/author/37088848106,2
29,30,2,Minnan Wang,/author/37088847756,1
30,31,2,Chengyue Yang,/author/37088847158,1
31,32,1,"Big data for institutional planning, decision support and academic excellence",/document/7460353/,1
32,33,2,Anjum Zameer Bhat,/author/37085816201,2
33,34,2,Imran Ahmed,/author/37085822109,3
34,35,1,An Effective and Scalable Data Modeling for Enterprise Big Data Platform,/document/9005614/,1
35,36,2,Jayesh Patel,/author/37088200254,1
36,37,1,Research on the Development of Maritime and Air Intelligence Big Data,/document/9384569/,1
37,38,2,Tao Chen,/author/37088823366,1
38,39,2,Shiiun Rao,/author/37088823677,1
39,40,2,Jun Hong,/author/37088823564,1
40,41,1,Integrated access to big data polystores through a knowledge-driven framework,/document/8258083/,1
41,42,2,Justin McHugh,/author/37085413409,3
42,43,2,Paul E. Cuddihy,/author/37268657200,4
43,44,2,Jenny Weisenberg Williams,/author/37085407642,5
44,45,2,Kareem S. Aggour,/author/37297235500,5
45,46,2,Vijay S. Kumar,/author/37086278989,3
46,47,2,Varish Mulwad,/author/37888624800,1
47,48,1,Research of Big Data Information Mining and Analysis : Technology Based on Hadoop Technology,/document/9758457/,1
48,49,2,Zhanchi Dong,/author/37089364845,1
49,50,1,"The Anatomy of Big Data: Concepts, Principles and Challenges",/document/9785082/,1
50,51,2,Jaspreet Singh,/author/37086874865,1
51,52,2,Gurpreet Singh,/author/37089613709,1
52,53,2,Amit Verma,/author/37089021480,1
53,54,1,Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,/document/9671739/,1
54,55,2,Osvaldo Gogliano Sobrinho,/author/37089240616,2
55,56,2,Liedi Ledi Mariani Bernucci,/author/37089237901,2
56,57,2,Pedro Luiz Pizzigatti Corrêa,/author/37087743771,1
57,58,2,Rosângela dos Santos Motta,/author/37089241156,2
58,59,2,Jeaneth Machicao,/author/37089240766,2
59,60,2,Angelo Samuel Junqueira,/author/37089238190,2
60,61,2,Robson Correia da Costa,/author/37089238707,1
61,62,2,Wellingthon Dias de Queiroz,/author/37089237859,2
62,63,2,Thales Cesar Giriboni de Mello e Silva,/author/37089240207,2
63,64,2,Pedro Lopes Ferraz,/author/37089237739,1
64,65,2,Luciano Cassaro,/author/37089239584,2
65,66,2,Luciano Oliveira,/author/37089240484,2
66,67,1,Thoughts On The Ecological Environment Management Innovation Driven By Big Data,/document/9196489/,1
67,68,2,Huang Xiaoyan,/author/37889636800,1
68,69,2,Jiang Rong,/author/37088504594,1
69,70,2,Hu Xiaoming,/author/37530119600,1
70,71,2,Wang Luxiao,/author/37088504525,1
71,72,1,Big Data Processing and Application Research,/document/9425958/,1
72,73,2,Penglin Gao,/author/37088863387,1
73,74,2,Zhaoming Han,/author/37088859756,1
74,75,2,Fucheng Wan,/author/37086934381,1
75,76,1,Challenges of Big Data to Big Data Mining with their Processing Framework,/document/8820282/,1
76,77,2,Kamlesh Kumar Pandey,/author/37086962583,2
77,78,2,Diwakar shukla,/author/37086960815,2
78,79,1,Impact of big data on Electric-power industry,/document/8078863/,1
79,80,2,Liu Qing,/author/37086215123,1
80,81,2,Zhu Boyu,/author/37086224703,1
