,ner_id,link,title,doi
0,1,/document/9671686/,"Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions",10.1109/BigData52589.2021.9671686
1,4,/document/7004470/,"Big Data: Challenges, practices and technologies: NIST Big Data Public Working Group workshop at IEEE Big Data 2014",10.1109/BigData.2014.7004470
2,9,/document/9373107/,"Big Data Lakes: Models, Frameworks, and Techniques",10.1109/BigComp51126.2021.00010
3,10,/document/10411769/,Big OLAP Data Cube Compression Algorithms in Column-Oriented Cloud/Edge Data Infrastructures,10.1109/BigMM59094.2023.00020
4,11,/document/7364125/,A timeline visualization system for road traffic big data,10.1109/BigData.2015.7364125
5,14,/document/8258521/,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,10.1109/BigData.2017.8258521
6,17,/document/8332632/,A Big Data Framework for Electric Power Data Quality Assessment,10.1109/WISA.2017.29
7,23,/document/10386560/,Machine-Learning-Based Multidimensional Big Data Analytics over Clouds via Multi-Columnar Big OLAP Data Cube Compression,10.1109/BigData59044.2023.10386560
8,26,/document/9403767/,Methods of enterprise electronic file content information mining under big data environment,10.1109/ICBASE51474.2020.00008
9,32,/document/7460353/,"Big data for institutional planning, decision support and academic excellence",10.1109/ICBDSC.2016.7460353
10,35,/document/9005614/,An Effective and Scalable Data Modeling for Enterprise Big Data Platform,10.1109/BigData47090.2019.9005614
11,37,/document/9384569/,Research on the Development of Maritime and Air Intelligence Big Data,10.1109/BigDIA51454.2020.00065
12,41,/document/8258083/,Integrated access to big data polystores through a knowledge-driven framework,10.1109/BigData.2017.8258083
13,48,/document/9758457/,Research of Big Data Information Mining and Analysis : Technology Based on Hadoop Technology,10.1109/BDICN55575.2022.00041
14,50,/document/9785082/,"The Anatomy of Big Data: Concepts, Principles and Challenges",10.1109/ICACCS54159.2022.9785082
15,54,/document/9671739/,Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,10.1109/BigData52589.2021.9671739
16,67,/document/9196489/,Thoughts On The Ecological Environment Management Innovation Driven By Big Data,10.1109/ICBAIE49996.2020.00015
17,72,/document/9425958/,Big Data Processing and Application Research,10.1109/AIAM50918.2020.00031
