,id,type,name,link,count
0,2,2,Alfredo Cuzzocrea,/author/37282811300,28.0
1,25,2,Carson K. Leung,/author/37279073000,25.0
2,3,2,Ernesto Damiani,/author/37271667500,11.0
3,90,2,Heesun Won,/author/37284843900,6.0
4,136,2,Joshua Zhexue Huang,/author/37081979900,6.0
5,467,2,Fan Jiang,/author/37395108700,6.0
6,552,2,Guigang Zhang,/author/37085495266,6.0
7,988,2,Adam G. M. Pazdor,/author/37085875927,6.0
8,15,2,Darlan Arruda,/author/37086109687,5.0
9,16,2,Nazim H. Madhavji,/author/37314335900,5.0
10,44,2,Jenny Weisenberg Williams,/author/37085407642,5.0
11,45,2,Kareem S. Aggour,/author/37297235500,5.0
12,89,2,Minh Chau Nguyen,/author/37085623412,5.0
13,96,2,Jerry Gao,/author/37279696100,5.0
14,155,2,Seref Sagiroglu,/author/37371686200,5.0
15,410,2,Manoj Muniswamaiah,/author/37088199219,5.0
16,411,2,Tilak Agerwala,/author/37402280600,5.0
17,412,2,Charles C. Tappert,/author/37268620900,5.0
18,789,2,Chenggong Zhai,/author/37086396847,5.0
19,846,2,Claudio A. Ardagna,/author/37396481000,5.0
20,8252,1,,/document/9730548/,
21,8253,2,,/author/37089330221,
22,8254,2,,/author/37336691400,
23,8255,1,,/document/9582677/,
24,8256,1,,/document/9457808/,
25,8257,2,,/author/37088384324,
26,8258,1,,/document/9381370/,
27,8259,1,,/document/9110325/,
28,8260,2,,/author/37088480028,
29,8261,2,,/author/37085467015,
30,8262,1,,/document/9073032/,
31,8263,1,,/document/9005969/,
32,8264,2,,/author/37088199191,
33,8265,1,,/document/8609651/,
34,8266,2,,/author/37086479990,
35,8267,1,,/document/8482068/,
36,8268,2,,/author/37086476550,
37,8269,2,,/author/37086473210,
38,8270,1,,/document/8482089/,
39,8271,1,,/document/8406273/,
40,8272,2,,/author/37295633400,
41,8273,1,,/document/7840625/,
42,8274,2,,/author/38186329100,
43,8275,1,,/document/7822641/,
44,8276,2,,/author/37086160197,
45,8277,1,,/document/7817144/,
46,8278,2,,/author/37085999623,
47,8279,2,,/author/37086003771,
48,8280,1,,/document/7817128/,
49,8281,1,,/document/7752350/,
50,8282,2,,/author/37086197873,
51,8283,2,,/author/37086204839,
52,8284,1,,/document/7396498/,
53,8285,2,,/author/37085356085,
54,8286,1,,/document/7034814/,
55,8287,2,,/author/37085358660,
56,8288,1,,/document/7022675/,
57,8289,1,,/document/7004485/,
58,8290,2,,/author/37085463928,
59,8291,1,,/document/6844604/,
60,8292,1,,/document/6622608/,
61,8293,2,,/author/37546670000,
62,8294,2,,/author/37075649200,
63,8295,1,,/document/6382863/,
64,8296,1,,/document/6137463/,
65,8297,2,,/author/37283481700,
66,8298,1,,/document/5452736/,
67,8299,2,,/author/37395348000,
68,8300,1,,/document/9811293/,
69,8301,2,,/author/37089440313,
70,8302,2,,/author/38007151100,
71,8303,1,,/document/9811318/,
72,8304,2,,/author/37089441665,
73,8305,2,,/author/37448693600,
74,8306,1,,/document/9811336/,
75,8307,2,,/author/37273230700,
76,8308,2,,/author/37275307300,
77,8309,2,,/author/37267405700,
78,8310,2,,/author/37668955700,
79,8311,2,,/author/37282631100,
80,8312,2,,/author/37089419455,
81,8313,2,,/author/37345959400,
82,8314,2,,/author/37266203600,
83,8315,2,,/author/37538657800,
84,8316,1,,/document/8052561/,
85,8317,2,,/author/37950157300,
86,8318,2,,/author/37274360500,
87,8319,1,,/document/7971959/,
88,8320,2,,/author/38541180900,
89,8321,2,,/author/37405025600,
90,8322,2,,/author/37998812000,
91,8323,2,,/author/37269935500,
92,8324,1,,/document/7961790/,
93,8325,2,,/author/37085485701,
94,8326,1,,/document/7862022/,
95,8327,2,,/author/37086138098,
96,8328,1,,/document/7862079/,
97,8329,2,,/author/37086062558,
98,8330,1,,/document/7532955/,
99,8331,2,,/author/37086422820,
100,8332,2,,/author/37448692700,
101,8333,2,,/author/37086621208,
102,8334,1,,/document/7163097/,
103,8335,1,,/document/7055263/,
104,8336,2,,/author/37279416100,
105,8337,2,,/author/37085528498,
106,8338,2,,/author/37273269600,
107,8339,2,,/author/37335961100,
108,8340,1,,/document/6909738/,
109,8341,1,,/document/6816846/,
110,8342,2,,/author/37086765724,
111,8343,1,,/document/6616538/,
112,8344,1,,/document/6738694/,
113,8345,2,,/author/37089264917,
114,8346,2,,/author/37086449886,
115,8347,1,,/document/6211072/,
116,8348,2,,/author/38248095600,
117,8349,1,,/document/6115801/,
118,8350,2,,/author/38234496900,
119,8351,1,,/document/5973678/,
120,8352,2,,/author/37859732600,
121,8353,1,,/document/5716878/,
122,8354,2,,/author/37854865100,
123,8355,1,,/document/5529668/,
124,8356,2,,/author/37340649300,
125,8357,2,,/author/37088186472,
126,8358,1,,/document/5236471/,
127,8359,2,,/author/37887816300,
128,8360,1,,/document/5212797/,
129,8361,1,,/document/4761064/,
130,8362,1,,/document/4341877/,
131,8363,1,,/document/1495279/,
132,8364,2,,/author/37395317300,
133,8365,2,,/author/37270884600,
134,8366,1,,/document/1397250/,
135,8367,2,,/author/37928072600,
136,8368,1,,/document/9549987/,
137,8369,2,,/author/37088983552,
138,8370,2,,/author/37088986923,
139,8371,1,,/document/9189341/,
140,8372,2,,/author/37088496840,
141,8373,1,,/document/9164383/,
142,8374,2,,/author/37088462133,
143,8375,1,,/document/8945496/,
144,8376,2,,/author/37088515259,
145,8377,2,,/author/37086107978,
146,8378,1,,/document/8866545/,
147,8379,2,,/author/37087045434,
148,8380,2,,/author/37086421164,
149,8381,1,,/document/8833450/,
150,8382,2,,/author/37087007189,
151,8383,1,,/document/8407341/,
152,8384,1,,/document/8287543/,
153,8385,2,,/author/37086275789,
154,8386,2,,/author/37536389600,
155,8387,1,,/document/7279290/,
156,8388,2,,/author/37085737577,
157,8389,1,,/document/7162571/,
158,8390,2,,/author/37085566870,
159,8391,2,,/author/37085577133,
160,8392,1,,/document/6485221/,
161,8393,2,,/author/38569379700,
162,8394,2,,/author/38579661900,
163,8395,1,,/document/9206359/,
164,8396,2,,/author/37088518073,
165,8397,2,,/author/37870398900,
166,8398,1,,/document/10493115/,
167,8399,2,,/author/38469582000,
168,8400,2,,/author/37283417600,
169,8401,1,,/document/10318172/,
170,8402,2,,/author/675069108661873,
171,8403,1,,/document/10138888/,
172,8404,2,,/author/37086018335,
173,8405,2,,/author/37400050500,
174,8406,2,,/author/37284885700,
175,8407,1,,/document/10101826/,
176,8408,1,,/document/10101850/,
177,8409,2,,/author/180031349144629,
178,8410,2,,/author/37266047300,
179,8411,2,,/author/38546904300,
180,8412,1,,/document/10384296/,
181,8413,2,,/author/37085434578,
182,8414,2,,/author/37085358515,
183,8415,1,,/document/10251494/,
184,8416,2,,/author/37090029637,
185,8417,1,,/document/10085948/,
186,8418,2,,/author/38272696100,
187,8419,1,,/document/10056416/,
188,8420,2,,/author/38270309100,
189,8421,2,,/author/37085465313,
190,8422,1,,/document/10049640/,
191,8423,1,,/document/9851668/,
192,8424,2,,/author/37086615844,
193,8425,1,,/document/9614663/,
194,8426,1,,/document/9511623/,
195,8427,2,,/author/37278305300,
196,8428,1,,/document/9929371/,
197,8429,2,,/author/37086464444,
198,8430,1,,/document/9867757/,
199,8431,2,,/author/37270755700,
200,8432,2,,/author/37273723800,
201,8433,1,,/document/9812531/,
202,8434,1,,/document/9780250/,
203,8435,2,,/author/37089384284,
204,8436,2,,/author/37293931900,
205,8437,1,,/document/9646175/,
206,8438,1,,/document/9646177/,
207,8439,2,,/author/37087089078,
208,8440,2,,/author/37086409220,
209,8441,2,,/author/37411459700,
210,8442,1,,/document/9627528/,
211,8443,1,,/document/9569763/,
212,8444,2,,/author/37089202876,
213,8445,2,,/author/37086695741,
214,8446,1,,/document/9536670/,
215,8447,2,,/author/37088982902,
216,8448,2,,/author/37085388619,
217,8449,2,,/author/37298522600,
218,8450,1,,/document/9531448/,
219,8451,2,,/author/37532768100,
220,8452,1,,/document/9459434/,
221,8453,1,,/document/9416181/,
222,8454,2,,/author/37085539993,
