,id,type,name,link,count
0,2,2,Alfredo Cuzzocrea,/author/37282811300,28.0
1,25,2,Carson K. Leung,/author/37279073000,25.0
2,3,2,Ernesto Damiani,/author/37271667500,11.0
3,90,2,Heesun Won,/author/37284843900,6.0
4,136,2,Joshua Zhexue Huang,/author/37081979900,6.0
5,467,2,Fan Jiang,/author/37395108700,6.0
6,552,2,Guigang Zhang,/author/37085495266,6.0
7,988,2,Adam G. M. Pazdor,/author/37085875927,6.0
8,15,2,Darlan Arruda,/author/37086109687,5.0
9,16,2,Nazim H. Madhavji,/author/37314335900,5.0
10,44,2,Jenny Weisenberg Williams,/author/37085407642,5.0
11,45,2,Kareem S. Aggour,/author/37297235500,5.0
12,89,2,Minh Chau Nguyen,/author/37085623412,5.0
13,96,2,Jerry Gao,/author/37279696100,5.0
14,155,2,Seref Sagiroglu,/author/37371686200,5.0
15,410,2,Manoj Muniswamaiah,/author/37088199219,5.0
16,411,2,Tilak Agerwala,/author/37402280600,5.0
17,412,2,Charles C. Tappert,/author/37268620900,5.0
18,789,2,Chenggong Zhai,/author/37086396847,5.0
19,846,2,Claudio A. Ardagna,/author/37396481000,5.0
20,8252,1,,/document/10441030/,
21,8253,2,,/author/37089636276,
22,8254,2,,/author/37302976800,
23,8255,2,,/author/37086607338,
24,8256,2,,/author/37422441500,
25,8257,1,,/document/10386730/,
26,8258,2,,/author/37089700561,
27,8259,2,,/author/37282742800,
28,8260,2,,/author/37085433164,
29,8261,2,,/author/38246270700,
30,8262,1,,/document/10386140/,
31,8263,2,,/author/37089752487,
32,8264,2,,/author/38284462500,
33,8265,2,,/author/37299797400,
34,8266,1,,/document/10386889/,
35,8267,2,,/author/37089995692,
36,8268,2,,/author/37086314502,
37,8269,1,,/document/10386719/,
38,8270,1,,/document/10386779/,
39,8271,2,,/author/37085628141,
40,8272,2,,/author/438997096584610,
41,8273,2,,/author/342203156361165,
42,8274,2,,/author/37892193900,
43,8275,1,,/document/10361428/,
44,8276,2,,/author/491954771208393,
45,8277,2,,/author/37089523361,
46,8278,1,,/document/10197017/,
47,8279,1,,/document/10196846/,
48,8280,2,,/author/37089241306,
49,8281,2,,/author/37089973172,
50,8282,2,,/author/37684319500,
51,8283,1,,/document/10196871/,
52,8284,1,,/document/10196924/,
53,8285,2,,/author/37089731024,
54,8286,1,,/document/10196986/,
55,8287,2,,/author/37089954391,
56,8288,2,,/author/37088513468,
57,8289,1,,/document/10196721/,
58,8290,2,,/author/37089239619,
59,8291,1,,/document/10020792/,
60,8292,2,,/author/37088962033,
61,8293,2,,/author/37314229300,
62,8294,2,,/author/37088549224,
63,8295,2,,/author/37829223700,
64,8296,1,,/document/10020302/,
65,8297,2,,/author/37946749800,
66,8298,1,,/document/10021052/,
67,8299,2,,/author/37089478055,
68,8300,2,,/author/37089702298,
69,8301,2,,/author/37089704659,
70,8302,2,,/author/37088372453,
71,8303,1,,/document/10020605/,
72,8304,1,,/document/10021025/,
73,8305,2,,/author/38578742600,
74,8306,1,,/document/10020894/,
75,8307,2,,/author/37089700363,
76,8308,1,,/document/10021127/,
77,8309,2,,/author/37089239901,
78,8310,2,,/author/37089238347,
79,8311,1,,/document/10020336/,
80,8312,2,,/author/37089703385,
81,8313,2,,/author/37545891000,
82,8314,1,,/document/10020249/,
83,8315,1,,/document/10020375/,
84,8316,2,,/author/37087472459,
85,8317,2,,/author/37088660110,
86,8318,2,,/author/37086006456,
87,8319,2,,/author/37089478611,
88,8320,2,,/author/37086015855,
89,8321,1,,/document/10020741/,
90,8322,2,,/author/37086939096,
91,8323,2,,/author/37321762400,
92,8324,1,,/document/10020813/,
93,8325,2,,/author/37089240282,
94,8326,1,,/document/9999114/,
95,8327,2,,/author/37089665169,
96,8328,2,,/author/37318316000,
97,8329,2,,/author/37085386702,
98,8330,1,,/document/9882645/,
99,8331,2,,/author/37089524595,
100,8332,2,,/author/37089518413,
101,8333,2,,/author/37089522871,
102,8334,2,,/author/37089523626,
103,8335,2,,/author/37089520889,
104,8336,1,,/document/9882787/,
105,8337,2,,/author/37089521640,
106,8338,2,,/author/37089517208,
107,8339,2,,/author/37089523203,
108,8340,2,,/author/37089524365,
109,8341,2,,/author/37089521742,
110,8342,1,,/document/9842523/,
111,8343,2,,/author/37089481088,
112,8344,2,,/author/37089477879,
113,8345,2,,/author/37089479413,
114,8346,2,,/author/37089478647,
115,8347,2,,/author/37089480688,
116,8348,1,,/document/9842480/,
117,8349,2,,/author/37089477511,
118,8350,2,,/author/37089478369,
119,8351,2,,/author/37288687900,
120,8352,1,,/document/9842514/,
121,8353,2,,/author/37089480882,
122,8354,2,,/author/37089477426,
123,8355,2,,/author/37089480369,
124,8356,2,,/author/37089477950,
125,8357,2,,/author/37089481326,
126,8358,1,,/document/9194991/,
127,8359,2,,/author/37299927200,
128,8360,1,,/document/9671501/,
129,8361,1,,/document/9671437/,
130,8362,1,,/document/9671539/,
131,8363,2,,/author/37442662800,
132,8364,1,,/document/9671576/,
133,8365,2,,/author/37089241494,
134,8366,2,,/author/37089240954,
135,8367,1,,/document/9671379/,
136,8368,2,,/author/37089239417,
137,8369,1,,/document/9671914/,
138,8370,1,,/document/9671434/,
139,8371,2,,/author/37088224778,
140,8372,2,,/author/37088961700,
141,8373,1,,/document/9671728/,
142,8374,2,,/author/37089237660,
143,8375,2,,/author/37089237874,
144,8376,1,,/document/9582677/,
145,8377,1,,/document/9582651/,
146,8378,2,,/author/37329259900,
147,8379,1,,/document/9529569/,
148,8380,2,,/author/37088962430,
149,8381,2,,/author/38016060900,
150,8382,1,,/document/9529772/,
151,8383,2,,/author/37088962257,
152,8384,2,,/author/37088961774,
153,8385,2,,/author/37088962427,
154,8386,2,,/author/37088961968,
155,8387,1,,/document/9529442/,
156,8388,2,,/author/37088962504,
157,8389,1,,/document/9529456/,
158,8390,1,,/document/9462101/,
159,8391,2,,/author/37085561843,
160,8392,1,,/document/9377947/,
161,8393,2,,/author/37088809055,
162,8394,2,,/author/37088808758,
163,8395,2,,/author/38467812900,
164,8396,1,,/document/9378398/,
165,8397,2,,/author/37270354900,
166,8398,1,,/document/9378306/,
167,8399,2,,/author/37086357986,
168,8400,2,,/author/37086494316,
169,8401,2,,/author/37086211765,
170,8402,1,,/document/9377854/,
171,8403,1,,/document/9373130/,
172,8404,1,,/document/9177823/,
173,8405,2,,/author/37088473737,
174,8406,2,,/author/37088473379,
175,8407,2,,/author/37088474009,
176,8408,1,,/document/9046058/,
177,8409,2,,/author/37862256800,
178,8410,1,,/document/9005705/,
179,8411,2,,/author/37088199952,
180,8412,1,,/document/9005969/,
181,8413,2,,/author/37088199191,
182,8414,1,,/document/9006356/,
183,8415,2,,/author/37088199043,
184,8416,1,,/document/9005713/,
185,8417,2,,/author/37088198679,
186,8418,1,,/document/8955576/,
187,8419,1,,/document/8858791/,
188,8420,2,,/author/37087042505,
189,8421,2,,/author/37087040486,
190,8422,2,,/author/37087040482,
191,8423,2,,/author/37087042793,
192,8424,1,,/document/8754101/,
193,8425,2,,/author/37316875500,
194,8426,1,,/document/8752664/,
195,8427,2,,/author/37086479990,
196,8428,2,,/author/37546670000,
197,8429,1,,/document/8752915/,
198,8430,1,,/document/8622200/,
199,8431,2,,/author/37411760500,
200,8432,2,,/author/37072351700,
201,8433,1,,/document/8616498/,
202,8434,1,,/document/8614267/,
203,8435,2,,/author/37086610576,
204,8436,2,,/author/37086608800,
205,8437,2,,/author/37086610477,
206,8438,1,,/document/8614266/,
207,8439,2,,/author/37086607726,
208,8440,1,,/document/8576128/,
209,8441,1,,/document/8564166/,
210,8442,2,,/author/37086553802,
211,8443,2,,/author/37086556706,
212,8444,2,,/author/37086554119,
213,8445,2,,/author/37086553925,
214,8446,1,,/document/8491637/,
215,8447,1,,/document/8491523/,
216,8448,2,,/author/37086480548,
217,8449,2,,/author/37086480188,
218,8450,2,,/author/37086480891,
219,8451,1,,/document/8457695/,
220,8452,2,,/author/37086469508,
221,8453,1,,/document/8411086/,
222,8454,2,,/author/37283378600,
