,id,type,name,link,count
0,1,1,"Big Data: Challenges, practices and technologies: NIST Big Data Public Working Group workshop at IEEE Big Data 2014",/document/7004470/,1
1,2,2,Nancy W. Grady,/author/37085469341,4
2,3,2,Mark Underwood,/author/37085470952,1
3,4,2,Arnab Roy,/author/37085473697,1
4,5,2,Wo L. Chang,/author/37436705400,1
5,6,1,Big OLAP Data Cube Compression Algorithms in Column-Oriented Cloud/Edge Data Infrastructures,/document/10411769/,1
6,7,2,Alfredo Cuzzocrea,/author/37282811300,31
7,8,1,A timeline visualization system for road traffic big data,/document/7364125/,1
8,9,2,Ardi Imawan,/author/37085360697,3
9,10,2,Joonho Kwon,/author/37085358545,5
10,11,1,"Big Data Lakes: Models, Frameworks, and Techniques",/document/9373107/,1
11,12,1,"Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions",/document/9671686/,1
12,13,2,Ernesto Damiani,/author/37271667500,11
13,14,1,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,/document/8258521/,1
14,15,2,Darlan Arruda,/author/37086109687,5
15,16,2,Nazim H. Madhavji,/author/37314335900,5
16,17,1,Methods of enterprise electronic file content information mining under big data environment,/document/9403767/,1
17,18,2,Fang Peng,/author/37088848013,1
18,19,2,Honggang Wang,/author/37088846974,1
19,20,2,Li Zhuang,/author/37088848106,2
20,21,2,Minnan Wang,/author/37088847756,1
21,22,2,Chengyue Yang,/author/37088847158,1
22,23,1,Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,/document/9671739/,1
23,24,2,Osvaldo Gogliano Sobrinho,/author/37089240616,2
24,25,2,Liedi Ledi Mariani Bernucci,/author/37089237901,2
25,26,2,Pedro Luiz Pizzigatti Corrêa,/author/37087743771,1
26,27,2,Rosângela dos Santos Motta,/author/37089241156,2
27,28,2,Jeaneth Machicao,/author/37089240766,2
28,29,2,Angelo Samuel Junqueira,/author/37089238190,2
29,30,2,Robson Correia da Costa,/author/37089238707,1
30,31,2,Wellingthon Dias de Queiroz,/author/37089237859,2
31,32,2,Thales Cesar Giriboni de Mello e Silva,/author/37089240207,2
