,from,to,count
0,0,1,1
1,0,2,1
2,1,2,1
3,3,4,1
4,3,5,1
5,3,6,1
6,3,7,1
7,4,5,1
8,4,6,1
9,4,7,1
10,5,6,1
11,5,7,1
12,6,7,1
13,8,2,1
14,9,2,1
15,10,11,1
16,10,12,1
17,10,13,1
18,10,14,1
19,10,15,1
20,11,12,1
21,11,13,1
22,11,14,1
23,11,15,1
24,12,13,1
25,12,14,1
26,12,15,1
27,13,14,1
28,13,15,1
29,14,15,1
30,16,17,1
31,16,18,1
32,17,18,1
33,19,20,1
34,19,21,1
35,20,21,1
36,22,2,1
37,22,23,1
38,22,24,1
39,2,23,1
40,2,24,1
41,23,24,1
42,25,26,1
43,25,27,1
44,26,27,1
45,28,29,1
46,28,30,1
47,28,31,1
48,28,32,1
49,28,33,1
50,29,30,1
51,29,31,1
52,29,32,1
53,29,33,1
54,30,31,1
55,30,32,1
56,30,33,1
57,31,32,1
58,31,33,1
59,32,33,1
60,34,35,1
61,36,37,1
62,36,38,1
63,36,39,1
64,37,38,1
65,37,39,1
66,38,39,1
67,40,41,1
68,42,43,1
69,42,44,1
70,42,45,1
71,42,46,1
72,42,47,1
73,42,48,1
74,43,44,1
75,43,45,1
76,43,46,1
77,43,47,1
78,43,48,1
79,44,45,1
80,44,46,1
81,44,47,2
82,44,48,1
83,45,46,3
84,45,47,3
85,45,48,2
86,46,47,3
87,46,48,2
88,47,48,2
89,49,50,1
90,49,51,1
91,49,52,1
92,50,51,1
93,50,52,1
94,51,52,1
95,53,54,1
96,53,55,1
97,53,56,1
98,54,55,1
99,54,56,1
100,55,56,1
101,57,58,1
102,57,59,1
103,58,59,1
104,60,61,1
105,60,62,1
106,60,63,1
107,61,62,1
108,61,63,1
109,62,63,1
110,64,65,1
111,66,67,1
112,66,68,1
113,66,69,1
114,66,70,1
115,67,68,1
116,67,69,1
117,67,70,1
118,68,69,1
119,68,70,1
120,69,70,1
121,71,72,1
122,73,74,1
123,73,75,1
124,73,76,1
125,73,77,1
126,73,78,1
127,73,79,1
128,73,80,1
129,73,81,1
130,73,82,1
131,73,83,1
132,73,84,1
133,73,85,1
134,74,75,1
135,74,76,1
136,74,77,1
137,74,78,1
138,74,79,1
139,74,80,1
140,74,81,1
141,74,82,1
142,74,83,1
143,74,84,1
144,74,85,1
145,75,76,2
146,75,77,1
147,75,78,2
148,75,79,2
149,75,80,2
150,75,81,1
151,75,82,2
152,75,83,2
153,75,84,1
154,75,85,2
155,76,77,1
156,76,78,2
157,76,79,2
158,76,80,2
159,76,81,1
160,76,82,2
161,76,83,2
162,76,84,1
163,76,85,2
164,77,78,1
165,77,79,1
166,77,80,1
167,77,81,1
168,77,82,1
169,77,83,1
170,77,84,1
171,77,85,1
172,78,79,2
173,78,80,2
174,78,81,1
175,78,82,2
176,78,83,2
177,78,84,1
178,78,85,2
179,79,80,2
180,79,81,1
181,79,82,2
182,79,83,2
183,79,84,1
184,79,85,2
185,80,81,1
186,80,82,2
187,80,83,2
188,80,84,1
189,80,85,2
190,81,82,1
191,81,83,1
192,81,84,1
193,81,85,1
194,82,83,2
195,82,84,1
196,82,85,2
197,83,84,1
198,83,85,2
199,84,85,1
200,86,87,1
201,86,88,1
202,86,89,1
203,86,90,1
204,87,88,1
205,87,89,1
206,87,90,1
207,88,89,1
208,88,90,2
209,89,90,1
210,91,92,1
211,93,94,1
212,93,95,1
213,93,96,1
214,94,95,1
215,94,96,1
216,95,96,1
217,97,2,1
218,97,3,1
219,2,3,2
220,98,99,1
221,100,101,1
222,102,2,1
223,102,25,1
224,102,103,1
225,102,104,1
226,2,25,2
227,2,103,1
228,2,104,1
229,25,103,1
230,25,104,1
231,103,104,1
232,105,106,1
233,105,107,1
234,106,107,1
235,108,109,1
236,108,110,1
237,108,111,1
238,109,110,1
239,109,111,1
240,110,111,1
241,112,113,1
242,112,114,1
243,112,115,1
244,112,116,1
245,113,114,1
246,113,115,1
247,113,116,1
248,114,115,1
249,114,116,1
250,115,116,1
251,117,118,1
252,117,119,1
253,118,119,1
254,120,121,1
255,120,122,1
256,120,123,1
257,120,124,1
258,121,122,1
259,121,123,1
260,121,124,1
261,122,123,1
262,122,124,1
263,123,124,1
264,125,126,1
265,125,127,1
266,126,127,1
267,128,129,1
268,128,130,1
269,128,131,1
270,129,130,1
271,129,131,1
272,130,131,1
273,132,133,1
274,132,134,1
275,132,135,1
276,133,134,1
277,133,135,1
278,134,135,1
279,136,137,1
280,136,138,1
281,136,139,1
282,137,138,1
283,137,139,1
284,138,139,1
285,140,141,1
286,142,143,1
287,144,145,1
288,144,146,1
289,144,147,1
290,144,148,1
291,144,149,1
292,145,146,1
