,id,type,name,link,count
0,1,1,"Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions",/document/9671686/,1
1,2,2,Alfredo Cuzzocrea,/author/37282811300,18
2,3,2,Ernesto Damiani,/author/37271667500,5
3,4,1,"Big Data: Challenges, practices and technologies: NIST Big Data Public Working Group workshop at IEEE Big Data 2014",/document/7004470/,1
4,5,2,Nancy W. Grady,/author/37085469341,2
5,6,2,Mark Underwood,/author/37085470952,1
6,7,2,Arnab Roy,/author/37085473697,1
7,8,2,Wo L. Chang,/author/37436705400,1
8,9,1,"Big Data Lakes: Models, Frameworks, and Techniques",/document/9373107/,1
9,10,1,Big OLAP Data Cube Compression Algorithms in Column-Oriented Cloud/Edge Data Infrastructures,/document/10411769/,1
10,11,1,A Big Data Framework for Electric Power Data Quality Assessment,/document/8332632/,1
11,12,2,He Liu,/author/37086265597,1
12,13,2,Fupeng Huang,/author/37086267235,1
13,14,2,Han Li,/author/37086265744,1
14,15,2,Weiwei Liu,/author/37086363632,1
15,16,2,Tongxun Wang,/author/37086364487,1
16,17,1,A timeline visualization system for road traffic big data,/document/7364125/,1
17,18,2,Ardi Imawan,/author/37085360697,1
18,19,2,Joonho Kwon,/author/37085358545,1
19,20,1,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,/document/8258521/,1
20,21,2,Darlan Arruda,/author/37086109687,5
21,22,2,Nazim H. Madhavji,/author/37314335900,5
22,23,1,Machine-Learning-Based Multidimensional Big Data Analytics over Clouds via Multi-Columnar Big OLAP Data Cube Compression,/document/10386560/,1
23,24,2,Abderraouf Hafsaoui,/author/37089934415,1
24,25,2,Carson K. Leung,/author/37279073000,14
25,26,1,"Big data for institutional planning, decision support and academic excellence",/document/7460353/,1
26,27,2,Anjum Zameer Bhat,/author/37085816201,1
27,28,2,Imran Ahmed,/author/37085822109,1
28,29,1,Methods of enterprise electronic file content information mining under big data environment,/document/9403767/,1
29,30,2,Fang Peng,/author/37088848013,1
30,31,2,Honggang Wang,/author/37088846974,1
31,32,2,Li Zhuang,/author/37088848106,1
32,33,2,Minnan Wang,/author/37088847756,1
33,34,2,Chengyue Yang,/author/37088847158,1
34,35,1,An Effective and Scalable Data Modeling for Enterprise Big Data Platform,/document/9005614/,1
35,36,2,Jayesh Patel,/author/37088200254,1
36,37,1,Research on the Development of Maritime and Air Intelligence Big Data,/document/9384569/,1
37,38,2,Tao Chen,/author/37088823366,1
38,39,2,Shiiun Rao,/author/37088823677,1
39,40,2,Jun Hong,/author/37088823564,1
40,41,1,Research of Big Data Information Mining and Analysis : Technology Based on Hadoop Technology,/document/9758457/,1
41,42,2,Zhanchi Dong,/author/37089364845,1
42,43,1,Integrated access to big data polystores through a knowledge-driven framework,/document/8258083/,1
43,44,2,Justin McHugh,/author/37085413409,2
44,45,2,Paul E. Cuddihy,/author/37268657200,4
45,46,2,Jenny Weisenberg Williams,/author/37085407642,4
46,47,2,Kareem S. Aggour,/author/37297235500,4
47,48,2,Vijay S. Kumar,/author/37086278989,3
48,49,2,Varish Mulwad,/author/37888624800,1
49,50,1,"The Anatomy of Big Data: Concepts, Principles and Challenges",/document/9785082/,1
50,51,2,Jaspreet Singh,/author/37086874865,1
51,52,2,Gurpreet Singh,/author/37089613709,1
52,53,2,Amit Verma,/author/37089021480,1
53,54,1,Big Data Processing and Application Research,/document/9425958/,1
54,55,2,Penglin Gao,/author/37088863387,1
55,56,2,Zhaoming Han,/author/37088859756,1
56,57,2,Fucheng Wan,/author/37086934381,1
57,58,1,Challenges of Big Data to Big Data Mining with their Processing Framework,/document/8820282/,1
58,59,2,Kamlesh Kumar Pandey,/author/37086962583,2
59,60,2,Diwakar shukla,/author/37086960815,2
60,61,1,Impact of big data on Electric-power industry,/document/8078863/,1
61,62,2,Liu Qing,/author/37086215123,1
62,63,2,Zhu Boyu,/author/37086224703,1
63,64,2,Li Qinqian,/author/37078516200,1
64,65,1,Research on Library Personalized Service Mode Based on Big Data Application,/document/9457403/,1
65,66,2,Liu Hongqiu,/author/37088891282,1
66,67,1,Thoughts On The Ecological Environment Management Innovation Driven By Big Data,/document/9196489/,1
67,68,2,Huang Xiaoyan,/author/37889636800,1
68,69,2,Jiang Rong,/author/37088504594,1
69,70,2,Hu Xiaoming,/author/37530119600,1
70,71,2,Wang Luxiao,/author/37088504525,1
71,72,1,Research on the Application of Big Data in Industrial Structure Adjustment and Economic Indexes,/document/9110106/,1
72,73,2,Huili Zhang,/author/37088482372,1
73,74,1,Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,/document/9671739/,1
74,75,2,Osvaldo Gogliano Sobrinho,/author/37089240616,2
75,76,2,Liedi Ledi Mariani Bernucci,/author/37089237901,2
76,77,2,Pedro Luiz Pizzigatti Corrêa,/author/37087743771,1
77,78,2,Rosângela dos Santos Motta,/author/37089241156,2
78,79,2,Jeaneth Machicao,/author/37089240766,2
79,80,2,Angelo Samuel Junqueira,/author/37089238190,2
80,81,2,Robson Correia da Costa,/author/37089238707,1
81,82,2,Wellingthon Dias de Queiroz,/author/37089237859,2
82,83,2,Thales Cesar Giriboni de Mello e Silva,/author/37089240207,2
83,84,2,Pedro Lopes Ferraz,/author/37089237739,1
84,85,2,Luciano Cassaro,/author/37089239584,2
85,86,2,Luciano Oliveira,/author/37089240484,2
86,87,1,"Data quality in big data processing: Issues, solutions and open problems",/document/8397554/,1
87,88,2,Pengcheng Zhang,/author/37071893400,2
88,89,2,Fang Xiong,/author/37086405223,1
89,90,2,Jerry Gao,/author/37279696100,4
90,91,2,Jimin Wang,/author/37089394463,1
91,92,1,Research on Innovation of Automobile Marketing Mode Based on Big Data Marketing,/document/9434443/,1
92,93,2,Kai Xiong,/author/37088436182,1
93,94,1,Web-based collaborative big data analytics on big data as a service platform,/document/7224859/,1
94,95,2,Kyounghyun Park,/author/38240869800,1
95,96,2,Minh Chau Nguyen,/author/37085623412,2
96,97,2,Heesun Won,/author/37284843900,3
97,98,1,Pedigree-ing Your Big Data: Data-Driven Big Data Privacy in Distributed Environments,/document/8411087/,1
98,99,1,Research on Data Quality Improvement Program Based on Big Data Application,/document/10165495/,1
99,100,2,Xuerong Zuo,/author/37089901228,1
100,101,1,Design and application of real estate market monitoring platform based on spatio-temporal big data,/document/9727001/,1
101,102,2,YinXue Huang,/author/37089326159,1
102,103,1,Effectively and Efficiently Supporting Predictive Big Data Analytics over Open Big Data in the Transportation Sector: A Bayesian Network Framework,/document/9927788/,1
103,104,2,Mojtaba Hajian,/author/37089778531,1
104,105,2,Marshall D. Jackson,/author/37088961840,1
105,106,1,Big Data Analytics Framework for Digital Government,/document/9245461/,1
106,107,2,Papoj Thamjaroenporn,/author/37088548868,1
107,108,2,Tiranee Achalakul,/author/37297117200,1
108,109,1,Operation Framework of the Command Information System Based on Big Data Analysis,/document/9095568/,1
109,110,2,Liya Jin,/author/37087748569,1
110,111,2,Meng Xing,/author/37088405704,1
111,112,2,Ronghui Wang,/author/37088405907,1
112,113,1,Linked Open Data mining for democratization of big data,/document/7004479/,1
113,114,2,Roberto Espinosa,/author/37085399272,1
114,115,2,Larisa Garriga,/author/37085383771,1
115,116,2,Jose Jacobo Zubcoff,/author/38111299700,1
116,117,2,Jose-Norberto Mazón,/author/37316559900,1
117,118,1,Application of Statistical Sampling Survey in the Context of Big Data Era : ——Based on China’s 1% population sample survey in 2015,/document/9516494/,1
118,119,2,Xin Jian,/author/37088946269,1
119,120,2,WeiZhang Lai,/author/37088947251,1
120,121,1,Research on Big Data Security and Privacy Risk Governance,/document/9727068/,1
121,122,2,XinRui Wang,/author/37089327118,1
122,123,2,Wei Luo,/author/37089323274,1
123,124,2,XiaoLi Bai,/author/37089323025,1
124,125,2,Yi Wang,/author/37089325221,1
125,126,1,The Framework of Extracting Unstructured Usage for Big Data Platform,/document/9552131/,1
126,127,2,Tung-lersloy Chasupa,/author/37088985493,1
127,128,2,Worapat Paireekreng,/author/37395572800,1
128,129,1,"An iterative methodology for big data management, analysis and visualization",/document/7363798/,1
129,130,2,Roberto Tardío,/author/37085718618,1
130,131,2,Alejandro Mate,/author/38029718400,1
131,132,2,Juan Trujillo,/author/37296870300,1
132,133,1,Random Sample Partition-Based Clustering Ensemble Algorithm for Big Data,/document/9671297/,1
