,from,to,count
0,0,1,1
1,0,2,1
2,0,3,1
3,1,2,1
4,1,3,1
5,2,3,1
6,4,5,1
7,4,6,1
8,4,7,1
9,4,8,1
10,4,9,1
11,4,10,1
12,4,11,1
13,5,6,1
14,5,7,1
15,5,8,1
16,5,9,1
17,5,10,1
18,5,11,1
19,6,7,1
20,6,8,1
21,6,9,1
22,6,10,1
23,6,11,1
24,7,8,1
25,7,9,1
26,7,10,1
27,7,11,1
28,8,9,1
29,8,10,1
30,8,11,1
31,9,10,1
32,9,11,1
33,10,11,1
34,12,13,1
35,12,14,1
36,12,15,1
37,12,16,1
38,12,12,1
39,13,14,1
40,13,15,1
41,13,16,1
42,13,12,1
43,14,15,1
44,14,16,1
45,14,12,1
46,15,16,1
47,15,12,1
48,16,12,1
49,17,18,1
50,17,4,1
51,17,19,1
52,18,4,1
53,18,19,1
54,4,19,1
55,20,21,1
56,20,22,1
57,20,23,1
58,20,24,1
59,21,22,1
60,21,23,1
61,21,24,1
62,22,23,1
63,22,24,1
64,23,24,1
65,25,26,1
66,25,27,1
67,25,28,1
68,25,29,1
69,25,30,1
70,25,31,1
71,25,32,1
72,25,33,1
73,25,34,1
74,26,27,1
75,26,28,1
76,26,29,1
77,26,30,1
78,26,31,1
79,26,32,1
80,26,33,1
81,26,34,1
82,27,28,1
83,27,29,1
84,27,30,1
85,27,31,1
86,27,32,1
87,27,33,1
88,27,34,1
89,28,29,1
90,28,30,1
91,28,31,1
92,28,32,1
93,28,33,1
94,28,34,1
95,29,30,1
96,29,31,1
97,29,32,1
98,29,33,1
99,29,34,1
100,30,31,1
101,30,32,1
102,30,33,1
103,30,34,1
104,31,32,1
105,31,33,1
106,31,34,1
107,32,33,1
108,32,34,1
109,33,34,1
110,35,36,1
111,35,37,1
112,35,38,1
113,35,39,1
114,35,40,1
115,35,41,1
116,36,37,1
117,36,38,1
118,36,39,1
119,36,40,1
120,36,41,1
121,37,38,1
122,37,39,1
123,37,40,1
124,37,41,1
125,38,39,1
126,38,40,1
127,38,41,1
128,39,40,1
129,39,41,1
130,40,41,1
131,42,43,1
132,42,44,1
133,42,45,1
134,43,44,1
135,43,45,1
136,44,45,1
137,46,47,1
138,46,48,1
139,46,49,1
140,46,50,1
141,47,48,1
142,47,49,1
143,47,50,1
144,48,49,1
145,48,50,1
146,49,50,1
147,51,52,1
148,51,53,1
149,51,54,1
150,51,55,1
151,51,56,1
152,51,57,1
153,52,53,1
154,52,54,1
155,52,55,1
156,52,56,1
157,52,57,1
158,53,54,1
159,53,55,1
160,53,56,1
161,53,57,1
162,54,55,1
163,54,56,1
164,54,57,1
165,55,56,1
166,55,57,1
167,56,57,1
168,58,59,1
169,58,60,1
170,58,61,1
171,58,62,1
172,58,63,1
173,58,64,1
174,59,60,1
175,59,61,1
176,59,62,1
177,59,63,1
178,59,64,1
179,60,61,1
180,60,62,1
181,60,63,1
182,60,64,1
183,61,62,1
184,61,63,1
185,61,64,1
186,62,63,1
187,62,64,1
188,63,64,1
189,65,66,1
190,65,67,1
191,65,68,1
192,66,67,1
193,66,68,1
194,67,68,1
195,69,70,1
196,69,71,1
197,69,72,1
198,69,73,1
199,70,71,1
200,70,72,1
201,70,73,1
202,71,72,1
203,71,73,1
204,72,73,1
205,74,8,1
206,74,75,1
207,74,76,1
208,74,6,1
209,74,77,1
210,74,78,1
211,74,79,1
212,74,12,1
213,8,75,1
214,8,76,1
215,8,6,1
216,8,77,1
217,8,78,1
218,8,79,1
219,8,12,1
220,75,76,1
221,75,6,1
222,75,77,1
223,75,78,1
224,75,79,1
225,75,12,1
226,76,6,1
227,76,77,1
228,76,78,1
229,76,79,1
230,76,12,1
231,6,77,1
232,6,78,1
233,6,79,1
234,6,12,1
235,77,78,1
236,77,79,1
237,77,12,1
238,78,79,1
239,78,12,1
240,79,12,1
241,80,81,1
242,80,82,1
243,80,83,1
244,80,84,1
245,80,85,1
246,81,82,1
247,81,83,1
248,81,84,1
249,81,85,1
250,82,83,1
251,82,84,1
252,82,85,1
253,83,84,1
254,83,85,1
255,84,85,1
256,86,87,1
257,86,88,1
258,86,89,1
259,86,68,1
260,86,90,1
261,86,91,1
262,87,88,1
263,87,89,1
264,87,68,1
265,87,90,1
266,87,91,1
267,88,89,1
268,88,68,1
269,88,90,2
270,88,91,2
271,89,68,1
272,89,90,1
273,89,91,1
274,68,90,1
275,68,91,1
276,90,91,2
277,92,93,1
278,92,94,1
279,92,95,1
280,92,96,1
281,93,94,1
282,93,95,1
283,93,96,1
284,94,95,1
285,94,96,1
286,95,96,1
287,97,98,1
288,97,99,1
289,97,100,1
290,97,101,1
291,97,102,1
292,98,99,1
