,id,type,link
0,1,1,/doi/10.1109/TASLP.2024.3361376
1,2,2,/profile/99661145670
2,3,2,/profile/99659260335
3,4,2,/profile/81388598990
4,5,1,/doi/10.1109/TASLP.2024.3363444
5,6,2,/profile/99661147476
6,7,2,/profile/99659270571
7,8,2,/profile/99660768740
8,9,2,/profile/99661149139
9,10,2,/profile/99661148749
10,11,2,/profile/99661042163
11,12,2,/profile/81384608466
12,13,1,/doi/10.1109/TASLP.2023.3332542
13,14,2,/profile/99661148706
14,15,2,/profile/99659479808
15,16,2,/profile/99661147054
16,17,2,/profile/99661146992
17,18,1,/doi/10.1109/TASLP.2023.3313424
18,19,2,/profile/99661148628
19,20,2,/profile/99661145006
20,21,1,/doi/10.1109/TASLP.2024.3375641
21,22,2,/profile/99661151782
22,23,2,/profile/99660768860
23,24,2,/profile/99661151206
24,25,2,/profile/99659027771
25,26,1,/doi/10.1109/TASLP.2023.3294705
26,27,2,/profile/99660762360
27,28,2,/profile/99660762519
28,29,2,/profile/99659735545
29,30,2,/profile/99660765187
30,31,2,/profile/99660759995
31,32,2,/profile/99660760318
32,33,2,/profile/99660096081
33,34,2,/profile/81100222801
34,35,2,/profile/81502728330
35,36,1,/doi/10.1109/TASLP.2024.3369537
36,37,2,/profile/99661072150
37,38,2,/profile/99660450556
38,39,2,/profile/99659735072
39,40,2,/profile/81320496378
40,41,2,/profile/99659068511
41,42,2,/profile/81320494315
42,43,1,/doi/10.1109/TASLP.2024.3382500
43,44,2,/profile/99661125144
44,45,2,/profile/81460655034
45,46,2,/profile/81320493461
46,47,1,/doi/10.1109/TASLP.2023.3349053
47,48,2,/profile/99661147035
48,49,2,/profile/99660768377
49,50,2,/profile/99661146920
50,51,2,/profile/81409594301
51,52,1,/doi/10.1109/TASLP.2023.3328280
52,53,2,/profile/99659021794
53,54,2,/profile/99661146260
54,55,2,/profile/99661147750
55,56,2,/profile/81440616283
56,57,2,/profile/81442592520
57,58,2,/profile/81100118805
58,59,1,/doi/10.1109/TASLP.2023.3348762
59,60,2,/profile/99660533380
60,61,2,/profile/99661146663
61,62,2,/profile/99661147794
62,63,2,/profile/99659196082
63,64,2,/profile/99658670197
64,65,2,/profile/81472644828
65,66,1,/doi/10.1109/TASLP.2023.3318398
66,67,2,/profile/99659927721
67,68,2,/profile/81324493037
68,69,2,/profile/81100418948
69,70,1,/doi/10.1109/TASLP.2023.3332545
70,71,2,/profile/99660996574
71,72,2,/profile/99661072391
72,73,2,/profile/99661072112
73,74,2,/profile/81322491282
74,75,1,/doi/10.1109/TASLP.2023.3313413
75,76,2,/profile/99661148746
76,77,2,/profile/99661148404
77,78,2,/profile/99660945886
78,79,2,/profile/99660941756
79,80,2,/profile/99660945974
80,81,1,/doi/10.1109/TASLP.2024.3369536
81,82,2,/profile/99661153499
82,83,2,/profile/81481643982
83,84,2,/profile/99660353833
84,85,2,/profile/99659065306
85,86,2,/profile/81440595770
86,87,1,/doi/10.1109/TASLP.2023.3306709
87,88,2,/profile/99660020261
88,89,2,/profile/99661147992
89,90,2,/profile/99660021492
90,91,2,/profile/99659477931
91,92,2,/profile/81332536694
92,93,1,/doi/10.1109/TASLP.2023.3321964
93,94,2,/profile/99661146102
94,95,2,/profile/81100640063
95,96,2,/profile/81323496879
96,97,2,/profile/81502766961
97,98,1,/doi/10.1109/TASLP.2023.3285241
98,99,2,/profile/99661146500
99,100,2,/profile/99661147925
100,101,2,/profile/99661148452
101,102,2,/profile/99661146796
102,103,2,/profile/99659261293
103,104,1,/doi/10.1109/TASLP.2024.3379877
104,105,2,/profile/99660638309
105,106,2,/profile/99661017102
106,107,2,/profile/99661228961
107,108,2,/profile/99661229972
108,109,2,/profile/99661231788
109,110,2,/profile/99661022071
110,111,2,/profile/99661227545
111,112,2,/profile/99661230193
112,113,2,/profile/99661226143
113,114,2,/profile/81493656542
114,115,2,/profile/99661018444
115,116,1,/doi/10.1109/TASLP.2023.3297954
116,117,2,/profile/99660838555
117,118,2,/profile/99659373686
118,119,2,/profile/81502717153
119,120,1,/doi/10.1109/TASLP.2023.3301230
120,121,2,/profile/99659658153
121,122,2,/profile/99660021002
122,123,1,/doi/10.1109/TASLP.2024.3372874
123,124,2,/profile/99661047267
124,125,2,/profile/81418599994
125,126,2,/profile/99660500867
126,127,1,/doi/10.1109/TASLP.2023.3328283
127,128,2,/profile/81467671125
