,from,to,count
0,1,2,1
1,1,3,1
2,2,3,1
3,4,5,1
4,4,6,1
5,4,7,1
6,5,6,1
7,5,7,1
9,8,9,1
10,8,10,1
11,8,11,1
12,9,10,2
13,9,11,1
14,10,11,1
15,12,13,1
16,12,14,1
17,12,15,1
18,12,16,1
19,13,14,1
20,13,15,1
21,13,16,1
22,14,15,1
23,14,16,1
25,17,18,1
26,19,20,1
27,21,22,1
28,23,24,1
29,23,25,1
30,23,26,1
31,24,25,1
32,24,26,1
33,25,26,1
34,27,28,1
35,29,30,1
36,29,31,1
37,29,32,1
38,29,33,1
39,30,31,1
40,30,32,1
41,30,33,1
42,31,32,1
43,31,33,1
44,32,33,1
45,34,35,1
46,34,36,1
47,35,36,1
48,37,38,1
49,37,39,1
50,37,40,1
51,37,41,1
52,38,39,1
53,38,40,1
54,38,41,1
55,39,40,1
56,39,41,1
57,40,41,1
58,42,43,1
59,42,44,1
60,42,45,1
61,42,46,1
62,42,47,1
63,42,48,1
64,42,49,1
65,42,50,1
66,42,51,1
67,42,52,1
68,42,53,1
69,42,54,1
70,43,44,1
71,43,45,1
72,43,46,1
73,43,47,1
74,43,48,1
75,43,49,1
76,43,50,1
77,43,51,1
78,43,52,1
79,43,53,1
80,43,54,1
81,44,45,1
82,44,46,1
83,44,47,1
84,44,48,1
85,44,49,1
86,44,50,1
87,44,51,1
88,44,52,1
89,44,53,1
90,44,54,1
91,45,46,1
92,45,47,1
93,45,48,1
94,45,49,1
95,45,50,1
96,45,51,1
97,45,52,1
98,45,53,1
99,45,54,1
100,46,47,1
101,46,48,1
102,46,49,1
103,46,50,1
104,46,51,1
105,46,52,1
106,46,53,1
107,46,54,1
108,47,48,1
109,47,49,1
110,47,50,1
111,47,51,1
112,47,52,1
113,47,53,1
114,47,54,1
115,48,49,1
116,48,50,1
117,48,51,1
118,48,52,1
119,48,53,1
120,48,54,1
121,49,50,1
122,49,51,1
123,49,52,1
124,49,53,1
125,49,54,1
126,50,51,1
127,50,52,1
128,50,53,1
129,50,54,1
130,51,52,1
131,51,53,1
132,51,54,1
133,52,53,1
134,52,54,1
135,53,54,1
136,55,56,1
137,55,57,1
138,56,57,1
139,58,59,1
140,60,61,1
141,60,62,1
142,61,62,1
143,63,64,1
144,63,65,1
145,63,66,1
146,64,65,1
147,64,66,1
148,65,66,1
149,67,68,1
150,67,69,1
151,67,70,1
152,67,71,1
153,68,69,1
154,68,70,1
155,68,71,1
158,70,69,2
159,72,73,1
160,74,75,1
161,74,76,1
162,74,77,1
163,74,78,1
164,75,76,1
165,75,77,1
166,75,78,1
167,76,77,1
168,76,78,1
169,77,78,1
170,79,80,1
171,79,81,1
172,79,82,1
173,80,81,1
174,80,82,1
175,81,82,1
176,83,84,1
177,83,85,1
178,83,86,1
179,84,85,1
180,84,86,1
181,85,86,1
182,87,88,1
183,87,89,1
184,87,90,1
185,87,91,1
186,88,89,1
187,88,90,1
188,88,91,1
189,89,90,1
190,89,91,1
191,90,91,1
192,92,93,1
193,92,94,1
194,92,95,1
195,91,96,2
196,92,97,1
197,92,98,1
198,93,94,1
199,93,95,1
200,93,96,1
201,93,97,1
202,93,98,1
203,94,95,1
204,94,96,1
205,94,97,1
206,94,98,1
207,95,96,1
208,95,97,1
209,95,98,1
210,96,97,1
211,96,98,1
212,97,98,1
213,99,100,1
214,99,101,1
215,99,102,1
216,100,101,1
217,100,102,1
218,101,102,1
219,103,104,1
220,103,105,1
221,104,105,1
222,89,106,1
223,106,107,1
224,106,108,1
225,89,107,1
226,89,108,1
227,107,108,1
228,9,109,1
229,109,110,2
230,9,110,1
231,111,112,1
232,111,113,1
233,112,113,1
234,114,115,1
235,36,117,1
236,36,118,1
237,36,119,1
238,36,120,1
239,117,118,1
240,117,119,1
241,117,120,1
242,118,119,1
243,118,120,1
244,119,120,1
245,121,122,1
246,121,123,1
247,121,124,1
248,26,121,1
249,121,125,1
250,122,123,1
251,122,124,1
252,26,122,1
253,122,125,1
254,123,124,1
255,26,123,1
256,123,125,1
257,26,124,1
258,124,125,1
259,26,125,1
260,115,126,1
261,126,127,1
262,126,128,1
263,115,127,1
264,115,128,1
265,127,128,1
266,5,129,1
267,129,130,1
268,5,130,1
269,131,132,1
270,131,133,1
271,131,134,1
272,131,135,1
273,131,136,1
274,131,137,1
275,131,138,1
276,132,133,1
277,132,134,1
278,132,135,1
279,132,136,1
280,132,137,1
281,132,138,1
282,133,134,1
283,133,135,1
284,133,136,1
285,133,137,1
286,133,138,1
287,134,135,1
288,134,136,1
289,134,137,1
290,134,138,1
291,135,136,1
292,135,137,1
293,135,138,1
294,136,137,1
295,136,138,1
296,137,138,1
297,139,140,1
298,14,139,1
299,15,139,1
301,14,140,1
302,15,140,1
304,14,17,1
305,16,16,1
306,141,142,1
307,141,143,1
308,141,144,1
309,141,145,1
310,141,146,1
311,141,147,1
312,142,143,1
313,142,144,1
314,142,145,1
315,142,146,1
316,142,147,1
317,143,144,1
318,143,145,1
319,143,146,1
320,143,147,1
321,144,145,1
322,144,146,1
323,144,147,1
324,145,146,1
325,145,147,1
326,146,147,1
327,148,149,1
328,150,151,1
329,150,152,1
330,150,153,1
331,151,152,1
332,151,153,1
333,152,153,1
334,5,154,1
335,6,154,1
336,154,155,1
337,5,155,1
338,6,155,1
339,156,157,1
340,156,158,1
341,156,159,1
342,156,160,1
343,157,158,1
344,157,159,1
345,157,160,1
346,158,159,1
347,158,160,1
348,159,160,1
349,161,162,1
350,161,163,1
351,162,163,1
352,164,165,1
353,166,167,1
354,168,169,1
355,168,170,1
356,169,170,1
357,171,172,1
358,171,173,1
359,172,173,1
360,174,175,1
361,174,176,1
362,174,177,1
363,174,178,1
364,175,176,1
365,175,177,1
366,175,178,1
367,176,177,1
368,176,178,1
369,177,178,1
370,179,180,1
371,181,182,1
372,181,183,1
373,182,183,1
374,184,185,1
375,186,187,1
376,186,188,1
377,186,189,1
378,187,188,1
379,187,189,1
380,188,188,1
381,190,191,1
382,192,193,1
383,192,194,1
384,192,195,1
385,192,196,1
386,193,194,1
387,193,195,1
388,193,196,1
389,194,195,1
390,194,196,1
391,195,196,1
392,197,198,1
393,197,199,1
394,198,199,1
395,200,201,1
396,200,202,1
397,200,203,1
398,200,204,1
399,201,202,1
400,201,203,1
401,201,204,1
402,202,203,1
403,202,204,1
404,203,204,1
405,205,206,1
406,205,207,1
407,206,207,1
408,208,209,1
409,208,210,1
410,208,211,1
411,209,210,1
412,209,211,1
413,210,211,1
414,212,213,1
415,212,214,1
416,213,214,1
417,5,215,1
418,155,215,1
419,5,156,1
420,216,217,1
421,15,216,1
422,15,217,1
423,218,219,1
424,218,220,1
425,218,221,1
426,218,222,1
427,218,223,1
428,219,220,1
429,219,221,1
430,219,222,1
431,219,223,1
432,220,221,1
433,220,222,1
434,220,223,1
435,221,222,1
436,221,223,1
437,222,223,1
438,224,225,1
439,9,226,1
440,226,227,2
441,226,228,2
442,9,227,1
443,9,228,1
444,227,228,2
445,229,230,1
446,229,231,1
447,229,232,1
448,230,231,1
449,230,232,1
450,231,232,1
451,233,234,1
452,13,235,1
453,235,236,1
454,235,237,1
455,235,238,1
456,235,239,1
457,235,240,1
458,235,241,1
459,235,242,1
460,235,243,1
461,13,236,1
462,13,237,1
463,13,238,1
464,13,239,1
465,13,240,1
466,13,241,1
467,13,242,1
468,13,243,1
469,236,237,1
470,236,238,1
471,236,239,1
472,236,240,1
473,236,241,1
474,236,242,1
475,236,243,1
476,237,238,1
477,237,239,1
478,237,240,1
479,237,241,1
480,237,242,1
481,237,243,1
482,238,239,1
483,238,240,1
484,238,241,1
485,238,242,1
486,238,243,1
487,239,240,1
488,239,241,1
489,239,242,1
490,239,243,1
491,240,241,1
492,240,242,1
493,240,243,1
494,241,242,1
495,241,243,1
496,242,243,1
497,244,245,1
498,244,246,1
499,245,246,1
500,247,248,1
501,247,249,1
502,248,249,1
503,250,251,1
504,250,252,1
505,250,253,1
506,250,254,1
507,250,255,1
508,251,252,1
509,251,253,1
510,251,254,1
511,251,255,1
512,252,253,1
513,252,254,1
514,252,255,1
515,253,254,1
516,253,255,1
517,254,255,1
518,256,257,1
519,256,258,1
520,256,259,1
521,256,260,1
522,256,261,1
523,256,262,1
524,257,258,1
525,257,259,1
526,257,260,1
527,257,261,1
528,257,262,1
529,258,259,1
530,258,260,1
531,258,261,1
532,258,262,1
533,259,260,1
534,259,261,1
535,259,262,1
536,260,261,1
537,260,262,1
538,261,262,1
539,263,264,1
540,263,265,1
541,263,266,1
542,263,267,1
543,264,265,1
544,264,266,1
545,264,267,1
546,265,266,1
547,265,267,1
548,266,267,1
549,268,269,1
550,268,270,1
551,268,271,1
552,269,270,1
553,269,271,1
555,272,273,1
556,272,274,1
557,272,275,1
558,272,276,1
559,273,274,1
560,273,275,1
561,273,276,1
562,274,275,1
563,274,276,1
564,275,276,1
565,277,278,1
566,277,279,1
567,278,279,1
568,280,281,1
569,280,282,1
570,280,283,1
571,280,284,1
572,280,285,1
573,280,286,1
574,281,282,1
575,281,283,1
576,281,284,1
577,281,285,1
578,281,286,1
579,282,283,1
580,282,284,1
581,282,285,1
582,282,286,1
583,283,284,1
584,283,285,1
585,283,286,1
586,284,285,1
587,284,286,1
588,285,286,1
589,287,288,1
590,287,289,1
591,287,290,1
592,288,289,1
593,288,290,1
594,289,290,1
595,291,292,1
596,291,293,1
597,291,294,1
598,292,293,1
599,292,294,1
600,293,294,1
601,295,296,1
602,297,298,1
603,299,300,1
604,301,302,1
605,301,303,1
606,301,304,1
607,301,305,1
608,301,306,1
609,301,307,1
610,301,308,1
611,301,309,1
612,301,310,1
613,302,303,1
614,302,304,1
615,302,305,1
616,302,306,1
617,302,307,1
618,302,308,1
619,302,309,1
620,302,310,1
621,303,304,1
622,303,305,1
623,303,306,1
624,303,307,1
625,303,308,1
626,303,309,1
627,303,310,1
630,304,307,1
631,304,308,1
632,304,309,1
633,304,310,1
634,305,304,2
635,305,307,1
636,305,308,1
637,305,309,1
639,306,307,1
640,306,308,1
641,306,309,1
642,306,310,1
643,307,308,1
644,307,309,1
645,307,310,1
646,308,309,1
647,308,310,1
648,309,310,1
649,311,312,1
650,311,313,1
651,311,314,1
652,312,313,1
653,312,314,1
654,313,314,1
655,108,315,1
656,316,317,1
657,316,318,1
658,316,319,1
659,316,320,1
660,317,318,1
661,317,319,1
662,317,320,1
663,318,319,1
664,318,320,1
665,319,320,1
666,9,321,1
667,322,323,1
668,322,324,1
669,322,325,1
670,323,324,1
671,323,325,1
672,324,325,1
673,326,327,1
674,326,328,1
675,326,329,1
676,327,328,1
677,327,329,1
678,328,329,1
679,330,331,1
680,330,332,1
681,331,332,1
682,333,334,1
683,335,336,1
684,335,337,1
685,336,337,1
686,338,339,1
687,338,340,1
688,339,340,1
689,334,335,1
690,341,342,1
691,341,343,1
692,341,344,1
693,341,345,1
694,341,346,1
695,341,347,1
696,342,343,1
697,342,344,1
698,342,345,1
699,342,346,1
700,342,347,1
701,343,344,1
702,343,345,1
703,343,346,1
704,343,347,1
705,344,345,1
706,344,346,1
707,344,347,1
708,345,346,1
709,345,347,1
710,346,347,1
711,348,349,1
712,348,350,1
713,349,350,1
714,351,352,1
715,351,353,1
716,351,354,1
717,351,355,1
718,351,356,1
719,351,357,1
720,351,358,1
721,352,353,1
722,352,354,1
723,352,355,1
724,352,356,1
725,352,357,1
726,352,358,1
727,353,354,1
728,353,355,1
729,353,356,1
730,353,357,1
731,353,358,1
732,354,355,1
733,354,356,1
734,354,357,1
735,354,358,1
736,355,356,1
737,355,357,1
738,355,358,1
739,356,357,1
740,356,358,1
741,357,358,1
742,359,360,1
743,359,361,1
744,359,362,1
745,359,363,1
746,360,361,1
747,360,362,1
748,360,363,1
749,361,362,1
750,361,363,1
751,362,363,1
752,364,365,1
753,364,366,1
754,365,366,1
755,367,368,1
756,367,369,1
757,367,370,1
758,367,371,1
759,367,372,1
760,368,369,1
761,368,370,1
762,368,371,1
763,368,372,1
765,369,371,1
766,369,372,1
767,370,371,1
768,370,372,1
769,371,372,1
770,373,374,1
771,373,375,1
772,373,376,1
773,373,377,1
774,373,378,1
775,373,379,1
776,374,375,1
777,374,376,1
778,374,377,1
779,374,378,1
780,374,379,1
781,375,376,1
782,375,377,1
783,375,378,1
784,375,379,1
785,376,377,1
786,376,378,1
787,376,379,1
788,377,378,1
789,377,379,1
790,378,379,1
791,380,381,1
792,380,382,1
793,380,383,1
794,380,384,1
795,381,382,1
796,381,383,1
797,381,384,1
798,382,383,1
799,382,384,1
800,383,384,1
801,9,385,1
802,386,387,1
803,386,388,1
804,386,389,1
805,386,390,1
806,386,391,1
807,387,388,1
808,387,389,1
809,387,390,1
810,387,391,1
811,388,389,1
812,388,390,1
813,388,391,1
814,389,390,1
815,389,391,1
816,390,391,1
817,392,393,1
818,392,394,1
819,392,395,1
820,392,396,1
821,393,394,1
822,393,395,1
823,393,396,1
824,394,395,1
825,394,396,1
826,395,396,1
827,9,397,1
828,398,399,1
829,398,400,1
830,398,401,1
831,398,402,1
832,398,403,1
833,399,400,1
834,399,401,1
835,399,402,1
836,399,403,1
837,400,401,1
838,400,402,1
839,400,403,1
840,401,402,1
841,401,403,1
842,402,403,1
843,404,406,1
844,407,408,1
845,407,409,1
846,407,410,1
847,408,409,1
848,408,410,1
849,409,410,1
850,339,411,1
851,411,412,1
852,411,413,1
853,339,412,1
854,339,413,1
855,412,413,1
856,414,415,1
857,414,416,1
858,415,416,1
859,417,418,1
860,417,419,1
861,417,420,1
862,417,421,1
863,417,422,1
864,418,419,1
865,418,420,1
866,418,421,1
867,418,422,1
868,419,420,1
869,419,421,1
870,419,422,1
871,420,421,1
872,420,422,1
873,421,422,1
874,423,424,1
875,423,425,1
876,424,425,1
877,96,426,1
878,427,428,1
879,427,429,1
880,427,430,1
881,427,431,1
882,427,432,1
883,428,429,1
884,428,430,1
885,428,431,1
886,428,432,1
887,429,430,1
888,429,431,1
889,429,432,1
890,430,431,1
891,430,432,1
892,431,432,1
893,433,434,1
894,433,435,1
895,433,436,1
896,433,437,1
897,434,435,1
898,434,436,1
899,434,437,1
900,435,436,1
902,436,437,1
903,438,439,1
904,438,440,1
905,438,441,1
906,438,442,1
907,439,440,1
908,439,441,1
909,439,442,1
910,440,441,1
911,440,442,1
912,441,442,1
913,443,444,1
914,443,445,1
915,443,446,1
916,443,447,1
917,443,448,1
918,444,445,1
919,444,446,1
920,444,447,1
921,444,448,1
922,445,446,1
923,445,447,1
924,445,448,1
925,446,447,1
926,446,448,1
927,447,448,1
928,449,450,1
929,451,452,1
930,451,453,1
931,451,454,1
932,451,455,1
933,452,453,1
934,452,454,1
935,452,455,1
936,453,454,1
937,453,455,1
938,454,455,1
939,456,457,1
940,456,458,1
941,456,459,1
942,456,460,1
943,457,458,1
944,457,459,1
945,457,460,1
946,458,459,1
947,458,460,1
948,459,460,1
949,461,462,1
950,461,463,1
951,461,464,1
952,461,465,1
953,462,463,1
954,462,464,1
955,462,465,1
956,463,464,1
957,463,465,1
958,464,465,1
959,466,467,1
960,466,468,1
961,467,468,1
962,9,469,1
963,470,471,1
964,470,472,1
965,470,473,1
966,470,474,1
967,471,472,1
968,471,473,1
969,471,474,1
970,472,473,1
971,472,474,1
972,473,474,1
973,475,476,1
974,477,478,1
975,477,479,1
976,478,479,1
977,480,481,1
978,480,482,1
979,480,483,1
980,480,484,1
981,480,485,1
982,480,486,1
983,480,487,1
984,480,488,1
985,480,489,1
986,481,482,1
987,481,483,1
988,481,484,1
989,481,485,1
990,481,486,1
991,481,487,1
992,481,488,1
993,481,489,1
994,482,483,1
995,482,484,1
996,482,485,1
997,482,486,1
998,482,487,1
999,482,488,1
1000,482,489,1
1001,483,484,1
1002,483,485,1
1003,483,486,1
1004,483,487,1
1005,483,488,1
1006,483,489,1
1007,484,485,1
1008,484,486,1
1009,484,487,1
1010,484,488,1
1011,484,489,1
1012,485,486,1
1013,485,487,1
1014,485,488,1
1015,485,489,1
1016,486,487,1
1017,486,488,1
1018,486,489,1
1019,487,488,1
1020,487,489,1
1021,488,489,1
1022,490,491,1
1023,490,492,1
1024,491,492,1
1025,493,494,1
1026,493,495,1
1027,493,496,1
1028,493,497,1
1029,493,498,1
1030,493,499,1
1031,493,500,1
1032,494,495,1
1033,494,496,1
1034,494,497,1
1035,494,498,1
1036,494,499,1
1037,494,500,1
1038,495,496,1
1039,495,497,1
1040,495,498,1
1041,495,499,1
1042,495,500,1
1043,496,497,1
1044,496,498,1
1045,496,499,1
1046,496,500,1
1047,497,498,1
1048,497,499,1
1049,497,500,1
1050,498,499,1
1051,498,500,1
1052,499,500,1
1053,501,502,1
1054,501,503,1
1055,501,504,1
1056,502,503,1
1057,502,504,1
1058,503,504,1
1059,505,506,1
1060,505,507,1
1061,505,508,1
1062,506,507,1
1063,506,508,1
1064,507,508,1
1065,509,510,1
1066,509,511,1
1067,509,512,1
1068,509,513,1
1069,509,514,1
1070,509,515,1
1071,509,516,1
1072,509,517,1
1073,509,518,1
1074,509,519,1
1075,509,520,1
1076,509,521,1
1077,509,522,1
1078,509,523,1
1079,509,524,1
1080,510,511,1
1081,510,512,1
1082,510,513,1
1083,510,514,1
1084,510,515,1
1085,510,516,1
1086,510,517,1
1087,510,518,1
1088,510,519,1
1089,510,520,1
1090,510,521,1
1091,510,522,1
1092,510,523,1
1093,510,524,1
1094,511,512,1
1095,511,513,1
1096,511,514,1
1097,511,515,1
1098,511,516,1
1099,511,517,1
1100,511,518,1
1101,511,519,1
1102,511,520,1
1103,511,521,1
1104,511,522,1
1105,511,523,1
1106,511,524,1
1107,512,513,1
1108,512,514,1
1109,512,515,1
1110,512,516,1
1111,512,517,1
1112,512,518,1
1113,512,519,1
1114,512,520,1
1115,512,521,1
1116,512,522,1
1117,512,523,1
1118,512,524,1
1119,513,514,1
1120,513,515,1
1121,513,516,1
1122,513,517,1
1123,513,518,1
1124,513,519,1
1125,513,520,1
1126,513,521,1
1127,513,522,1
1128,513,523,1
1129,513,524,1
1130,514,515,1
1131,514,516,1
1132,514,517,1
1133,514,518,1
1134,514,519,1
1135,514,520,1
1136,514,521,1
1137,514,522,1
1138,514,523,1
1139,514,524,1
1140,515,516,1
1141,515,517,1
1142,515,518,1
1143,515,519,1
1144,515,520,1
1145,515,521,1
1146,515,522,1
1147,515,523,1
1148,515,524,1
1149,516,517,1
1150,516,518,1
1151,516,519,1
1152,516,520,1
1153,516,521,1
1154,516,522,1
1155,516,523,1
1156,516,524,1
1157,517,518,1
1158,517,519,1
1159,517,520,1
1160,517,521,1
1161,517,522,1
1162,517,523,1
1163,517,524,1
1164,518,519,1
1165,518,520,1
1166,518,521,1
1167,518,522,1
1168,518,523,1
1169,518,524,1
1170,519,520,1
1171,519,521,1
1172,519,522,1
1173,519,523,1
1174,519,524,1
1175,520,521,1
1176,520,522,1
1177,520,523,1
1178,520,524,1
1179,521,522,1
1180,521,523,1
1181,521,524,1
1182,522,523,1
1183,522,524,1
1184,523,524,1
1185,525,526,1
1187,525,528,1
1188,525,529,1
1189,525,530,1
1190,525,531,1
1191,525,532,1
1193,526,528,1
1194,526,529,1
1195,526,530,1
1196,526,531,1
1197,526,532,1
1203,528,529,1
1204,528,530,1
1205,528,531,1
1206,528,532,1
1207,529,530,1
1208,529,531,1
1209,529,532,1
1210,530,531,1
1211,530,532,1
1212,531,532,1
1213,533,534,1
1214,533,535,1
1215,533,536,1
1216,533,537,1
1217,534,535,1
1218,534,536,1
1219,534,537,1
1220,535,536,1
1221,535,537,1
1222,536,537,1
1223,538,539,1
1224,538,540,1
1225,538,541,1
1226,539,540,1
1227,539,541,1
1228,540,541,1
1229,542,543,1
1230,542,544,1
1231,542,545,1
1232,543,544,1
1233,543,545,1
1234,544,545,1
1235,546,547,1
1236,546,548,1
1237,546,549,1
1238,547,548,1
1239,547,549,1
1240,548,549,1
1241,550,551,1
1242,552,553,1
1243,554,555,1
1244,554,556,1
1245,554,557,1
1246,554,558,1
1247,554,559,1
1248,554,560,1
1249,554,561,1
1250,555,556,1
1251,555,557,1
1252,555,558,1
1253,555,559,1
1254,555,560,1
1255,555,561,1
1256,556,557,1
1257,556,558,1
1258,556,559,1
1259,556,560,1
1260,556,561,1
1261,557,558,1
1264,557,561,1
1265,558,559,1
1266,558,560,1
1267,558,561,1
1268,559,559,1
1269,559,561,1
1270,560,561,1
1271,563,564,1
1272,565,566,1
1273,565,567,1
1274,565,568,1
1275,566,567,1
1276,566,568,1
1277,567,568,1
1278,553,554,1
1279,569,570,1
1280,569,571,1
1281,570,571,1
1282,572,573,1
1283,572,574,1
1284,572,575,1
1285,572,576,1
1286,573,574,1
1287,573,575,1
1288,573,576,1
1289,574,575,1
1290,574,576,1
1291,575,575,1
1292,577,579,1
1293,577,580,1
1294,579,580,1
1295,581,582,1
1296,581,583,1
1297,582,583,1
1298,9,584,1
1299,585,586,1
1300,587,588,1
1301,587,589,1
1303,587,591,1
1304,587,592,1
1305,588,589,1
1307,588,591,1
1308,588,592,1
1310,589,591,1
1311,589,592,1
1314,591,592,1
1315,593,594,1
1316,593,595,1
1317,593,596,1
1318,593,597,1
1319,594,595,1
1320,594,596,1
1321,594,597,1
1322,595,596,1
1323,595,597,1
1324,596,597,1
1325,599,600,1
1326,599,601,1
1327,599,602,1
1328,600,601,1
1329,600,602,1
1330,601,602,1
1331,603,604,1
1332,603,605,1
1333,603,606,1
1334,604,605,1
1335,604,606,1
1337,607,608,1
1338,609,610,1
1339,609,611,1
1340,609,612,1
1341,609,613,1
1342,610,611,1
1343,610,612,1
1344,610,613,1
1345,611,612,1
1346,611,613,1
1347,612,613,1
1348,614,615,1
1349,614,616,1
1350,614,617,1
1351,615,616,1
1352,615,617,1
1353,616,617,1
1354,618,619,1
1355,618,620,1
1356,618,621,1
1357,618,622,1
1358,618,623,1
1359,619,620,1
1360,619,621,1
1361,619,622,1
1362,619,623,1
1363,620,621,1
1364,620,622,1
1365,620,623,1
1366,621,622,1
1367,621,623,1
1368,622,623,1
1369,624,625,1
1370,624,626,1
1371,624,627,1
1372,624,628,1
1373,624,629,1
1374,605,624,1
1375,625,626,1
1376,625,627,1
1377,625,628,1
1378,625,629,1
1379,605,625,1
1380,626,627,1
1381,626,628,1
1382,626,629,1
1383,605,626,1
1384,627,628,1
1385,627,629,1
1386,605,627,1
1387,628,629,1
1388,605,628,1
1389,605,629,1
1390,630,631,1
1391,630,632,1
1392,630,633,1
1393,631,632,1
1394,631,633,1
1395,632,633,1
1396,634,635,1
1397,636,637,1
1398,638,639,1
1399,638,640,1
1400,638,641,1
1401,638,642,1
1402,639,640,1
1403,639,641,1
1404,639,642,1
1405,640,641,1
1406,640,642,1
1407,641,642,1
1408,643,644,1
1409,643,645,1
1410,643,646,1
1411,643,647,1
1412,644,645,1
1413,644,646,1
1414,644,647,1
1415,645,646,1
1416,645,647,1
1417,646,647,1
1418,648,649,1
1419,648,650,1
1420,649,650,1
1421,651,652,1
1422,604,653,1
1423,605,653,1
1424,606,653,1
1425,604,607,1
1427,487,654,1
1428,654,655,1
1429,654,656,1
1430,654,657,1
1431,489,654,1
1432,487,655,1
1433,487,656,1
1434,487,657,1
1435,487,490,1
1436,655,656,1
1437,655,657,1
1438,489,655,1
1439,656,657,1
1440,489,656,1
1441,489,657,1
1442,658,659,1
1443,658,660,1
1444,658,661,1
1445,658,662,1
1446,659,660,1
1447,659,661,1
1448,659,662,1
1449,660,661,1
1450,660,662,1
1451,661,662,1
1452,663,664,1
1453,663,665,1
1454,664,665,1
1455,666,667,1
1456,666,668,1
