ner_id,link,title,doi
1,https://dl.acm.org/doi/10.1145/3010089.3010090,Defining Big Data,10.1145/3010089.3010090
4,https://dl.acm.org/doi/10.1145/3291801.3291822,Big Data with Ten Big Characteristics,10.1145/3291801.3291822
8,https://dl.acm.org/doi/10.1145/2513591.2527071,Big data: a research agenda,10.1145/2513591.2527071
12,https://dl.acm.org/doi/10.1145/3158352,Big data: big data or big brother? that is the question now.,10.1145/3158352
17,https://dl.acm.org/doi/10.1145/2611040.2611042,Big Data: from Hype to Reality?,10.1145/2611040.2611042
19,https://dl.acm.org/doi/10.1145/3010089.3010143,Healthcare Big Data: Challenges and Opportunities,10.1145/3010089.3010143
21,https://dl.acm.org/doi/10.1145/2640087.2644175,Big Data and Smart Grid,10.1145/2640087.2644175
23,https://dl.acm.org/doi/10.1145/3090354.3090401,From Data to Big Data: Moroccan Public Sector,10.1145/3090354.3090401
27,https://dl.acm.org/doi/10.1145/3647722.3647725,Big Data 4.0 = Meta4 (Big Data) = The Era of Big Intelligence,10.1145/3647722.3647725
29,https://dl.acm.org/doi/10.1145/2351316.2351318,"Big data, big business: bridging the gap",10.1145/2351316.2351318
34,https://dl.acm.org/doi/10.1145/3361758.3361768,"Big Data Infrastructure, Data Visualisation and Challenges",10.1145/3361758.3361768
37,https://dl.acm.org/doi/10.1145/2837060.2837068,Clarifying Big Data: The Concept and Its Applications,10.1145/2837060.2837068
42,https://dl.acm.org/doi/10.1145/2658840.2658845,Taming Big Data: Integrating diverse public data sources for economic competitiveness analytics,10.1145/2658840.2658845
55,https://dl.acm.org/doi/10.1145/3195528.3195533,Big data: deep learning for detecting malware,10.1145/3195528.3195533
58,https://dl.acm.org/doi/10.1145/2524248.2524253,"Big data, big questions",10.1145/2524248.2524253
60,https://dl.acm.org/doi/10.1145/3141128.3141139,Big Data and New Data Warehousing Approaches,10.1145/3141128.3141139
63,https://dl.acm.org/doi/10.1145/3010089.3017606,Integrating Big data paradigm in WSNs,10.1145/3010089.3017606
67,https://dl.acm.org/doi/10.1145/3216122.3216154,Efficient Big Data Clustering,10.1145/3216122.3216154
72,https://dl.acm.org/doi/10.1145/3210284.3214344,"Mosaics in Big Data: Stratosphere, Apache Flink, and Beyond",10.1145/3210284.3214344
74,https://dl.acm.org/doi/10.1145/3090354.3090376,Big Data Technologies to Improve Medical Data Warehousing,10.1145/3090354.3090376
79,https://dl.acm.org/doi/10.1145/3010089.3010127,Big Data Clustering using Data Streams Approach,10.1145/3010089.3010127
83,https://dl.acm.org/doi/10.1145/3011286.3011307,Environmental Big Data: a systematic mapping study,10.1145/3011286.3011307
87,https://dl.acm.org/doi/10.1145/2609876.2609890,Modeling in Big Data Environments,10.1145/2609876.2609890
92,https://dl.acm.org/doi/10.1145/2609876.2609889,Sensemaking in Big Data Environments,10.1145/2609876.2609889
99,https://dl.acm.org/doi/10.1145/2656346.2656358,Big data architecture evolution: 2014 and beyond,10.1145/2656346.2656358
103,https://dl.acm.org/doi/10.1145/3172871.3172886,State-of-the-art Big Data Security Taxonomies,10.1145/3172871.3172886
106,https://dl.acm.org/doi/10.1145/2609876.2609887,Support for Big Data's Limiting Resource: Human Attention,10.1145/2609876.2609887
109,https://dl.acm.org/doi/10.1109/CCGRID.2018.00100; https://ieeexplore.ieee.org/document/8411087/,Pedigree-ing your big data: data-driven big data privacy in distributed environments,10.1109/CCGRID.2018.00100
111,https://dl.acm.org/doi/10.1145/3018896.3025151,Where big data meets 5G?,10.1145/3018896.3025151
114,https://dl.acm.org/doi/10.1145/2837060.2837076,Big Data Mining Applications and Services,10.1145/2837060.2837076
116,https://dl.acm.org/doi/10.1145/3378904.3378907,Security Challenges for Big Data and IoT,10.1145/3378904.3378907
121,https://dl.acm.org/doi/10.1145/3289100.3289108,Towards Efficient Big Data: Hadoop Data Placing and Processing,10.1145/3289100.3289108
126,https://dl.acm.org/doi/10.1145/3341161.3343512,Flexible compression of big data,10.1145/3341161.3343512
129,https://dl.acm.org/doi/10.1145/3505745.3505750,Responsible Big Data Analytics for E-Business Services,10.1145/3505745.3505750
131,https://dl.acm.org/doi/10.1145/3603706,BIGQA: Declarative Big Data Quality Assessment,10.1145/3603706
139,https://dl.acm.org/doi/10.1145/3158335,"Big Data, Digitization, and Social Change: Big Data (Ubiquity symposium)",10.1145/3158335
141,https://dl.acm.org/doi/10.1145/3331651.3331659,Co-Designing Learning Materials to Empower Laypersons to Better Understand Big Data and Big Data Methods,10.1145/3331651.3331659
148,https://dl.acm.org/doi/10.1145/3158339,Big Data for Social Science Research: Big Data (Ubiquity symposium),10.1145/3158339
150,https://dl.acm.org/doi/10.1145/3341620.3341629,Big Data Quality Metrics for Sentiment Analysis Approaches,10.1145/3341620.3341629
154,https://dl.acm.org/doi/10.1145/3564665.3564673,Driving Digital Services with Big Data Analytics,10.1145/3564665.3564673
156,https://dl.acm.org/doi/10.1145/2659651.2659655,Big Data Information Security Maintenance,10.1145/2659651.2659655
161,https://dl.acm.org/doi/10.1145/3447879.3447883,Approximate computation for big data analytics,10.1145/3447879.3447883
164,https://dl.acm.org/doi/10.1145/2614512.2629588,Big data,10.1145/2614512.2629588
166,https://dl.acm.org/doi/10.1145/3158337,Big Data and the Attention Economy: Big Data (Ubiquity symposium),10.1145/3158337
168,https://dl.acm.org/doi/10.1145/3502300.3502312,US Army Big Data Military Applications and Reflections,10.1145/3502300.3502312
171,https://dl.acm.org/doi/10.1145/3366650.3366667,Online Updating Algorithms of Statistical Methods for Big Data,10.1145/3366650.3366667
174,https://dl.acm.org/doi/10.1145/2928294.2928297,Semantic big data for tax assessment,10.1145/2928294.2928297
179,https://dl.acm.org/doi/10.1145/3436286.3436291,Hot Topics of Big Data Research in China,10.1145/3436286.3436291
181,https://dl.acm.org/doi/10.1145/2905055.2905215,A Major Threat to Big Data: Data Security,10.1145/2905055.2905215
184,https://dl.acm.org/doi/10.1145/2837060.2837116,Big Data Processing Flow,10.1145/2837060.2837116
186,https://dl.acm.org/doi/10.1145/2837060.2837067,Big Data and Internet of Things: An Asset for Urban Planning,10.1145/2837060.2837067
190,https://dl.acm.org/doi/10.1145/3335484.3335534,Green Optical Networking for Big Data Transfer,10.1145/3335484.3335534
192,https://dl.acm.org/doi/10.1145/3368691.3368741,Big data analytics tools and applications: survey,10.1145/3368691.3368741
197,https://dl.acm.org/doi/10.1145/3372938.3372939,On the Intersection of Big Data and Privacy,10.1145/3372938.3372939
200,https://dl.acm.org/doi/10.1145/2896825.2896837,Toward big data value engineering for innovation,10.1145/2896825.2896837
205,https://dl.acm.org/doi/10.1145/3404687.3404694,A Comprehensive Overview of BIG DATA Technologies: A Survey,10.1145/3404687.3404694
208,https://dl.acm.org/doi/10.1145/2905055.2905099,Big data and ICT applications: A study,10.1145/2905055.2905099
212,https://dl.acm.org/doi/10.1145/3373419.3373425,Design Big Data Analysis System - Bigdeepexaminator,10.1145/3373419.3373425
215,https://dl.acm.org/doi/10.1145/3505745.3505751,A Strategic Perspective on Big Data Driven Socioeconomic Development,10.1145/3505745.3505751
216,https://dl.acm.org/doi/10.1145/3158348,Corporate Security is a Big Data Problem: Big Data (Ubiquity symposium),10.1145/3158348
218,https://dl.acm.org/doi/10.1145/3328833.3328841,Big Data in Healthcare: Are we getting useful insights from this avalanche of data?,10.1145/3328833.3328841
224,https://dl.acm.org/doi/10.1145/3626252.3630888,Learning Big Data Systems via Emulation,10.1145/3626252.3630888
226,https://dl.acm.org/doi/10.1145/3102254.3102271,Big-data-driven innovation for enterprises: innovative big value paradigms for next-generation digital ecosystems,10.1145/3102254.3102271
229,https://dl.acm.org/doi/10.1145/3524383.3533249,Accurately Identify Poor Students under Big Data,10.1145/3524383.3533249
233,https://dl.acm.org/doi/10.1145/2905055.2905194,Non-Relational Databases in Big Data,10.1145/2905055.2905194
235,https://dl.acm.org/doi/10.1145/3158350,"Big Data: Business, Technology, Education, and Science: Big Data (Ubiquity symposium)",10.1145/3158350
244,https://dl.acm.org/doi/10.1145/3363459.3363533,Big Data: A Decade of Energy Characteristics of Single-Family Homes in Florida,10.1145/3363459.3363533
247,https://dl.acm.org/doi/10.1145/2874239.2874256,Era of big data: danger of descrimination,10.1145/2874239.2874256
250,https://dl.acm.org/doi/10.1145/3474944.3474950,Anomaly Detection for Big Data Security: A Benchmark,10.1145/3474944.3474950
256,https://dl.acm.org/doi/10.1145/2534921.2534924,When big data meets big smog: a big spatio-temporal data framework for China severe smog analysis,10.1145/2534921.2534924
263,https://dl.acm.org/doi/10.1145/3627915.3629592,Design and Development of Big Data Platform for Smart University,10.1145/3627915.3629592
268,https://dl.acm.org/doi/10.1145/3409801,Big Data Processing on Volunteer Computing,10.1145/3409801
272,https://dl.acm.org/doi/10.1145/3209281.3209372,Census big data analytics use: international cross case analysis,10.1145/3209281.3209372
277,https://dl.acm.org/doi/10.1145/2948992.2949024,Data Warehousing in Big Data: From Multidimensional to Tabular Data Models,10.1145/2948992.2949024
280,https://dl.acm.org/doi/10.1145/3150919.3150923,Geospatial Big Data Analytics Engine for Spark,10.1145/3150919.3150923
287,https://dl.acm.org/doi/10.1145/3410352.3410785,Application of Big Data in Logistics,10.1145/3410352.3410785
291,https://dl.acm.org/doi/10.1145/3386723.3387841,Big Data security and privacy techniques,10.1145/3386723.3387841
295,https://dl.acm.org/doi/10.1145/2640087.2644153,"Computing Issues for Big Data: Theory, Systems and Applications",10.1145/2640087.2644153
297,https://dl.acm.org/doi/10.1145/2781562.2781574,Big Data Applications: Adaptive User Interfaces to Enhance Managerial Decision Making,10.1145/2781562.2781574
299,https://dl.acm.org/doi/10.1145/3010089.3010113,The Role of Sampling in Big Data Analysis,10.1145/3010089.3010113
301,https://dl.acm.org/doi/10.1145/2723372.2742794,Telco Churn Prediction with Big Data,10.1145/2723372.2742794
311,https://dl.acm.org/doi/10.1145/3132498.3132510,Characterizing big data software architectures: a systematic mapping study,10.1145/3132498.3132510
315,https://dl.acm.org/doi/10.1145/2609876.2609891,User Evaluation Methodology Framework in Big Data Environments,10.1145/2609876.2609891
