,from,to,count
0,1,2,1
1,1,3,1
2,1,4,1
3,2,3,1
4,2,4,1
5,3,4,1
6,5,6,1
7,5,7,1
8,5,8,1
9,5,9,1
10,5,10,1
11,5,11,1
12,5,12,1
13,6,7,1
14,6,8,1
15,6,9,1
16,6,10,1
17,6,11,1
18,6,12,1
19,7,8,1
20,7,9,1
21,7,10,1
22,7,11,1
23,7,12,1
24,8,9,1
25,8,10,1
26,8,11,1
27,8,12,1
28,9,10,1
29,9,11,1
30,9,12,1
31,10,11,1
32,10,12,1
33,11,12,1
34,13,14,1
35,13,15,1
36,13,16,1
37,13,17,1
38,13,13,1
39,14,15,1
40,14,16,1
41,14,17,1
42,14,13,1
43,15,16,1
44,15,17,1
45,15,13,1
46,16,17,1
47,16,13,1
48,17,13,1
49,18,19,1
50,18,5,1
51,18,20,1
52,19,5,1
53,19,20,1
54,5,20,1
55,21,22,1
56,21,23,1
57,21,24,1
58,21,25,1
59,22,23,1
60,22,24,1
61,22,25,1
62,23,24,1
63,23,25,1
64,24,25,1
65,26,27,1
66,26,28,1
67,26,29,1
68,26,30,1
69,26,31,1
70,26,32,1
71,26,33,1
72,26,34,1
73,26,35,1
74,27,28,1
75,27,29,1
76,27,30,1
77,27,31,1
78,27,32,1
79,27,33,1
80,27,34,1
81,27,35,1
82,28,29,1
83,28,30,1
84,28,31,1
85,28,32,1
86,28,33,1
87,28,34,1
88,28,35,1
89,29,30,1
90,29,31,1
91,29,32,1
92,29,33,1
93,29,34,1
94,29,35,1
95,30,31,1
96,30,32,1
97,30,33,1
98,30,34,1
99,30,35,1
100,31,32,1
101,31,33,1
102,31,34,1
103,31,35,1
104,32,33,1
105,32,34,1
106,32,35,1
107,33,34,1
108,33,35,1
109,34,35,1
110,36,37,1
111,36,38,1
112,36,39,1
113,36,40,1
114,36,41,1
115,36,42,1
116,37,38,1
117,37,39,1
118,37,40,1
119,37,41,1
120,37,42,1
121,38,39,1
122,38,40,1
123,38,41,1
124,38,42,1
125,39,40,1
126,39,41,1
127,39,42,1
128,40,41,1
129,40,42,1
130,41,42,1
131,43,44,1
132,43,45,1
133,44,45,1
134,47,48,1
135,47,49,1
136,47,50,1
137,47,51,1
138,48,49,1
139,48,50,1
140,48,51,1
141,49,50,1
142,49,51,1
143,50,51,1
144,52,53,1
145,52,54,1
146,52,55,1
147,52,56,1
148,52,57,1
149,52,58,1
150,53,54,1
151,53,55,1
152,53,56,1
153,53,57,1
154,53,58,1
155,54,55,1
156,54,56,1
157,54,57,1
158,54,58,1
159,55,56,1
160,55,57,1
161,55,58,1
162,56,57,1
163,56,58,1
164,57,58,1
165,59,60,1
166,59,61,1
167,59,62,1
168,59,63,1
169,59,64,1
170,59,65,1
171,60,61,1
172,60,62,1
173,60,63,1
174,60,64,1
175,60,65,1
176,61,62,1
177,61,63,1
178,61,64,1
179,61,65,1
180,62,63,1
181,62,64,1
182,62,65,1
183,63,64,1
184,63,65,1
185,64,65,1
186,66,67,1
187,66,68,1
188,66,69,1
189,67,68,1
190,67,69,1
191,68,69,1
192,70,71,1
193,70,72,1
194,70,73,1
195,70,74,1
196,71,72,1
197,71,73,1
198,71,74,1
199,72,73,1
200,72,74,1
201,73,74,1
202,75,9,1
203,75,76,1
204,75,77,1
205,75,7,1
206,75,78,1
207,75,79,1
208,75,80,1
209,75,13,1
210,9,76,1
211,9,77,1
212,9,7,1
213,9,78,1
214,9,79,1
215,9,80,1
216,9,13,1
217,76,77,1
218,76,7,1
219,76,78,1
220,76,79,1
221,76,80,1
222,76,13,1
223,77,7,1
224,77,78,1
225,77,79,1
226,77,80,1
227,77,13,1
228,7,78,1
229,7,79,1
230,7,80,1
231,7,13,1
232,78,79,1
233,78,80,1
234,78,13,1
235,79,80,1
236,79,13,1
237,80,13,1
238,81,82,1
239,81,83,1
240,81,84,1
241,81,85,1
242,81,86,1
243,82,83,1
244,82,84,1
245,82,85,1
246,82,86,1
247,83,84,1
248,83,85,1
249,83,86,1
250,84,85,1
251,84,86,1
252,85,86,1
253,87,88,1
254,87,89,1
255,87,90,1
256,87,69,1
257,87,91,1
258,87,92,1
259,88,89,1
260,88,90,1
261,88,69,1
262,88,91,1
263,88,92,1
264,89,90,1
265,89,69,1
266,89,91,2
267,89,92,2
268,90,69,1
269,90,91,1
270,90,92,1
271,69,91,1
272,69,92,1
273,91,92,2
274,93,94,1
275,93,95,1
276,93,96,1
277,93,97,1
278,94,95,1
279,94,96,1
280,94,97,1
281,95,96,1
282,95,97,1
283,96,97,1
284,98,99,1
285,98,100,1
286,98,101,1
287,98,102,1
288,98,103,1
289,99,100,1
290,99,101,1
291,99,102,1
292,99,103,1
293,100,101,1
294,100,102,1
295,100,103,1
296,101,102,1
297,101,103,1
298,102,103,1
299,104,105,1
300,104,106,1
301,104,107,1
302,104,108,1
303,104,109,1
304,104,110,1
305,104,111,1
306,104,112,1
307,104,113,1
308,104,114,1
309,104,115,1
310,105,106,2
311,105,107,2
312,105,108,2
313,105,109,2
314,105,110,2
315,105,111,2
316,105,112,2
317,105,113,2
318,105,114,2
319,105,115,2
320,106,107,2
321,106,108,2
322,106,109,2
323,106,110,2
324,106,111,2
325,106,112,2
326,106,113,2
327,106,114,2
328,106,115,2
329,107,108,2
330,107,109,2
331,107,110,2
332,107,111,2
333,107,112,2
334,107,113,2
335,107,114,2
336,107,115,2
337,108,109,2
338,108,110,2
339,108,111,2
340,108,112,2
341,108,113,2
342,108,114,2
343,108,115,2
344,109,110,2
345,109,111,2
346,109,112,2
347,109,113,2
348,109,114,2
349,109,115,2
350,110,111,2
351,110,112,2
352,110,113,2
353,110,114,2
354,110,115,2
355,111,112,2
356,111,113,2
357,111,114,2
358,111,115,2
359,112,113,2
360,112,114,2
361,112,115,2
362,113,114,2
363,113,115,2
364,114,115,2
365,116,117,1
366,116,118,1
367,116,119,1
368,117,118,1
369,117,119,1
370,118,119,1
371,120,89,1
372,120,91,1
373,120,121,1
374,120,122,1
375,120,92,1
376,120,93,1
377,89,121,1
378,89,122,1
379,89,93,1
380,91,121,1
381,91,122,1
382,91,93,1
383,121,122,1
384,121,92,1
385,121,93,1
386,122,92,1
387,122,93,1
388,92,93,1
389,123,124,1
390,123,125,1
391,123,126,1
392,124,125,1
393,124,126,1
394,125,126,1
395,105,116,1
396,106,116,1
397,107,116,1
398,108,116,1
399,109,116,1
400,110,116,1
401,111,116,1
402,112,116,1
403,113,116,1
404,114,116,1
405,115,116,1
406,129,130,1
407,129,131,1
408,129,132,1
409,129,133,1
410,129,134,1
411,129,135,1
412,130,131,1
413,130,132,1
414,130,133,1
415,130,134,1
416,130,135,1
417,131,132,1
418,131,133,1
419,131,134,1
420,131,135,1
421,132,133,2
422,132,134,1
423,132,135,1
424,133,134,1
425,133,135,1
426,134,135,1
427,136,137,1
428,136,138,1
429,136,139,1
430,137,138,1
431,137,139,1
432,138,139,1
433,140,141,1
434,140,142,1
435,140,143,1
436,140,144,1
437,140,145,1
438,140,146,1
439,140,147,1
440,141,142,1
441,141,143,1
442,141,144,1
443,141,145,1
444,141,146,1
445,141,147,1
446,142,143,1
447,142,144,1
448,142,145,1
449,142,146,1
450,142,147,1
451,143,144,1
452,143,145,1
453,143,146,1
454,143,147,1
455,144,145,1
456,144,146,1
457,144,147,1
458,145,146,1
459,145,147,1
460,146,147,1
461,148,149,1
462,148,150,1
463,148,151,1
464,148,152,1
465,148,153,1
466,148,154,1
467,148,155,1
468,148,156,1
469,148,157,1
470,148,158,1
471,149,150,1
472,149,151,1
473,149,152,1
474,149,153,1
475,149,154,1
476,149,155,1
477,149,156,1
478,149,157,1
479,149,158,1
480,150,151,1
481,150,152,1
482,150,153,1
483,150,154,1
484,150,155,1
485,150,156,1
486,150,157,1
487,150,158,1
488,151,152,1
489,151,153,1
490,151,154,1
491,151,155,1
492,151,156,1
493,151,157,1
494,151,158,1
495,152,153,1
496,152,154,1
497,152,155,1
498,152,156,1
499,152,157,1
500,152,158,1
501,153,154,1
502,153,155,1
503,153,156,1
504,153,157,1
505,153,158,1
506,154,155,1
507,154,156,1
508,154,157,1
509,154,158,1
510,155,156,1
511,155,157,1
512,155,158,1
513,156,157,1
514,156,158,1
515,157,158,1
516,159,160,1
517,159,161,1
518,159,162,1
519,159,163,1
520,159,164,1
521,159,165,1
522,160,161,1
523,160,162,1
524,160,163,1
525,160,164,1
526,160,165,1
527,161,162,1
528,161,163,1
529,161,164,1
530,161,165,1
531,162,163,1
532,162,164,1
533,162,165,1
534,163,164,1
535,163,165,1
536,164,165,1
537,166,167,1
538,166,168,1
539,166,169,1
540,166,170,1
541,166,171,1
542,166,148,1
543,167,168,1
544,167,169,1
545,167,170,1
546,167,171,1
547,167,148,1
548,168,169,1
549,168,170,1
550,168,171,1
551,168,148,1
552,169,170,1
553,169,171,1
554,169,148,1
555,170,171,1
556,170,148,1
557,171,148,1
558,172,173,1
559,172,174,1
560,172,175,1
561,172,176,1
562,172,177,1
563,172,178,1
564,172,179,1
565,172,180,1
566,172,181,1
567,172,182,1
568,172,183,1
569,173,174,1
570,173,175,1
571,173,176,1
572,173,177,1
573,173,178,1
574,173,179,1
575,173,180,1
576,173,181,1
577,173,182,1
578,173,183,1
579,174,175,1
580,174,176,1
581,174,177,1
582,174,178,1
583,174,179,1
584,174,180,1
585,174,181,1
586,174,182,1
587,174,183,1
588,175,176,1
589,175,177,1
590,175,178,1
591,175,179,1
592,175,180,1
593,175,181,1
594,175,182,1
595,175,183,1
596,176,177,1
597,176,178,1
598,176,179,1
599,176,180,1
600,176,181,1
601,176,182,1
602,176,183,1
603,177,178,1
604,177,179,1
605,177,180,1
606,177,181,1
607,177,182,1
608,177,183,1
609,178,179,1
610,178,180,1
611,178,181,1
612,178,182,1
613,178,183,1
614,179,180,1
615,179,181,1
616,179,182,1
617,179,183,1
618,180,181,1
619,180,182,1
620,180,183,1
621,181,182,1
622,181,183,1
623,182,183,1
624,184,185,1
625,184,186,1
626,184,187,1
627,184,188,1
628,185,186,1
629,185,187,1
630,185,188,1
631,186,187,1
632,186,188,1
633,187,188,1
634,189,190,1
635,189,191,1
636,189,192,1
637,189,193,1
638,189,194,1
639,189,195,1
640,190,191,1
641,190,192,1
642,190,193,1
643,190,194,1
644,190,195,1
645,191,192,1
646,191,193,1
647,191,194,1
648,191,195,1
649,192,193,1
650,192,194,1
651,192,195,1
652,193,194,1
653,193,195,1
654,194,195,1
655,196,197,1
656,196,198,1
657,196,199,1
658,196,200,1
659,196,148,1
660,197,198,1
661,197,199,1
662,197,200,1
663,197,148,1
664,198,199,1
665,198,200,1
666,198,148,1
667,199,200,1
668,199,148,1
669,200,148,1
670,201,202,1
671,201,203,1
672,201,204,1
673,202,203,1
674,202,204,1
675,203,204,1
676,205,206,1
677,205,207,1
678,205,208,1
679,205,209,1
680,205,210,1
681,205,211,1
682,206,207,1
683,206,208,1
684,206,209,1
685,206,210,1
686,206,211,1
687,207,208,1
688,207,209,1
689,207,210,1
690,207,211,1
691,208,209,1
692,208,210,1
693,208,211,1
694,209,210,1
695,209,211,1
696,210,211,1
697,212,213,1
698,212,214,1
699,212,215,1
700,212,216,1
701,213,214,1
702,213,215,1
703,213,216,1
704,214,215,1
705,214,216,1
706,215,216,1
707,217,218,1
708,217,132,1
709,217,133,1
710,217,219,1
711,217,220,1
712,217,136,1
713,218,132,1
714,218,133,1
715,218,219,1
716,218,220,1
717,218,136,1
718,132,219,1
719,132,220,1
720,132,136,1
721,133,219,1
722,133,220,1
723,133,136,1
724,219,220,1
725,219,136,1
726,220,136,1
727,221,222,1
728,221,223,1
729,221,224,1
730,221,225,1
731,222,223,1
732,222,224,1
733,222,225,1
734,223,224,1
735,223,225,1
736,224,225,1
737,226,227,1
738,226,228,1
739,226,229,1
740,226,230,1
741,226,231,1
742,226,232,1
743,227,228,1
744,227,229,1
745,227,230,1
746,227,231,1
747,227,232,1
748,228,229,1
749,228,230,1
750,228,231,1
751,228,232,1
752,229,230,1
753,229,231,1
754,229,232,1
755,230,231,1
756,230,232,1
757,231,232,1
758,233,234,1
759,233,235,1
760,233,236,1
761,233,237,1
762,233,238,1
763,233,239,1
764,233,240,1
765,234,235,1
766,234,236,1
767,234,237,1
768,234,238,1
769,234,239,1
770,234,240,1
771,235,236,1
772,235,237,1
773,235,238,1
774,235,239,1
775,235,240,1
776,236,237,1
777,236,238,1
778,236,239,1
779,236,240,1
780,237,238,1
781,237,239,1
782,237,240,1
783,238,239,1
784,238,240,1
785,239,240,1
786,241,242,1
787,241,243,1
788,241,244,1
789,241,245,1
790,242,243,1
791,242,244,1
792,242,245,1
793,243,244,1
794,243,245,1
795,244,245,1
796,246,139,1
797,246,140,1
798,139,140,1
799,247,248,1
800,247,249,1
801,247,250,1
802,248,249,1
803,248,250,1
804,249,250,1
805,251,252,1
806,251,253,1
807,251,254,1
808,251,255,1
809,252,253,1
810,252,254,1
811,252,255,1
812,253,254,1
813,253,255,1
814,254,255,1
815,256,257,1
816,256,258,1
817,256,259,1
818,257,258,1
819,257,259,1
820,258,259,1
821,260,207,1
822,260,261,1
823,260,212,1
824,260,262,1
825,207,261,1
826,207,212,1
827,207,262,1
828,261,212,1
829,261,262,1
830,212,262,1
831,263,264,1
832,263,265,1
833,263,266,1
834,263,267,1
835,263,268,1
836,264,265,1
837,264,266,1
838,264,267,1
839,264,268,1
840,265,266,1
841,265,267,1
842,265,268,1
843,266,267,1
844,266,268,1
845,267,268,1
846,269,270,1
847,269,271,1
848,269,272,1
849,270,271,1
850,270,272,1
851,271,272,1
