,id,type,name,link,count
0,1,1,"Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions",https://ieeexplore.ieee.org/document/9671686/,1
1,2,2,Alfredo Cuzzocrea,https://ieeexplore.ieee.org/author/37282811300,28
2,3,2,Ernesto Damiani,https://ieeexplore.ieee.org/author/37271667500,11
3,4,1,"Big Data: Challenges, practices and technologies: NIST Big Data Public Working Group workshop at IEEE Big Data 2014",https://ieeexplore.ieee.org/document/7004470/,1
4,5,2,Nancy W. Grady,https://ieeexplore.ieee.org/author/37085469341,4
5,6,2,Mark Underwood,https://ieeexplore.ieee.org/author/37085470952,1
6,7,2,Arnab Roy,https://ieeexplore.ieee.org/author/37085473697,1
7,8,2,Wo Chang,https://ieeexplore.ieee.org/author/37436705400,1
8,9,1,"Big Data Lakes: Models, Frameworks, and Techniques",https://ieeexplore.ieee.org/document/9373107/,1
9,10,1,Big OLAP Data Cube Compression Algorithms in Column-Oriented Cloud/Edge Data Infrastructures,https://ieeexplore.ieee.org/document/10411769/,1
