,from,to,count
0,1,2,1
1,3,4,1
2,5,6,1
3,9,2,1
4,11,12,1
5,16,17,1
6,16,18,1
7,17,18,1
8,20,21,1
9,20,22,1
10,20,23,1
11,20,24,1
12,21,22,8
13,21,23,8
14,21,24,8
15,22,23,8
16,22,24,8
17,23,24,8
18,26,21,1
19,26,22,1
20,26,23,1
21,26,24,1
22,29,30,1
23,29,31,1
24,30,31,1
25,33,34,1
26,33,35,1
27,34,35,1
28,36,37,1
29,39,40,1
30,44,45,1
31,47,48,1
32,49,50,1
33,49,51,1
34,50,51,1
35,52,53,1
36,55,56,1
37,59,60,1
38,59,61,1
39,59,62,1
40,60,61,1
41,60,62,1
42,61,62,1
43,63,64,1
44,63,65,1
45,64,65,1
46,66,67,1
47,66,68,1
48,67,68,2
49,69,70,1
50,69,71,1
51,70,71,1
52,76,77,1
53,76,78,1
54,76,79,1
55,77,78,1
56,77,79,1
57,78,79,1
58,81,82,1
59,83,84,1
60,83,85,1
61,84,85,1
62,86,21,1
63,86,22,1
64,86,23,1
65,86,24,1
66,87,21,1
67,87,22,1
68,87,23,1
69,87,24,1
70,88,89,1
71,88,90,1
72,89,90,1
73,93,94,1
74,93,95,1
75,94,95,1
76,96,97,1
77,96,98,1
78,97,98,1
79,104,105,1
80,107,108,1
81,109,110,1
82,111,112,1
83,116,117,1
84,120,121,1
85,123,124,1
86,123,125,1
87,124,125,1
88,126,127,1
89,128,129,1
90,128,130,1
91,128,131,1
92,129,130,1
93,129,131,1
94,130,131,1
95,132,133,1
96,138,139,1
97,141,142,1
98,141,143,1
99,142,143,1
100,148,149,1
101,150,151,1
102,153,154,1
103,156,157,1
104,156,158,1
105,156,159,1
106,157,158,1
107,157,159,1
108,158,159,1
109,161,162,1
110,163,164,1
111,163,165,1
112,163,166,1
113,163,167,1
114,164,165,1
115,164,166,1
116,164,167,1
117,165,166,1
118,165,167,1
119,166,167,1
120,169,170,1
121,173,56,1
122,175,176,1
123,175,177,1
124,176,177,1
125,180,181,1
126,180,182,1
127,181,182,1
128,184,185,1
129,186,187,1
130,186,188,1
131,187,188,2
132,194,195,1
133,194,196,1
134,195,196,1
135,199,131,1
136,199,130,1
137,131,130,1
138,202,203,1
139,205,206,1
140,205,207,1
141,206,207,1
142,208,209,1
143,212,213,1
144,212,214,1
145,212,215,1
146,213,214,1
147,213,215,1
148,214,215,1
149,216,217,1
150,218,217,1
151,218,219,1
152,217,219,1
