,id,type,name,link,count
0,22,2,Gagangeet Singh Aujla,profile/Gagangeet-Aujla,9.0
1,21,2,Ümit Demirbaga,profile/Uemit-Demirbaga,8.0
2,23,2,Anish Jindal,profile/Anish-Jindal-2,8.0
3,24,2,Oguzhan Kalyon,profile/Oguzhan-Kalyon,8.0
4,188,2,Amir Masoud Rahmani,profile/Amir-Rahmani-3,3.0
5,366,2,Nicolae Sfetcu,profile/Nicolae-Sfetcu,3.0
6,2,2,Zhaohao Sun,profile/Zhaohao-Sun,2.0
7,40,2,Chandradeep Bhatt,profile/Chandradeep-Bhatt,2.0
8,56,2,Murali Krishna Pasupuleti,profile/Murali-Pasupuleti-2,2.0
9,67,2,Matthew Willetts,profile/Matthew-Willetts-2,2.0
10,68,2,Anthony S. Atkins,profile/Anthony-Atkins-3,2.0
11,97,2,Ajay Kumar Badhan,profile/Ajay-Badhan-2,2.0
12,117,2,David Mhlanga,profile/David-Mhlanga-2,2.0
13,127,2,Zihad Hasan Joy,profile/Zihad-Hasan-Joy,2.0
14,130,2,Jiabao Cao,profile/Jiabao-Cao,2.0
15,131,2,Feng Gao,profile/Feng-Gao-76,2.0
16,187,2,Atefeh Hemmati,profile/Atefeh-Hemmati-2,2.0
17,214,2,Abdul-Mumin Khalid,profile/Abdul-Mumin-Khalid,2.0
18,217,2,Kaushal Kishor,profile/Kaushal-Kishor-4,2.0
19,378,2,Darlington Eze Ekechukwu,profile/Darlington-Ekechukwu,2.0
20,1021,2,,profile/Gavin-Finnie,
21,1022,1,,https://www.researchgate.net/publication/222652154_Case_base_building_with_similarity_relations,
22,1023,2,,profile/Klaus-Weber-15,
23,1024,1,,https://www.researchgate.net/publication/309035353_A_Mathematical_Foundation_of_Big_Data,
24,1025,1,,https://www.researchgate.net/publication/309389413_Big_Data_Analytics_Services_for_Enhancing_Business_Intelligence,
25,1026,1,,https://www.researchgate.net/publication/379917646_Big_Data_40_Meta4_Big_Data_The_Era_of_Big_Intelligence,
26,1027,1,,https://www.researchgate.net/publication/379920138_Data_analytics_and_Intelligence_A_Unified_Approach,
27,1028,1,,https://www.researchgate.net/publication/377196858_Big_Data_40_The_Era_of_Big_Intelligence,
28,1029,1,,https://www.researchgate.net/publication/376614379_Data_analytics_intelligence,
29,1030,1,,https://www.researchgate.net/publication/371447175_Similarity_Intelligence_Similarity_Based_Reasoning_Computing_and_Analytics,
30,1031,1,,https://www.researchgate.net/publication/368802510_Enhancing_Airport_Business_Services_Using_Big_Data_Analytics,
31,1032,2,,profile/Desmond-Narongou,
32,1033,1,,https://www.researchgate.net/publication/368804217_Big_Data-Driven_Socioeconomic_Development_An_Interdisciplinary_Approach,
33,1034,1,,https://www.researchgate.net/publication/366275207_A_Service-Oriented_Foundation_for_Big_Data,
34,1035,1,,https://www.researchgate.net/publication/364965479_ERP_Staff_versus_AI_recruitment_with_employment_real-time_big_data,
