,from,to,count
0,0,1,1
1,2,3,1
2,2,4,1
3,2,5,1
4,2,6,1
5,3,4,1
6,3,5,1
7,3,6,1
8,4,5,1
9,4,6,1
10,5,6,1
11,7,8,1
12,7,9,1
13,8,9,1
14,14,2,1
15,18,19,1
16,20,21,1
17,24,25,1
18,24,26,1
19,24,27,1
20,24,28,1
21,25,26,1
22,25,27,1
23,25,28,1
24,26,27,4
25,26,28,4
26,27,28,4
27,29,30,1
28,29,31,1
29,30,31,1
30,32,26,1
31,32,27,1
32,32,28,1
33,32,29,1
34,26,29,3
35,27,29,3
36,28,29,3
37,34,35,1
38,36,37,1
39,36,38,1
40,36,39,1
41,37,38,1
42,37,39,1
43,38,39,1
44,40,41,1
45,43,44,1
46,45,46,1
47,47,48,1
48,47,49,1
49,48,49,1
50,50,51,1
51,50,52,1
52,51,52,1
53,53,54,1
54,57,58,1
55,59,60,1
56,59,61,1
57,60,61,1
58,63,64,1
59,65,66,1
60,69,70,1
61,69,71,1
62,70,71,1
63,73,74,1
64,73,75,1
65,74,75,1
66,77,78,1
67,80,81,1
68,82,83,1
69,82,10,1
70,82,84,1
71,83,10,1
72,83,84,1
73,10,84,1
74,85,86,1
75,85,87,1
76,86,87,1
77,88,89,1
78,92,93,1
79,94,95,1
80,94,96,1
81,95,96,1
82,97,26,1
83,97,27,1
84,97,28,1
85,97,29,1
86,98,26,1
87,98,27,1
88,98,28,1
89,98,29,1
90,99,100,1
91,99,101,1
92,100,101,1
93,102,103,1
94,102,104,1
95,103,104,1
96,106,107,1
97,111,112,1
98,113,114,1
99,118,119,1
100,120,121,1
101,125,126,1
102,125,127,1
103,126,127,1
104,128,129,1
105,128,130,1
106,128,131,1
107,129,130,1
108,129,131,1
109,130,131,1
110,132,133,1
111,135,136,1
112,135,137,1
113,136,137,1
114,138,139,1
115,140,141,1
116,140,142,1
117,141,142,1
118,143,144,1
119,149,150,1
120,151,152,1
121,153,154,1
122,153,155,1
123,153,156,1
124,154,155,1
125,154,156,1
126,155,156,1
127,157,158,1
