,id,type,name,link,count
0,1,1,Big Data 4.0 = Meta4 (Big Data) = The Era of Big Intelligence,publication/379917646_Big_Data_40_Meta4_Big_Data_The_Era_of_Big_Intelligence?_sg=vumWMddxMpusjm6jNDcTIT9e1t-2ItGEpIjlL0Jl0uoMl0MYC5wAUg2VYC-m1RmJmsg1xjd3N2KmoUw,1
1,2,2,Zhaohao Sun,profile/Zhaohao-Sun,2
2,3,1,Big Data Analytics and Culture:,publication/380872924_Big_Data_Analytics_and_Culture?_sg=U0SaFH3WVtZfaqshp8fONoa0ilCOjRiYcoeNNlPWz8S46SRn2ItDMLlCMlB9a3oGH9RanxVGpYbDjBY,1
3,4,1,The Impact of Big Data and Big Data Analytics on Audit Process and Audit Fees: Evidence from a Developing Country,publication/381040678_The_Impact_of_Big_Data_and_Big_Data_Analytics_on_Audit_Process_and_Audit_Fees_Evidence_from_a_Developing_Country?_sg=VAZWPEmSJ67OSXOQPZYhkPB00p9SA_MgvK9MkBjQopC0-xbkSpw0_0B9yepe-pPyA6oGRjTFwxFE7Gc,1
4,5,2,Ahmed Saad Abdelwahed,profile/Ahmed-Abdelwahed-11,1
5,6,2,Ahmad A. Abu-Musa,profile/Ahmad-Abu-Musa-3,1
6,7,2,Hosam Moubarak,profile/Hosam-Moubarak,1
7,8,2,Hebatallah Abd El Salam Badawy,profile/Hebatallah-Badawy,1
8,9,1,Essentials of Big Data Security Introduction to Big Data Security,publication/379054076_Essentials_of_Big_Data_Security_Introduction_to_Big_Data_Security?_sg=vKH4zFv81UagCPlcjsReb9wlP1GgMdJWbIR8DWSv36CWkY0kS9FrqayGEqoHvJ9AHE7sdxDHudTt8BU,1
9,10,2,Yinusa Olatunde Bamimore,profile/Yinusa-Bamimore,1
10,11,2,Ayorinde Oduroye,profile/Ayorinde-Oduroye-2,2
11,12,1,BIG DATA GOVERNANCE AND INNOVATION PERFORMANCE: THE MEDIATING ROLE OF BIG DATA ANALYTIC CAPABILITIES AND ORGANISATIONAL AGILITY,publication/381020866_BIG_DATA_GOVERNANCE_AND_INNOVATION_PERFORMANCE_THE_MEDIATING_ROLE_OF_BIG_DATA_ANALYTIC_CAPABILITIES_AND_ORGANISATIONAL_AGILITY?_sg=WdRGgNJbBQF9rvKV5PHA2YBH1a3LPadmoPyu1P9k8gXy_lnvY2ThygZPq8FQnCHEkkkEBgxx2OEjhaY,1
12,13,2,Farzana Asad Mir,profile/Farzana-Mir,1
13,14,1,Big Data Analytics,publication/380207356_Big_Data_Analytics?_sg=yZIXll36M8K5JrsL1xxAyyg6v1-O9m9Bx-K-fOg3kGbMerYZbgmslfk74AIt8rmCuzM16fecB4ZT0Q8,1
14,15,1,Big Data and Product Lifecycle Management,publication/380014972_Big_Data_and_Product_Lifecycle_Management?_sg=y9jJukiPOajkI4lo8NeZJ7XcKlNneAk8iFrPkwyyzdHyY5eXaJ0WW3kF8XCkMS2zGYX8Z3gKZKA2aL8,1
15,16,1,Big Data and Cloud Computing,publication/379180286_Big_Data_and_Cloud_Computing?_sg=vR_ZAW3Rce6K2xK1J7GJQIzrUkYCQv1DMEYLjYcnUJJxQ1e8ui4xJeQQPbQ7uYWTeLjciPXOZm-WXMc,1
16,17,1,Big Data 4.0: The Era of Big Intelligence,publication/377196858_Big_Data_40_The_Era_of_Big_Intelligence?_sg=cWDPtBJE8Rr2yiqkiHRCzyZugum70JJ3Joa2GqaR8UlXjYi0tUf_0ykCwYqBcUhZUfdtkWHYTZwwpto,1
17,18,1,Big Data : Analysis,publication/377514927_Big_Data_Analysis?_sg=_cCKLSWuwHNejGFdazsZyfvWPsYcSh3eJKsLKLpNkG5btdXcb9FvWjJlDaLOHLi2FBLhDlAnEYZtbvM,1
18,19,1,Leveraging Big Data Analytics for Enhanced Healthcare,publication/381231980_Leveraging_Big_Data_Analytics_for_Enhanced_Healthcare?_sg=8xx0DOZjeeSSYp5fHl_mLi95FmeCT4POwrUfZw6JvxE3Lt0mi7U-h45DXaZaECsMhqGbgwo7IDhC7sg,1
19,20,2,Elzana Dupljak,profile/Elzana-Dupljak,1
20,21,1,From Data to Success: The Role of Interactive Support in Big Data Learning Outcomes,publication/381262865_From_Data_to_Success_The_Role_of_Interactive_Support_in_Big_Data_Learning_Outcomes?_sg=QTzV5cA50sXPlHoLp9UvcBfAaEAGG0c-Ae-po01I-46RfaQzl6TXieAEO0ZimaJxXWD2k98qnqn5IBs,1
21,22,1,Big Data Cannot Replace Entrepreneurs,publication/380288598_Big_Data_Cannot_Replace_Entrepreneurs?_sg=3JSs-ytQj-gFYy6vNwesODWOHh80CjUIQHGNAX9t4m2Oo19uA8IOh9hKqv2lw8o8zGSi_JB34W3ZGgY,1
22,23,1,Big Data Analytics: Future of Database,publication/380207135_Big_Data_Analytics_Future_of_Database?_sg=b36DDXy4ktad1kKQvHSKVWRDUBTth2PtuxMnPZRa7hbvdO5kWdmwh3dP8KSOYwjCgQoiBbFyPzVmaWU,1
23,24,1,ANALYSIS OF CLOUD COMPUTING TECHNIQUES FOR BIG DATA,publication/380214930_ANALYSIS_OF_CLOUD_COMPUTING_TECHNIQUES_FOR_BIG_DATA?_sg=lgKJCBWFc1DzAZhGZwzWeyP6LHjV7g7fd4p9dlI3c9CmUxqNuZ9dX5f01wVZpttedRj45NVkDvdOKxA,1
24,25,2,Ali Mir Arif Mir Asif,profile/Ali-Mir-Asif,1
25,26,1,Pemanfaatan Big Data dalam Meningkatkan Keputusan Manajemen,publication/381044162_Pemanfaatan_Big_Data_dalam_Meningkatkan_Keputusan_Manajemen?_sg=CQ2ajyKzNO4WYR3CXP-qGzrGAKcDF2ZC4PBCGvbcsYaTTsvcL7QxFne2kwu9096JqSj8n5EqGi0C8n0,1
26,27,2,Gina Putri Larasaty,profile/Gina-Larasaty-2,1
27,28,1,ESSENCE OF BIG DATA,publication/380231434_ESSENCE_OF_BIG_DATA?_sg=694VSRzA7r0t1_feokGdvCQNKaQmu0_J4r91qL9OQjD-ru3TllAmPCFj3tQ-KQ5NDd0p4MVrm5t3hMY,1
28,29,1,Privacy Challenges and Solutions in Big Data Analytics: A Comprehensive Review,publication/381030198_Privacy_Challenges_and_Solutions_in_Big_Data_Analytics_A_Comprehensive_Review?_sg=8TvOdNtHG-1OILfT1FMBtGYirDDLFkYNkyxwljzOfeZf_zyqnNqre5ZfDkmGIZRSKbeAxOOyRlIpXNo,1
29,30,1,Debugging Big Data Systems for Big Data Analytics,publication/380393575_Debugging_Big_Data_Systems_for_Big_Data_Analytics?_sg=WnbGOeG5d4xT2Q0KiRYUD20Kjtd81HQTshpQw0Wy4sVBPsAC6AQ00ieTMkkuryoglB6A3svX_8gSqEQ,1
30,31,2,Ümit Demirbaga,profile/Uemit-Demirbaga,5
31,32,2,Gagangeet Singh Aujla,profile/Gagangeet-Aujla,5
32,33,2,Anish Jindal,profile/Anish-Jindal-2,5
33,34,2,Oguzhan Kalyon,profile/Oguzhan-Kalyon,5
34,35,1,Big Data,publication/380393404_Big_Data?_sg=T9V02X6XGfi7mf57ZniLx7G1evZ3jd8UYo1RsxOfwloWnRP4XYhNBXsSbcf3eqDi8uh2aEMapF0FlWY,1
35,36,1,The Big Data Workshop in Africa,publication/378511998_The_Big_Data_Workshop_in_Africa?_sg=PHoEQTZU10YUOBiFluI9G2d_H2TAbtUAYaw4w24Mvl6sM8h-dVno6fP50mr-WTDChIvkbMB6v_d1dhg,1
36,37,1,15 years of Big Data: a systematic literature review,publication/380573456_15_years_of_Big_Data_a_systematic_literature_review?_sg=ING9AyNba583Q4K7QAH0xauhLA-QavNNeoaQE_pGZklduMvB2TbGWzLeP6I8DbtAXj2k5gWg794rwT0,1
37,38,2,Davide Tosi,profile/Davide-Tosi,1
38,39,2,Marco Roccetti,profile/Marco-Roccetti,1
39,40,1,Innovative digital services for working with big data,publication/381184088_Innovative_digital_services_for_working_with_big_data?_sg=KSEZzUxom0od8RV8Lhm0-VMD00LiJRLE-9UJBiYvFQeWPxkxnSjD90w5vntupxO9gYY7j3NWTUgXgXU,1
40,41,1,Big data and HR,publication/377781181_Big_data_and_HR?_sg=V-taWzlmhg8Q8ecMcJwvo0SVAcgcSzr900jj1iG8b6h645xZXGnKTml3CwdX7vPXe7FWPIhDacXzIeM,1
41,42,2,Srividya Nadindla,profile/Srividya-Nadindla,1
42,43,1,Impact of Big Data Analytics on Firm Financial Performances: Big Data is not Always Better Data,publication/377955791_Impact_of_Big_Data_Analytics_on_Firm_Financial_Performances_Big_Data_is_not_Always_Better_Data?_sg=EpMDQELe63Z8pnd4xb44EpyOQ8F37nzMd8YudPz52P8AqEs9RSIslOO9NdxDts8y-kNcj5FIKLd0UP0,1
43,44,2,Malsha Hansani,profile/Malsha-Hansani,1
44,45,2,Himashi Ravihari Dissanayaka,profile/Himashi-Dissanayaka,1
45,46,2,Lakmini Walakumbura,profile/Lakmini-Walakumbura,1
46,47,1,Developing a big data analytics platform using Apache Hadoop Ecosystem for delivering big data services in libraries,publication/378394286_Developing_a_big_data_analytics_platform_using_Apache_Hadoop_Ecosystem_for_delivering_big_data_services_in_libraries?_sg=-2f_3Tw5r4-FevNNpBOVc0gl7j76_BRtJ-A96c_VETqQV5MnEwBnMLxaxcvwBdntARhW3pPuieevvX8,1
47,48,2,Ranjeet Kumar Singh,profile/Ranjeet-Kumar-Singh-3,2
48,49,1,On the use of big data frameworks in big service management,publication/376182291_On_the_use_of_big_data_frameworks_in_big_service_management?_sg=uLS6TbpZ498qDQR7WdbGSXZwK2L8rFmaZa9spmI6X7hQJYFvpzLv1K4hNqg_vjMJ93xgWcU875W0LIQ,1
49,50,2,Fedia Ghedass,profile/Fedia-Ghedass,1
