,id,type,link
0,1,1,publication/379917646_Big_Data_40_Meta4_Big_Data_The_Era_of_Big_Intelligence?_sg=zsktbcJzD-7Snq4iZt_bhK066SUqVvqphqNS2NK3_gqug7SUfv4Pa3GtxX8-yeX_IEFrecF4ifn5uJg
1,2,2,profile/Zhaohao-Sun
2,3,1,publication/381020866_BIG_DATA_GOVERNANCE_AND_INNOVATION_PERFORMANCE_THE_MEDIATING_ROLE_OF_BIG_DATA_ANALYTIC_CAPABILITIES_AND_ORGANISATIONAL_AGILITY?_sg=LTZdBOBk2irNujiZJDZnx2DSm55UZhrtxjGAKFxaRHKQ-Dfu0UaDBgXfe-fRf776iWqjhUyMT5VsKqk
3,4,2,profile/Farzana-Mir
4,5,1,publication/380207356_Big_Data_Analytics?_sg=9cM__c2z8Q5U7i5ecpdNQsDgG5DURupRvdnfbpZXPbqXGTklTzVJBjOtgi418qMK_sKDF4TZQggz_s0
5,6,2,profile/Sumit-Jadhav-5
6,7,1,publication/380014972_Big_Data_and_Product_Lifecycle_Management?_sg=TZvf_SJSKhrUvuQXr4LpRXu28DjSJr3HfNW8qmOXgvvzZj1cy5z2lxb3T1ESuIVnrOGkDB54y9yShVw
7,8,1,publication/379180286_Big_Data_and_Cloud_Computing?_sg=HbJcktWsV3CkwBMNFNttwkr1MY8H331qSBSt5En0rcfxtjU_H74m5BXN2YscGr7BgwRffhMrUc2I0Io
8,9,1,publication/377196858_Big_Data_40_The_Era_of_Big_Intelligence?_sg=-BsyfBvvkc3y7sZSLRfNZNMdTaKY6u_3yQ9p9uprQwYVxwm0Wpxx-5pHHjo8yfMcI8J3vLrT1_vGoIU
9,10,1,publication/377514927_Big_Data_Analysis?_sg=cyo0SV4Qplu5rWwxnGUuGN6WgyEwCqx4gfh6tpnRXo3kKB9W2jPCW7bicZpOdd4crQZcUJOsvmydOn8
10,11,1,publication/381262865_From_Data_to_Success_The_Role_of_Interactive_Support_in_Big_Data_Learning_Outcomes?_sg=LLIvYSqKjGQ159p-7D2X8s7dC22VO9dftQuHY1ach4NfvpNvsc-PhqYCl8k-BN2imcyN2Mm_VqoZJW0
11,12,2,profile/Sid-Terason
12,13,1,publication/380288598_Big_Data_Cannot_Replace_Entrepreneurs?_sg=NTuGOHUwvZUdycq9TTdqf8H1pXD5iAjwhf0q4twq7nKP9PFyNFZXgbAWwZ2kMlk7Y-ew5q5H7Hi6Yqg
13,14,1,publication/380207135_Big_Data_Analytics_Future_of_Database?_sg=PykZzKmFobFvTtnlyhxsEzMlVxaNrQYg-aEjwCGVd4Yn2R1zMKCQfv8PEXyh1IE8jrMfHwGbcS1L2ec
14,15,1,publication/381373895_A_guide_to_understanding_big_data_for_the_nurse_scientist_A_discursive_paper?_sg=8AASKUYRihRZWka_yDFndMZ90pQWw5b0X2SOpP-v03mnJOaEoEDLfUbYbJO7lX-mQs-XAaLqv2-HkIA
15,16,1,publication/381373487_A_systematic_data_characteristic_understanding_framework_towards_physical-sensor_big_data_challenges?_sg=ziKn_cFl878y54e53US2Mpbyf0odhgr7Ei6NrJzZNuNiTwvbhq3FuK6r5vqvmkhFU1eGXoW-RUltQIw
16,17,2,profile/Zhipeng-Ma-10
17,18,2,profile/Bo-Jorgensen-5
18,19,1,publication/380231434_ESSENCE_OF_BIG_DATA?_sg=pTDYuUHLPKwda9Syyqsll2nx3RhZjY-C2biCXUmQpgVzbraOWYhmVP0DXEb24PTCWFaUFgi0qwL8wng
19,20,1,publication/380393575_Debugging_Big_Data_Systems_for_Big_Data_Analytics?_sg=nNVCsxPNqDGqCD-F8WrXvRbpvLl0452JcjvHew1kQ1wUeaekc_THnIWy6OOjWaZV5HT4Dsw2Dy8A1T0
20,21,2,profile/Uemit-Demirbaga
21,22,2,profile/Gagangeet-Aujla
22,23,2,profile/Anish-Jindal-2
23,24,2,profile/Oguzhan-Kalyon
24,25,1,publication/381030198_Privacy_Challenges_and_Solutions_in_Big_Data_Analytics_A_Comprehensive_Review?_sg=OwkiBWKH49hP4hidbeWMoTICbwcl9tW5d2UffzzrjrAsQGvtwK3B7VLSEqFzpjxSEHKqs5CSczHhhew
25,26,1,publication/380393404_Big_Data?_sg=UAInJ6Arg9vlKujoMV_KHb7Jx5PrDi8ZZLbbb91ZnKoKeGgdFQU_sXYuRy5mQfVeHu6f3RPNXpIxea0
26,27,1,publication/378511998_The_Big_Data_Workshop_in_Africa?_sg=elzKnKf5awKzz6dwlITbK5SKyunvik-BkGp5aSv9GhxK12-VnbHo88WQ0fVtyz4nhKDkJzzLRRCKXxA
27,28,1,publication/381482858_Big_data_and_predictive_analytics_A_sytematic_review_of_applications?_sg=awEvHBcXNQPmPIxb28iGjBOESQhzorPgVLjWL4iD080dEq3cNCHq1KfB6uaNKqooZETPu0DDr3agkk0
28,29,1,publication/380573456_15_years_of_Big_Data_a_systematic_literature_review?_sg=fCBjrBByX0KpFIsu6kGK_ppehpuSNS_Q8pdFatP2LwaY01709IAB93dba_0eicc2i3sSjKqLsexf_B0
29,30,2,profile/Davide-Tosi
30,31,2,profile/Marco-Roccetti
31,32,1,publication/381184088_Innovative_digital_services_for_working_with_big_data?_sg=nbHR2W9wL3YZATVfGRD3f-Gyiz6zMOZJdyuHYw_UwiPUIlUT84PdKJ7iBlu35U-BYr3ZqcIDWyU_zY4
32,33,1,publication/376182291_On_the_use_of_big_data_frameworks_in_big_service_management?_sg=kfeCZoFL1zT1uL7UxIAo6gqXOU5gAt-PBWbrczP5P2OFBFjX5IMJCsRBi_4SBHipuTVBaXHzF1JyFxw
33,34,2,profile/Fedia-Ghedass
34,35,2,profile/Faouzi-Charrada
35,36,1,publication/378394286_Developing_a_big_data_analytics_platform_using_Apache_Hadoop_Ecosystem_for_delivering_big_data_services_in_libraries?_sg=Hcm_2mOOqQwY4npgPe1fe95K1GsEoPyZ-fota1HNnvia6b7um6l5CHHUMUphuomH8fj-FMu_zIITVb4
36,37,2,profile/Ranjeet-Kumar-Singh-3
37,38,1,publication/376549379_Attacking_Big_Data_as_a_Use_of_Force?_sg=lBke5S0hSncKnm7Ul5rRMb4TEzhlITu1pLwu8XjANItUaTFsDGGqO344luRX50lGo2QaojGMQyp2lUA
38,39,1,publication/380762706_Application_of_AI_in_Big_Data_Processing?_sg=XFu6SzttAzZXxmrOcs2xsDRZMnUaaFOlegIpNJp5r51m9YdoLENHg5gfwE8BvHohBECw5QRezn1kanE
39,40,2,profile/Chandradeep-Bhatt
40,41,1,publication/380872924_Big_Data_Analytics_and_Culture?_sg=lGgDuDefQAI781xQbJS8T0nx8di2mYLnYbPb_D_p_R1k4vd2NiFl9wr2WETqz3JI2m4NJ_q8kQ3nkfA
41,42,1,publication/381115547_Big_Data_and_Cloud_Computing_Opportunities_and_Application_Areas?_sg=KhzQ6saooUYukGf9xiM714wqcYxSt8REVCjS1vb-ScQrGxL4FWvkq1XFp9r8806jQsIu5YJa03iaSWI
42,43,1,publication/380135543_A_Systematic_Review_of_Big_Data_Driven_Education_Evaluation?_sg=I2I1AgSYx9N0XZ4vBQKHaWZ1CCv57M7aklmhWYUrFsoK6EaGY_Nc4eHmop2PPb0Ch51xSUw5sixtq2w
43,44,1,publication/380541904_Crossroads_between_Big_Data_and_entrepreneurship_current_key_trends?_sg=B9l3KukfFkQFsPrLmAji5oVBSNIwAFde2ewsLwGwbkN25JuiV1foD2IhCuVLuHOfIc1axZQlN2B4S7M
44,45,2,profile/Jose-Galdon
45,46,1,publication/380389729_Applying_Big_Data_Methods_In_Understanding_Human_Psychology?_sg=P-2gfcU07M6AEkDo0g4XCvE7xl1P83yR_1RyK-F6jUB-k9My2ZWEyrdfb7O7Ofk-zBVOgFpIdGoTHkk
46,47,1,publication/380486039_Big_Data_Analytics_for_Geospatial_Application_Using_Python?_sg=1mVtCsF_WQ68FZeSRZ745gMGBS_Oil2jJ_RwXngjChuXx9QglBoWowzwsJJtYh8dkLrwMcLetU87MN4
47,48,2,profile/Assefa-Senbeto
48,49,1,publication/379234937_Big_Earth_Data_for_Sustainable_Development?_sg=XqvE0dMIxsTrCJD4Z8qiCuNaJSFgXacHqWWCYdf7wqWaY5uzTVREjZFdVt_YUFUCje-ZscZbkg6wAIQ
49,50,2,profile/Huadong-Guo-2
50,51,2,profile/Dong-Liang-23
51,52,1,publication/381326364_Big_data_for_epidemic_preparedness_in_southeast_Asia_An_integrative_study?_sg=7Bj7ad1itcM290BIYEYdYVxkptbfTqjzsN25C8W8ubB57tYbGB-OSG0JQitaCf9TyCukf6eyB22jnsg
52,53,2,profile/Chukwudi-Maha
53,54,1,publication/380495062_Optimization_of_parallel_SVM_algorithm_for_big_data?_sg=O_--3Ac8uTG-kQM9A3INQq4vg4arKeVNNyD6ZvDnCg_s2cy9r-NPAqlkju_EdtIIFcYSHeDHWaOh95I
54,55,1,publication/379754920_Big_Datas_Revolutionary_Impact_on_Services_and_Innovation?_sg=SONs7M13GOBIK7Wsz6ghJbhhchX2ze2p9OraqH5kFxv5SwH72IUgU_XkdBhPdyIYgldzV_nXqiZUeSM
55,56,2,profile/Murali-Pasupuleti-2
56,57,1,publication/379738116_Big_Data_management_in_the_university_system?_sg=bOAH_yqjBP12MQOrtHbXVkK0KAxi2Z8f-w78Iv-U0SHMKHDonTeNh4XF3kqgAjvG3rbTyK8d3_4uAxQ
57,58,1,publication/377171315_Introduction_to_Big_Data_Analytics?_sg=cMRtC_QJNV7wBzl44r5_vUMd3okaCj_BFS3ri2Tn0npKMHz3EEggMVcbVUOnwj89CN8VpETGffNT-q0
58,59,1,publication/381041148_Smart_Data_Driven_Decision_Trees_Ensemble_Methodology_for_Imbalanced_Big_Data?_sg=AJQsJip46AlIAYLQHtWm33m-yFhyosAuKWTbDL0At91nPLaEAPkjbhxrBD7CJWAACX9qIHru-JuYNT0
59,60,2,profile/Diego-Garcia-Gil
60,61,2,profile/Salvador-Garcia-16
61,62,2,profile/N-Xiong
62,63,1,publication/377821899_A_reference_architecture_for_serverless_big_data_processing?_sg=HyOMxwK5fmogR20Gxxw_xIxZsLk8_Onbzvt8ecPSskrU2oXh0_8VV0o4y6Y_mG5P9p9n5U071D0250g
63,64,2,profile/Sebastian-Werner-17
64,65,2,profile/Stefan-Tai
65,66,1,publication/379269230_Big_Data_Analytics_Maturity_Model_for_SMEs?_sg=Z60ah2thsa_83oKtamvIJ9N5bw8GAsEPg1-5lsi1IfM602wQ_-itfhb5HVH4XojcYIAPssFmBpePHOI
66,67,2,profile/Matthew-Willetts-2
67,68,2,profile/Anthony-Atkins-3
68,69,1,publication/381359735_Big_Data_Behind_Recommender_Systems?_sg=eGEEYAHyUgNR7CTiphovg5RgbVxatgBRMeSjJIGbqt3bElMORpFwgHoMKRVj91An-rgkVsH_pkjaqjc
69,70,2,profile/Pushpendu-Kar
70,71,2,profile/Monideepa-Roy-2
71,72,1,publication/381301669_Structuration_theory_perspective_of_Big_Data_in_a_typical_South_African_municipality?_sg=d2g4ZekJKXKmW9a0P8YOPtPrb3deP2iyyk9BhZ3z9Q5_TTIFSDsiyXqqZf-Z7voWwsV1ghFgx2pSHKI
72,73,1,publication/381102383_Application_of_Big_Data_and_Analytics_to_Increase_Competitive_Advantage?_sg=rHAQVbNNNRmILZ55gn5z65awELbpHSuWdbsZm39kYQ-OJ5wqm-GvDLilX5xt8cBhP6elvu1LkyY0nzs
73,74,1,publication/378484029_PREDICTIVE_ANALYTICS_ON_BIG_DATA?_sg=s7Xkreux539Js1bOdXRlAXVLiZiv_LvAdj-d6cGPYWeqnHeB9CnSPT6Hq1f2ab13T44MdicpUvBYiig
74,75,1,publication/381175741_Leveraging_Big_Data_Analytics_for_Personalized_Marketing_Strategies_in_the_Hospitality_Sector?_sg=qe2IzGdJ2l6zDFdmYQ5bKeb4FJT7QSf980caKdToAtlFhW_J7zlzCFcBpM3qJNgTBT_hi_U2qAGDBgk
75,76,1,publication/378498296_DATA_SECURITY_IN_BIG_DATA_CHALLENGES_STRATEGIES_AND_FUTURE_TRENDS?_sg=QhGaNpdVwELMG5753b2ELDopXqdxafo39-KxKjk0Ne9GtPOc80bxq-REN5eaDEzaTKeQ_PKeyO4bnRQ
76,77,2,profile/Adeola-Adenubi
77,78,2,profile/Ayorinde-Oduroye-2
78,79,2,profile/Adeniyi-Akanni
79,80,1,publication/379908459_Research_on_Legal_Issues_of_Big_Data_Discriminatory_Pricing?_sg=bITu_c0QE3sA8DagZfkc52mPtrF2xy5RYwYFWwCEXDrernz3REOlC6-xEufRY6kAlch3jn_bgrOwZK0
