,ner_id,link,name,orcid,email,affiliation
0,2,/author/37089469481,Hang Chen,https://orcid.org/0000-0002-0904-8946,," University of Science and Technology of China  Hefei, China"
1,3,/author/37089778067,Qing Wang,https://orcid.org/0000-0003-3843-3920,," University of Science and Technology of China  Hefei, China"
2,4,/author/37649186400,Jun Du,https://orcid.org/0000-0002-2387-0389,," University of Science and Technology of China  Hefei, China"
3,5,/author/37268507700,Baocai Yin,https://orcid.org/0000-0002-4164-6647,," Beijing Key Laboratory of Multimedia and Intelligent Software Technology  Beijing University of Technology, Beijing, China"
4,6,/author/38546958600,Jia Pan,https://orcid.org/0000-0002-7073-1744,,"iFLYTEK Research, Hefei, China"
5,7,/author/37280405600,Chin-Hui Lee,https://orcid.org/0000-0002-1892-2551,," Georgia Institute of Technology  Atlanta, GA, USA"
6,9,/author/37090051175,Rui-Chen Zheng,https://orcid.org/0009-0000-8074-9553,," University of Science and Technology of China  Hefei, China"
7,10,/author/37086348873,Yang Ai,https://orcid.org/0000-0001-6668-022X,," University of Science and Technology of China  Hefei, China"
8,11,/author/37417702500,Zhen-Hua Ling,https://orcid.org/0000-0001-7853-5273,," University of Science and Technology of China  Hefei, China"
9,13,/author/37089529237,Xinfa Zhu,https://orcid.org/0000-0001-9275-523X,," Speech and Language Processing Group (ASLP@NPU)  School of Computer Science, Northwestern Polytechnical University, Xian, China"
10,14,/author/37088814417,Yi Lei,https://orcid.org/0000-0002-9256-9311,," Speech and Language Processing Group (ASLP@NPU) School of Computer Science  Northwestern Polytechnical University, Xi’an, China"
11,15,/author/37088801358,Tao Li,https://orcid.org/0000-0001-5578-3960,," Speech and Language Processing Group (ASLP@NPU)  School of Computer Science, Northwestern Polytechnical University, Xi'an, China"
12,16,/author/37089469106,Yongmao Zhang,https://orcid.org/0009-0000-0526-5778,," Speech and Language Processing Group (ASLP@NPU)  School of Computer Science, Northwestern Polytechnical University, Xi'an, China"
13,17,/author/37089469471,Hongbin Zhou,https://orcid.org/0009-0005-7569-1197,,"Ximalaya Inc, China"
14,18,/author/37089470244,Heng Lu,https://orcid.org/0009-0009-9236-8825,,"Ximalaya Inc., Shanghai, China"
15,19,/author/37288943400,Lei Xie,https://orcid.org/0000-0003-1442-6785,," Speech and Language Processing Group  School of Computer Science, Northwestern Polytechnical University, Xi'an, China"
16,21,/author/37089570809,Haohe Liu,https://orcid.org/0000-0003-1036-7888,," Speech and Signal Processing (CVSSP)  University of Surrey, Guilford, U.K."
17,22,/author/37090064213,Yi Yuan,https://orcid.org/0000-0002-6887-0956,," Speech and Signal Processing (CVSSP)  University of Surrey, Guilford, U.K."
18,23,/author/37089031763,Xubo Liu,https://orcid.org/0009-0004-9950-2672,," Speech and Signal Processing (CVSSP)  University of Surrey, Guilford, U.K."
19,24,/author/37089469112,Xinhao Mei,https://orcid.org/0000-0001-6079-5130,," Speech and Signal Processing (CVSSP)  University of Surrey, Guilford, U.K."
20,25,/author/37086034564,Qiuqiang Kong,https://orcid.org/0000-0003-2864-0475,," Chinese University of Hong Kong  Hong Kong, SAR, China"
21,26,/author/37089469040,Qiao Tian,https://orcid.org/0000-0002-4078-1273,,"ByteDance SAMI Group, Shanghai, China"
22,27,/author/37089470229,Yuping Wang,,,"ByteDance SAMI Group, Shanghai, China"
23,28,/author/37280468500,Wenwu Wang,https://orcid.org/0000-0002-8393-5703,," Speech and Signal Processing (CVSSP)  University of Surrey, Guilford, U.K."
24,29,/author/38517620800,Yuxuan Wang,,," Audio & Music Intelligence (SAMI) Group  ByteDance Inc., Beijing, China"
25,30,/author/37299593000,Mark D. Plumbley,https://orcid.org/0000-0002-9708-1075,," Speech and Signal Processing (CVSSP)  University of Surrey, Guilford, U.K."
26,32,/author/37089471150,Georgios Paraskevopoulos,https://orcid.org/0000-0003-4067-6294,,"Institute for Language and Speech Processing, Athena Research Center, Greece"
27,33,/author/37090080662,Theodoros Kouzelis,https://orcid.org/0000-0002-1938-9250,,"Institute for Language and Speech Processing, Athena Research Center, Greece"
28,34,/author/37090080719,Georgios Rouvalis,https://orcid.org/0000-0002-4800-1729,," Athena Research Center  Marousi, Greece"
29,35,/author/37395437200,Athanasios Katsamanis,https://orcid.org/0000-0002-2642-2354,," Athena Research Center  Marousi, Greece"
30,36,/author/37394503200,Vassilis Katsouros,https://orcid.org/0000-0002-4185-2344,," Athena Research Center  Marousi, Greece"
31,37,/author/37284799900,Alexandros Potamianos,https://orcid.org/0009-0007-1532-5288,," National Technical University of Athens  Athens, Greece"
32,39,/author/37088799343,Kun Wei,https://orcid.org/0000-0002-1480-9009,," Speech and Language Processing Group  School of Computer Science, Northwestern Polytechnical University, Xi'an, China"
33,40,/author/359684397152410,Bei Li,https://orcid.org/0000-0001-7617-9041,," Northeastern University  Shenyang, China"
34,41,/author/37085498409,Hang Lv,https://orcid.org/0000-0003-3761-1684,," Speech and Language Processing Group  School of Computer Science, Northwestern Polytechnical University, Xi'an, China"
35,42,/author/37089957497,Quan Lu,,," Ltd.  Chongqing, China"
36,43,/author/37089736404,Ning Jiang,https://orcid.org/0000-0003-4549-6372,," Ltd.  Chongqing, China"
37,45,/author/37089469233,Ziqiang Zhang,https://orcid.org/0000-0003-0110-1543,,"Microsoft Research Asia, Beijing, China;  University of Science and Technology of China  Hefei, China"
38,46,/author/37088934991,Sanyuan Chen,https://orcid.org/0000-0002-3082-6052,,"Microsoft Research Asia, Beijing, China;  Harbin Institute of Technology  Harbin, China"
39,47,/author/37089469873,Long Zhou,https://orcid.org/0009-0006-1919-4943,,"Microsoft Research Asia, Beijing, China"
40,48,/author/37088934433,Yu Wu,https://orcid.org/0000-0002-5715-3011,,"Microsoft Research Asia, Beijing, China"
41,49,/author/37089470404,Shuo Ren,,,"Microsoft Research Asia, Beijing, China"
42,50,/author/37088932194,Shujie Liu,,,"Microsoft Research Asia, Beijing, China"
43,51,/author/37088814942,Zhuoyuan Yao,,,"Microsoft Research Asia, Beijing, China"
44,52,/author/434938233709870,Xun Gong,,,"Microsoft Research Asia, Beijing, China"
45,53,/author/37273869000,Lirong Dai,https://orcid.org/0000-0002-0859-2827,," University of Science and Technology of China  Hefei, China"
46,54,/author/37279856000,Jinyu Li,https://orcid.org/0000-0002-1089-9748,," Redmond  WA, USA"
47,55,/author/37085490145,Furu Wei,,,"Microsoft Research, China"
48,57,/author/37089467456,Seung-Bin Kim,https://orcid.org/0000-0002-2287-9111,," Korea University  Seoul, Korea"
49,58,/author/37089776307,Sang-Hoon Lee,https://orcid.org/0000-0002-8925-4474,," Ajou University  Suwon-si, South Korea;  Ajou University  Suwon-si, South Korea"
