,ner_id,link,name,orcid,email,affiliation
0,2,https://dl.acm.org/profile/99661145670,Ruichen Zheng,,,"230026 China, Anhui, Baohe District, Changqing Subdistrict, Shuiyangjiang Road, University of Science and Technology of China (South Campus)"
1,3,https://dl.acm.org/profile/99659260335,Yang Ai,,,"Hefei, Anhui Sheng, China;230026 China, Anhui, Baohe District, Changqing Subdistrict, Shuiyangjiang Road, University of Science and Technology of China (South Campus)"
2,4,https://dl.acm.org/profile/81388598990,Zhenhua Ling,,,"Hefei, Anhui Sheng, China;230026 China, Anhui, Baohe District, Changqing Subdistrict, Shuiyangjiang Road, University of Science and Technology of China (South Campus)"
3,6,https://dl.acm.org/profile/99661147476,Xinfa Zhu,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
4,7,https://dl.acm.org/profile/99659270571,Yi Lei,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
5,8,https://dl.acm.org/profile/99660768740,Tao Li,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
6,9,https://dl.acm.org/profile/99661149139,Yongmao Zhang,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
7,10,https://dl.acm.org/profile/99661148749,Hongbin Zhou,,,
8,11,https://dl.acm.org/profile/99661042163,Heng Lu,,,
9,12,https://dl.acm.org/profile/81384608466,Lei Xie,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
10,14,https://dl.acm.org/profile/99661148706,Qijie Shao,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
11,15,https://dl.acm.org/profile/99659479808,Pengcheng Guo,,,"710072 China, Shaanxi, Beilin District, Zhangjiacun, West Youyi Road 127号, Northwestern Polytechnical University (Youyi Campus)"
12,16,https://dl.acm.org/profile/99661147054,Jinghao Yan,,,"Shenzhen, China"
13,17,https://dl.acm.org/profile/99661146992,Pengfei Hu,,,"Shenzhen, China"
14,19,https://dl.acm.org/profile/99661148628,Chang Liu,,,"230026 China, Anhui, Baohe District, Changqing Subdistrict, Shuiyangjiang Road, University of Science and Technology of China (South Campus)"
15,20,https://dl.acm.org/profile/99661145006,Linghui Chen,,,"Hefei, Anhui Sheng, China"
16,22,https://dl.acm.org/profile/99661151782,Jiahong Li,,,"200030 China, Shanghai, Xuhui District, Xujiahui, Huashan Road 1954, Shanghai Jiao Tong University (Xuhui Campus)"
17,23,https://dl.acm.org/profile/99660768860,Chenda Li,,,"200030 China, Shanghai, Xuhui District, Xujiahui, Huashan Road 1954, Shanghai Jiao Tong University (Xuhui Campus)"
18,24,https://dl.acm.org/profile/99661151206,Yifei Wu,,,"200030 China, Shanghai, Xuhui District, Xujiahui, Huashan Road 1954, Shanghai Jiao Tong University (Xuhui Campus)"
19,25,https://dl.acm.org/profile/99659027771,Yanmin Qian,,,"Shenzhen, China;200030 China, Shanghai, Xuhui District, Xujiahui, Huashan Road 1954, Shanghai Jiao Tong University (Xuhui Campus)"
20,27,https://dl.acm.org/profile/99660762360,Guinan Li,,,"China, Hong Kong, Sha Tin District, Ma Liu Shui, Station Road, Chinese University of Hong Kong"
21,28,https://dl.acm.org/profile/99660762519,Jiajun Deng,,,"China, Hong Kong, Sha Tin District, Ma Liu Shui, Station Road, Chinese University of Hong Kong"
22,29,https://dl.acm.org/profile/99659735545,Mengzhe Geng,,,"China, Hong Kong, Sha Tin District, Ma Liu Shui, Station Road, Chinese University of Hong Kong"
